геометрия: AS80_point0: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — точка, 0.0 мм, Air, dry
физика: PhysicsVersion = 23; настройки — умолчания ResponseMatrixOptions, PeakToleranceHalfBin=ВКЛ, бин 2.00 кэВ, историй на узел 3000000, узлов 16 на [30.000, 60.000]
посчитано за 31.9 с; клеймо phys=23;f21d0164c3746fb7fa88ffd74e838636c0786296c50c8c40c5c5f06386a0b7e5

узел      E_кэВ  peak    delta        sum_row     bin_peak-1       bin_peak    историй
   0    30.0000    15   0.0000  7.103355E-002  2.290749E-003  6.797865E-002    4041166
   1    31.4188    16  -0.5812  8.138260E-002  3.452306E-003  7.670853E-002    3869727
   2    32.9047    16   0.9047  9.142094E-002  4.505794E-003  8.585613E-002    3126206
   3    34.4610    17   0.4610  1.027201E-001  4.571490E-003  7.389205E-002     300000
   4    36.0908    18   0.0908  1.138478E-001  5.342459E-003  8.074783E-002     300000
   5    37.7976    19  -0.2024  1.237668E-001  5.229218E-003  8.786186E-002     300000
   6    39.5852    20  -0.4148  1.347758E-001  5.540589E-003  9.576570E-002     300000
   7    41.4574    21  -0.5426  1.449775E-001  6.032212E-003  1.034031E-001     300000
   8    43.4181    22  -0.5819  1.520897E-001  6.315480E-003  1.092438E-001     300000
   9    45.4715    23  -0.5285  1.601859E-001  6.678427E-003  1.153238E-001     300000
  10    47.6220    24  -0.3780  1.660793E-001  6.807218E-003  1.203974E-001     300000
  11    49.8743    25  -0.1257  1.750537E-001  7.223337E-003  1.270516E-001     300000
  12    52.2330    26   0.2330  1.797534E-001  7.667530E-003  1.312134E-001     300000
  13    54.7033    27   0.7033  1.854262E-001  8.158219E-003  1.360262E-001     300000
  14    57.2905    29  -0.7095  1.891660E-001  6.490287E-003  1.396188E-001     300000
  15    60.0000    30   0.0000  1.934123E-001  6.784304E-003  1.437346E-001     300000

записано: D:\BqMoni_Claude\p122\mx\saw_a50only_nodes.csv (16 узлов), D:\BqMoni_Claude\p122\mx\saw_a50only_rows.csv (748 ненулевых значений)
