node;e_kev;peak;delta_kev;sum_row;bin_peak_m1;bin_peak;histories;noise_pct
0;30.000000000000004;15;3.5527136788005009E-15;0.071034123368633573;0.0022906604322088242;0.067978887440403923;4041166;2.8546441883806737
1;31.4188236846188;16;-0.58117631538119952;0.081384669396896925;0.003452616035247047;0.076710351044312119;3869727;2.7204795980539243
2;32.904749390838788;16;0.9047493908387878;0.091418569879650136;0.0045062167847618184;0.085854043818649473;3126206;2.8468012740492514
3;34.460950649911055;17;0.46095064991105517;0.1027116551117615;0.0045691858995269286;0.073889125043933745;300000;1.5396189556155544
4;36.0907510824635;18;0.090751082463498278;0.11386533671702637;0.0053466647841560189;0.080748669803142548;300000;1.3854414677520066
5;37.797631496846186;19;-0.20236850315381361;0.12376223024216415;0.0052196261401604716;0.087859409695738577;300000;1.3063177844116727
6;39.585237323186831;20;-0.4147626768131687;0.13474394375725751;0.0055340598619295633;0.095737860385270324;300000;1.3694126619193192
7;41.457386399033282;21;-0.54261360096671751;0.14497473493565849;0.0060315835562505526;0.10340080254536588;300000;1.3187076047123965
8;43.418077123211333;22;-0.581922876788667;0.15208995779767065;0.0063140553220364382;0.10924791128491051;300000;1.3236945253273673
9;45.471496995311931;23;-0.52850300468806921;0.16018594243973894;0.00667078441256308;0.11532394446840044;300000;1.305027696579516
10;47.622031559045986;24;-0.37796844095401383;0.16607929809151756;0.0068072184285483672;0.12039737321902066;300000;1.3740503060433378
11;49.874273768567257;25;-0.12572623143274342;0.17504369938706077;0.007223337205232383;0.12705162250131252;300000;1.3236763376836407
12;52.233033797767433;26;0.23303379776743327;0.17975113249443098;0.0076671964779961854;0.1312011331319809;300000;1.2959882377021903
13;54.703349313493007;27;0.70334931349300689;0.18542624814256214;0.0081582194834481925;0.13602624833583832;300000;1.2573792192293018
14;57.29049623462496;29;-0.70950376537503956;0.189156946669641;0.006488635653113306;0.13961486762127606;300000;1.1864306675283161
15;59.999999999999986;30;-1.4210854715202004E-14;0.19339877551578866;0.0067828152418769605;0.143724055003986;300000;1.20758959428427
