node;e_kev;peak;delta_kev;sum_row;bin_peak_m1;bin_peak;histories;noise_pct
0;30.000000000000004;15;3.5527136788005009E-15;0.071033550527659042;0.0022907493771527989;0.067978652397869155;4041166;2.8549085009606188
1;31.4188236846188;16;-0.58117631538119952;0.081382601403959143;0.0034523060749052092;0.076708529377356172;3869727;2.7204795980539243
2;32.904749390838788;16;0.9047493908387878;0.091420942588847254;0.0045057944032578234;0.085856131230244159;3126206;2.8456654365544485
3;34.460950649911055;17;0.46095064991105517;0.10272011709685103;0.004571489638692583;0.073892051732400432;300000;1.5394483156650562
4;36.0907510824635;18;0.090751082463498278;0.11384782821733097;0.005342459240637254;0.0807478278875351;300000;1.3859544223054143
5;37.797631496846186;19;-0.20236850315381361;0.1237668082944765;0.0052292184450379864;0.087861861265992047;300000;1.3066150653251711
6;39.585237323186831;20;-0.4147626768131687;0.13477583534495352;0.0055405887060260284;0.095765697646129411;300000;1.3695234983979783
7;41.457386399033282;21;-0.54261360096671751;0.14497751831095229;0.0060322123317746446;0.1034030811933917;300000;1.3191017213466105
8;43.418077123211333;22;-0.581922876788667;0.15208971854713127;0.0063154801318887621;0.10924375997274183;300000;1.3235991836805496
9;45.471496995311931;23;-0.52850300468806921;0.16018594318074975;0.0066784274731617188;0.1153237991820788;300000;1.3052519585021529
10;47.622031559045986;24;-0.37796844095401383;0.16607929765223162;0.0068072184585616924;0.12039737321902066;300000;1.3740503060433378
11;49.874273768567257;25;-0.12572623143274342;0.17505369934497139;0.007223337205232383;0.12705162250131252;300000;1.3236763376836407
12;52.233033797767433;26;0.23303379776743327;0.17975344233518342;0.0076675303571391851;0.13121344149112701;300000;1.2959975285543552
13;54.703349313493007;27;0.70334931349300689;0.18542624803160379;0.0081582194834481925;0.13602624833583832;300000;1.2572863294613736
14;57.29049623462496;29;-0.70950376537503956;0.18916601172327319;0.0064902872463790118;0.13961880322312936;300000;1.1862799277017955
15;59.999999999999986;30;-1.4210854715202004E-14;0.19341234570424604;0.0067843036463273165;0.14373464966774918;300000;1.2074475435967398
