ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Ra-224,Bi-212,Rn-220,Xray-Pb,Xray-Th
2710,920.512,195.082,212.057,38.864,179.043,31.245,0.000,0.000,1.768,0.000,0.000,0.000
2711,920.845,166.008,211.439,38.796,178.462,31.217,0.000,0.000,1.760,0.000,0.000,0.000
2712,921.179,226.860,210.801,38.727,177.859,31.189,0.000,0.000,1.752,0.000,0.000,0.000
2713,921.512,183.971,210.142,38.659,177.235,31.163,0.000,0.000,1.744,0.000,0.000,0.000
2714,921.845,209.823,209.464,38.590,176.591,31.136,0.000,0.000,1.736,0.000,0.000,0.000
2715,922.178,225.046,208.767,38.522,175.927,31.111,0.000,0.000,1.729,0.000,0.000,0.000
2716,922.511,198.971,208.051,38.453,175.244,31.086,0.000,0.000,1.721,0.000,0.000,0.000
2717,922.844,194.898,207.319,38.385,174.543,31.062,0.000,0.000,1.714,0.000,0.000,0.000
2718,923.178,195.416,206.569,38.316,173.825,31.038,0.000,0.000,1.707,0.000,0.000,0.000
2719,923.511,196.156,205.804,38.248,173.090,31.014,0.000,0.000,1.700,0.000,0.000,0.000
2720,923.844,196.638,205.024,38.179,172.339,30.992,0.000,0.000,1.693,0.000,0.000,0.000
2721,924.177,216.674,204.229,38.111,171.573,30.969,0.000,0.000,1.687,0.000,0.000,0.000
2722,924.510,203.342,203.421,38.042,170.793,30.948,0.000,0.000,1.680,0.000,0.000,0.000
2723,924.843,190.194,202.600,37.974,170.000,30.926,0.000,0.000,1.674,0.000,0.000,0.000
2724,925.176,199.267,201.767,37.905,169.195,30.905,0.000,0.000,1.668,0.000,0.000,0.000
2725,925.509,221.638,200.923,37.837,168.377,30.884,0.000,0.000,1.662,0.000,0.000,0.000
2726,925.842,185.638,200.069,37.768,167.549,30.864,0.000,0.000,1.656,0.000,0.000,0.000
2727,926.175,218.600,199.206,37.700,166.711,30.844,0.000,0.000,1.650,0.000,0.000,0.000
2728,926.508,202.379,198.334,37.631,165.865,30.824,0.000,0.000,1.645,0.000,0.000,0.000
2729,926.841,195.083,197.455,37.563,165.010,30.805,0.000,0.000,1.640,0.000,0.000,0.000
2730,927.174,170.231,196.568,37.494,164.148,30.786,0.000,0.000,1.635,0.000,0.000,0.000
2731,927.507,187.601,195.676,37.426,163.279,30.767,0.000,0.000,1.630,0.000,0.000,0.000
2732,927.840,196.045,194.779,37.357,162.406,30.748,0.000,0.000,1.625,0.000,0.000,0.000
2733,928.173,207.859,193.877,37.289,161.528,30.730,0.000,0.000,1.620,0.000,0.000,0.000
2734,928.506,196.046,192.972,37.220,160.646,30.711,0.000,0.000,1.615,0.000,0.000,0.000
2735,928.839,184.452,192.065,37.151,159.762,30.692,0.000,0.000,1.611,0.000,0.000,0.000
2736,929.172,201.416,191.156,37.083,158.876,30.674,0.000,0.000,1.606,0.000,0.000,0.000
2737,929.505,219.379,190.247,37.014,157.989,30.655,0.000,0.000,1.602,0.000,0.000,0.000
2738,929.838,172.934,189.338,36.946,157.103,30.637,0.000,0.000,1.598,0.000,0.000,0.000
2739,930.170,213.564,188.430,36.877,156.218,30.618,0.000,0.000,1.594,0.000,0.000,0.000
2740,930.503,181.378,187.524,36.809,155.334,30.600,0.000,0.000,1.590,0.000,0.000,0.000
2741,930.836,184.304,186.621,36.740,154.453,30.581,0.000,0.000,1.586,0.000,0.000,0.000
2742,931.169,199.712,185.721,36.672,153.576,30.563,0.000,0.000,1.583,0.000,0.000,0.000
2743,931.502,196.304,184.826,36.603,152.703,30.544,0.000,0.000,1.579,0.000,0.000,0.000
2744,931.835,202.786,183.937,36.535,151.835,30.526,0.000,0.000,1.576,0.000,0.000,0.000
2745,932.167,192.451,183.054,36.466,150.974,30.507,0.000,0.000,1.573,0.000,0.000,0.000
2746,932.500,193.416,182.178,36.398,150.120,30.488,0.000,0.000,1.569,0.000,0.000,0.000
2747,932.833,207.675,181.310,36.329,149.275,30.469,0.000,0.000,1.566,0.000,0.000,0.000
2748,933.166,200.082,180.452,36.261,148.438,30.450,0.000,0.000,1.563,0.000,0.000,0.000
2749,933.499,198.304,179.603,36.192,147.611,30.432,0.000,0.000,1.561,0.000,0.000,0.000
2750,933.831,206.083,178.765,36.124,146.795,30.413,0.000,0.000,1.558,0.000,0.000,0.000
2751,934.164,201.823,177.939,36.055,145.990,30.393,0.000,0.000,1.555,0.000,0.000,0.000
2752,934.497,200.453,177.125,35.987,145.198,30.374,0.000,0.000,1.553,0.000,0.000,0.000
2753,934.829,203.489,176.325,35.918,144.420,30.355,0.000,0.000,1.550,0.000,0.000,0.000
2754,935.162,170.971,175.539,35.850,143.655,30.336,0.000,0.000,1.548,0.000,0.000,0.000
2755,935.495,199.637,174.768,35.781,142.906,30.317,0.000,0.000,1.546,0.000,0.000,0.000
2756,935.828,217.156,174.013,35.713,142.173,30.297,0.000,0.000,1.543,0.000,0.000,0.000
2757,936.160,205.452,173.275,35.644,141.456,30.278,0.000,0.000,1.541,0.000,0.000,0.000
2758,936.493,169.193,172.554,35.576,140.757,30.258,0.000,0.000,1.539,0.000,0.000,0.000
2759,936.825,195.971,171.852,35.507,140.076,30.239,0.000,0.000,1.537,0.000,0.000,0.000
2760,937.158,171.749,171.169,35.439,139.415,30.219,0.000,0.000,1.535,0.000,0.000,0.000
2761,937.491,164.045,170.507,35.370,138.773,30.200,0.000,0.000,1.534,0.000,0.000,0.000
2762,937.823,185.563,169.865,35.302,138.153,30.180,0.000,0.000,1.532,0.000,0.000,0.000
2763,938.156,185.452,169.244,35.233,137.553,30.160,0.000,0.000,1.530,0.000,0.000,0.000
2764,938.488,192.823,168.646,35.164,136.977,30.141,0.000,0.000,1.529,0.000,0.000,0.000
2765,938.821,196.712,168.071,35.096,136.423,30.121,0.000,0.000,1.527,0.000,0.000,0.000
2766,939.154,185.009,167.520,35.027,135.893,30.102,0.000,0.000,1.525,0.000,0.000,0.000
2767,939.486,217.267,166.993,34.959,135.387,30.082,0.000,0.000,1.524,0.000,0.000,0.000
2768,939.819,161.082,166.492,34.890,134.907,30.062,0.000,0.000,1.523,0.000,0.000,0.000
2769,940.151,181.897,166.017,34.822,134.453,30.043,0.000,0.000,1.521,0.000,0.000,0.000
2770,940.484,190.674,165.568,34.753,134.025,30.023,0.000,0.000,1.520,0.000,0.000,0.000
2771,940.816,195.600,165.144,34.685,133.623,30.003,0.000,0.000,1.519,0.000,0.000,0.000
2772,941.149,187.008,164.739,34.616,133.238,29.983,0.000,0.000,1.517,0.000,0.000,0.000
2773,941.481,158.749,164.349,34.548,132.870,29.963,0.000,0.000,1.516,0.000,0.000,0.000
2774,941.814,177.526,163.976,34.479,132.518,29.942,0.000,0.000,1.515,0.000,0.000,0.000
2775,942.146,202.601,163.618,34.411,132.182,29.922,0.000,0.000,1.514,0.000,0.000,0.000
2776,942.478,190.045,163.276,34.342,131.862,29.902,0.000,0.000,1.513,0.000,0.000,0.000
2777,942.811,178.933,162.951,34.274,131.558,29.881,0.000,0.000,1.512,0.000,0.000,0.000
