spectrum,arm,member,gate_share,gate_pair,gate_partner,gate_verdict,rate,x_eq,z,share_pct,tied_to,screen
as80,col0.1,Th-232,0.0037,0.0026,Th-228,free,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%"
as80,col0.1,Ac-228,0.0170,0.0144,Pb-212,free,691.3,0.799,112.0,32.41,,"Ac-228 — сумм-пик "
as80,col0.1,Th-228,0.0955,0.0553,Ra-224,free,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%"
as80,col0.1,Ra-224,0.9072,0.9063,Pb-212,tied,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%"
as80,col0.1,Rn-220,0.0051,0.0031,Bi-212,free,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%"
as80,col0.1,Po-216,0.1669,0.1201,Ac-228,tied,691.3,0.799,112.0,0.00,Ac-228,
as80,col0.1,Pb-212,,,,,1113,1.286,182.6,23.22,,"Pb-212 — сумм-пик "
as80,col0.1,Bi-212,0.0253,0.0143,Tl-208,free,629.8,0.728,26.8,3.36,,"Bi-212 — сумм-пик "
as80,col0.1,Tl-208,0.0007,0.0007,Pb-212,free,837.7,0.968,128.8,32.15,,"Tl-208 — сумм-пик "
as80,col0.3,Th-232,0.0037,0.0026,Th-228,free,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%"
as80,col0.3,Ac-228,0.0170,0.0144,Pb-212,free,691.3,0.799,112.0,32.41,,"Ac-228 — сумм-пик "
as80,col0.3,Th-228,0.0955,0.0553,Ra-224,free,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%"
as80,col0.3,Ra-224,0.9072,0.9063,Pb-212,tied,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%"
as80,col0.3,Rn-220,0.0051,0.0031,Bi-212,free,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%"
as80,col0.3,Po-216,0.1669,0.1201,Ac-228,free,<3.986e+05,,,,,
as80,col0.3,Pb-212,,,,,1113,1.286,182.6,23.22,,"Pb-212 — сумм-пик "
as80,col0.3,Bi-212,0.0253,0.0143,Tl-208,free,629.8,0.728,26.8,3.36,,"Bi-212 — сумм-пик "
as80,col0.3,Tl-208,0.0007,0.0007,Pb-212,free,837.7,0.968,128.8,32.16,,"Tl-208 — сумм-пик "
as80,col0.5,Th-232,0.0037,0.0026,Th-228,free,3.45e+04,39.871,7.0,0.40,,"Th-232 0.40%"
as80,col0.5,Ac-228,0.0170,0.0144,Pb-212,free,691.3,0.799,112.0,32.41,,"Ac-228 — сумм-пик "
as80,col0.5,Th-228,0.0955,0.0553,Ra-224,free,1.215e+04,14.040,23.7,2.84,,"Th-228 2.84%"
as80,col0.5,Ra-224,0.9072,0.9063,Pb-212,tied,1113,1.286,182.6,1.86,Pb-212,"Ra-224 — по Pb-212 1.86%"
as80,col0.5,Rn-220,0.0051,0.0031,Bi-212,free,7.382e+04,85.314,42.7,3.76,,"Rn-220 3.76%"
as80,col0.5,Po-216,0.1669,0.1201,Ac-228,free,<3.986e+05,,,,,
as80,col0.5,Pb-212,,,,,1113,1.286,182.6,23.22,,"Pb-212 — сумм-пик "
