spectrum,member,before_rate,before_x_eq,before_z,before_screen,after_rate,after_x_eq,after_z,after_tied_to,after_screen,gate_share,gate_pair,gate_partner
as80,Th-232,<1.255e+04,,,Th-232 < 0.126 %,3.45e+04,39.871,7.0,,Th-232 0.40%,0.0037,0.0026,Th-228
as80,Ac-228,681.8,0.788,114.8,Ac-228 — сумм-пик ,691.3,0.799,112.0,,Ac-228 — сумм-пик ,0.0170,0.0144,Pb-212
as80,Th-228,1.821e+04,21.039,31.3,Th-228 4.30%,1.215e+04,14.040,23.7,,Th-228 2.84%,0.0955,0.0553,Ra-224
as80,Ra-224,8571,9.906,30.8,Ra-224 14.42%,1113,1.286,182.6,Pb-212,Ra-224 — по Pb-212 1.86%,0.9072,0.9063,Pb-212
as80,Rn-220,6.031e+04,69.695,36.8,Rn-220 3.12%,7.382e+04,85.314,42.7,,Rn-220 3.76%,0.0051,0.0031,Bi-212
as80,Po-216,<3.859e+05,,,,<3.986e+05,,,,,0.1669,0.1201,Ac-228
as80,Pb-212,414.2,0.479,16.2,Pb-212 — сумм-пик ,1113,1.286,182.6,,Pb-212 — сумм-пик ,,,
as80,Bi-212,655.1,0.757,28.3,Bi-212 — сумм-пик ,629.8,0.728,26.8,,Bi-212 — сумм-пик ,0.0253,0.0143,Tl-208
as80,Tl-208,864.9,1.000,136.8,Tl-208 — сумм-пик ,837.7,0.968,128.8,,Tl-208 — сумм-пик ,0.0007,0.0007,Pb-212
radon1,Th-232,4184,,22.9,Th-232 5.17%,4199,,23.0,,Th-232 5.19%,0.2372,0.0692,Th-228
radon1,Ac-228,<8.325,,,Ac-228 < 1.8 %,<8.332,,,,Ac-228 < 1.8 %,0.0489,0.0301,Pb-212
radon1,Th-228,1336,,22.8,Th-228 11.13%,1344,,23.1,,Th-228 11.20%,0.3982,0.0775,Pb-212
radon1,Ra-224,<103.4,,,Ra-224 < 1.39 %,5.873,,6.6,Pb-212,Ra-224 — по Pb-212 0.11%,0.7391,0.7361,Pb-212
radon1,Rn-220,<2150,,,,<2150,,,,,0.0459,0.0238,Bi-212
radon1,Po-216,<1.576e+05,,,,<1.576e+05,,,,,0.2611,0.1642,Bi-212
radon1,Pb-212,6.518,,6.7,Pb-212 — сумм-пик ,5.873,,6.6,,Pb-212 — сумм-пик ,,,
radon1,Bi-212,<49.76,,,Bi-212 < 0.901 %,<49.77,,,,Bi-212 < 0.902 %,0.0587,0.0346,Ac-228
radon1,Tl-208,11.66,,5.6,Tl-208 — сумм-пик ,11.67,,5.6,,Tl-208 — сумм-пик ,0.0006,0.0006,Pb-212
radon1,Ra-226,<30.12,,,Ra-226 < 0.474 %,<30.12,,,,Ra-226 < 0.474 %,0.0041,0.0035,Pb-214
radon1,Rn-222,<2645,,,,<2645,,,,,0.0505,0.0425,Bi-214
radon1,Pb-214,131.6,,67.4,Pb-214 — сумм-пик ,131.7,,67.6,,Pb-214 — сумм-пик ,,,
radon1,Bi-214,141.8,,58.7,Bi-214 — сумм-пик ,141.9,,58.7,,Bi-214 — сумм-пик ,0.0019,0.0019,Pb-214
radon1,Pb-210,<92.51,,,Pb-210 < 1.1 %,<92.48,,,,Pb-210 < 1.1 %,0.0002,0.0001,Bi-214
radon2,Th-232,1922,,14.1,Th-232 21.32%,1840,,13.6,,Th-232 21.15%,0.0702,0.0578,Th-228
radon2,Ac-228,<2.998,,,Ac-228 < 2.81 %,<2.982,,,,Ac-228 < 2.78 %,0.0128,0.0117,Pb-212
radon2,Th-228,<124.4,,,Th-228 < 3.39 %,<123.4,,,,Th-228 < 3.34 %,0.1025,0.0245,Pb-212
radon2,Ra-224,<60.4,,,Ra-224 < 3.4 %,14.74,,25.2,Pb-212,Ra-224 — по Pb-212 3.88%,0.7613,0.7551,Pb-212
radon2,Rn-220,<1236,,,,<1229,,,,,0.1603,0.1467,Tl-208
radon2,Po-216,<7.45e+04,,,,<7.404e+04,,,,,0.0673,0.0298,Ac-228
radon2,Pb-212,16.14,,25.3,Pb-212 — сумм-пик ,14.74,,25.2,,Pb-212 — сумм-пик ,,,
radon2,Bi-212,<17.87,,,Bi-212 < 1.32 %,<17.76,,,,Bi-212 < 1.31 %,0.0073,0.0063,Tl-208
radon2,Tl-208,<4.829,,,Tl-208 < 1.71 %,<4.801,,,,Tl-208 < 1.69 %,0.0002,0.0002,Pb-212
radon2,Ra-226,<22.52,,,Ra-226 < 1.48 %,<22.4,,,,Ra-226 < 1.46 %,0.0010,0.0009,Pb-210
radon2,Rn-222,<1498,,,,<1488,,,,,0.0018,0.0015,Bi-214
radon2,Pb-214,<2.203,,,Pb-214 < 2.25 %,<2.188,,,,Pb-214 < 2.23 %,,,
radon2,Bi-214,<2.878,,,Bi-214 < 1.22 %,<2.862,,,,Bi-214 < 1.21 %,0.0000,0.0000,Pb-214
radon2,Pb-210,51.57,,5.5,Pb-210 5.52%,45.68,,4.9,,Pb-210 5.02%,0.0005,0.0004,Pb-214
