call,m,iterations,budget,drops,active,banned,tol,maxdiag,objective,kkt_max_w_inactive,kkt_over_tol,active_max_abs_w,exhausted
1,43,35,1290,0,35,0,1.0354196853321835E-08,103.54196853321835,-570319.49528265256,7.755664100088049E-11,0.0074903579774996025,2.3505464241679874E-10,0
2,43,35,1290,0,35,0,1.0354196853321835E-08,103.54196853321835,-570319.49528265256,7.755664100088049E-11,0.0074903579774996025,2.3505464241679874E-10,0
3,43,35,1290,0,34,0,1.0336390358756265E-08,103.36390358756265,-525868.17603924428,7.8482617198557031E-11,0.0075928457105987742,9.57172119342431E-10,0
4,43,35,1290,0,34,0,1.0335691043985067E-08,103.35691043985067,-525123.43674523872,7.8474886596197384E-11,0.0075926114917943908,5.8641802525016828E-10,0
5,44,36,1320,0,35,0,1.0354196853321835E-08,103.54196853321835,-570329.21231481142,7.780755320783E-11,0.0075145908765359972,1.1783640729845501E-10,0
6,44,36,1320,0,35,0,1.0336385059447174E-08,103.36385059447173,-525907.94561052741,7.6252989131961941E-11,0.0073771428495950616,2.4419932742603123E-10,0
7,44,37,1320,0,35,0,1.033567678836227E-08,103.35676788362269,-525083.94144861947,7.6081488012386141E-11,0.007361055262298073,4.517559659689141E-10,0
8,32,33,960,0,32,0,1.0354196853321835E-08,103.54196853321835,-570325.04195883428,0,0,2.702336132642813E-09,0
9,32,33,960,0,32,0,1.0336166536161161E-08,103.3616653616116,-525901.99158505909,0,0,7.50418394090957E-10,0
10,32,33,960,0,32,0,1.0335582558656259E-08,103.35582558656259,-525030.71451695962,0,0,4.0548115975980181E-09,0
11,32,33,960,0,32,0,1.0354196853321835E-08,103.54196853321835,-570326.45978086733,0,0,6.0634874898823909E-10,0
12,32,33,960,0,32,0,1.0336166189191528E-08,103.36166189191528,-525923.5761893118,0,0,6.7001337811234407E-10,0
13,32,33,960,0,32,0,1.0335581970717847E-08,103.35581970717847,-525035.835687007,0,0,1.3387762010097504E-09,0
