сцена                            тело       клеймо    sha тела             Qk    dQmax  Q2(662)      hist fmt
AS80_lu_front                    ПОБИТОВО   клеймо =  d62ad98538ee8dd3    142   0.2092   0.7225   3000000 9
AS80_point0                      ПОБИТОВО   клеймо =  92738a9112108a3c    140   0.0566   0.6358   3000000 9
AS80_th_disk                     ПОБИТОВО   клеймо =  edb3adec3b861564    146   0.1649   0.6788   3000000 9
ASN16_lu_side                    ПОБИТОВО   клеймо =  c6e1af088cc872b8    142   0.0990   0.4851   3000000 9
G1S_denta100_oisn10_100_p16      ПОБИТОВО   клеймо =  00b59918643076e9    142   0.0375   0.6247   3000000 9
G1S_denta100_risn379_100_p16     ПОБИТОВО   клеймо =  2daf81c82f9f1abb    140   0.0264   0.6258   3000000 9
G1S_denta120_oisn06_057_p24      ПОБИТОВО   клеймо =  4061002d72325c13    142   0.0516   0.6436   3000000 9
G1S_denta120_oisn06_062_p24      ПОБИТОВО   клеймо =  c141cd9a8f2fddbd    142   0.0536   0.6433   3000000 9
G1S_denta120_oisn06_064_p24      ПОБИТОВО   клеймо =  a335460ce20b4327    142   0.0545   0.6432   3000000 9
G1S_denta120_oisn06_066_p24      ПОБИТОВО   клеймо =  069e41644664b149    142   0.0550   0.6431   3000000 9
G1S_denta120_oisn16_155_p24      ПОБИТОВО   клеймо =  7567c793ff27fd5c    142   0.0383   0.6373   3000000 9
G1S_denta120_oisn16_160_p24      ПОБИТОВО   клеймо =  ceed33db896bd6f4    142   0.0387   0.6369   3000000 9
G1S_denta120_oisn16_166_p24      ПОБИТОВО   клеймо =  b0950963ab6a18b6    142   0.0394   0.6376   3000000 9
G1S_denta120_oisn16_167_p24      ПОБИТОВО   клеймо =  f12522015f66488f    142   0.0395   0.6373   3000000 9
G1S_mar1l_coal_046_p24           ПОБИТОВО   клеймо =  a36b835326fda3c5    140   0.0576   0.7751   3000000 9
G1S_mar1l_oisn06_055_p16         ПОБИТОВО   клеймо =  99ccf38eb8c51bc8    140   0.0348   0.7749   3000000 9
G1S_mar1l_oisn06_057_p16         ПОБИТОВО   клеймо =  cf31cc8cb93713d1    140   0.0359   0.7748   3000000 9
