AngularQkProbe (AMBER46, читатель-контроль): склад D:/BqMoni_Claude/p87/store
историй на узел: как у матрицы (ожидание — ДО БИТА); узлы: все; потоков 10; допуск 3.0 σ

=== AS80_point0: AS80_point0: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — точка, 0.0 мм, Air, dry; матрица формат 9, 140 узлов, клеймо phys=18;1f5aeaf1eeae43b63d6a7b0817f68eaccc4167c12243909b95293aeb63a1d205
контроль подсмотра (узел 5.0 кэВ, зерно узла): штатный Efficiency = 7.00547334970596E-14, мой обход = 7.00547334970596E-14 — ДО БИТА
   узел   E, кэВ   ист.матр  ист.пробы     Q2 матр    Q2 проба   ΔQ2/σ     Q4 матр    Q4 проба   ΔQ4/σ    Q2T матр   Q2T проба  ΔQ2T/σ   вердикт
      0       5.0    3000000    3000000     0.88902   0.88902       =     0.67316   0.67316       =     0.88813   0.88813       =   ДО БИТА
      1       5.2    3000000    3000000     0.85215   0.85215       =     0.58286   0.58286       =     0.85591   0.85591       =   ДО БИТА
      2       5.5    3000000    3000000     0.82020   0.82020       =     0.50326   0.50326       =     0.82464   0.82464       =   ДО БИТА
      3       5.7    3000000    3000000     0.79864   0.79864       =     0.45379   0.45379       =     0.79864   0.79864       =   ДО БИТА
      4       6.0    3000000    3000000     0.81374   0.81374       =     0.50036   0.50036       =     0.82271   0.82271       =   ДО БИТА
      5       6.3    3000000    3000000     0.80487   0.80487       =     0.47997   0.47997       =     0.80349   0.80349       =   ДО БИТА
      6       6.6    3000000    3000000     0.71306   0.71306       =     0.27754   0.27754       =     0.71155   0.71155       =   ДО БИТА
      7       6.9    3000000    3000000     0.74690   0.74690       =     0.36291   0.36291       =     0.74671   0.74671       =   ДО БИТА
      8       7.2    3000000    3000000     0.71751   0.71751       =     0.29967   0.29967       =     0.71653   0.71653       =   ДО БИТА
      9       7.6    3000000    3000000     0.73255   0.73255       =     0.34509   0.34509       =     0.73217   0.73217       =   ДО БИТА
     10       7.9    3000000    3000000     0.66763   0.66763       =     0.21249   0.21249       =     0.66763   0.66763       =   ДО БИТА
     11       8.3    3000000    3000000     0.64504   0.64504       =     0.18729   0.18729       =     0.64551   0.64551       =   ДО БИТА
     12       8.7    3000000    3000000     0.59519   0.59519       =     0.09554   0.09554       =     0.59521   0.59521       =   ДО БИТА
     13       9.1    3000000    3000000     0.65980   0.65980       =     0.23649   0.23649       =     0.65731   0.65731       =   ДО БИТА
     14       9.5    3000000    3000000     0.57717   0.57717       =     0.07747   0.07747       =     0.57417   0.57417       =   ДО БИТА
