спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S24_Ba133_P5               known       17.3558    17.3587   +0.017  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Bi207_P5               known       22.9973    22.9974   +0.000  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Cd109_P5               known        3.2313     3.2313   +0.000  chi2ndf_pois, model_residual_pct
G1S24_Co60_P5                known       11.7765    11.7765   +0.000  chi2ndf_pois, model_residual_pct
G1S24_Cs137_Denta120         known        1.0748     1.0748   +0.000  chi2ndf_pois, model_residual_pct
G1S24_Cs137_Denta120_2       known        1.6184     1.6184   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
G1S24_Cs137_Mar              known        2.2127     2.2127   +0.000  chi2ndf_pois, model_residual_pct
G1S24_Cs137_Mar_2            known        3.7153     3.7153   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
G1S24_Cs137_P25              known        3.1361     3.1361   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
G1S24_Cs137_P5               known       13.7111    13.7287   +0.128  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Cs137_Petri            known        1.1646     1.1657   +0.094  anchor_note, chi2ndf, chi2ndf_pois, collinearity, dt_decay_s, dt_decay_s
G1S24_Cs137_Petri_2          known        1.5669     1.5669   +0.000  chi2ndf_pois, mda_peak_counts, model_residual_pct, peak_counts
G1S24_Eu152_P5               known       30.3754    30.2715   -0.342  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_K40_Denta120           known        1.1221     1.1175   -0.410  anchor_note, chi2ndf, chi2ndf_pois, collinearity, components, decay_s; K-40 96.97→98.44; pile-up 3.03→1.56
G1S24_K40_Denta120_2         known        1.2253     1.2253   +0.000  chi2ndf_pois, collinearity, components, decay_s, library_note, measured_kev
G1S24_K40_Mar                known        1.2844     1.2844   +0.000  chi2ndf_pois, collinearity, components, decay_s, decay_s, dt_decay_s
G1S24_K40_Mar_2              known        1.3175     1.3174   -0.008  chi2ndf, chi2ndf_pois, collinearity, component, components, library_note
G1S24_K40_Petri              known        1.2992     1.2519   -3.641  anchor_note, chi2ndf, chi2ndf_pois, collinearity, components, decay_s; K-40 92.73→95.72; pile-up 7.27→4.28
G1S24_K40_Petri_2            known        1.0508     1.0507   -0.010  chi2ndf, chi2ndf_pois, collinearity, components, dt_decay_s, dt_decay_s
G1S24_Na22_P25               known        6.1750     6.2098   +0.564  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ann-511 69.71→9.40; Na-22 30.29→90.60
G1S24_Na22_P5                known       36.3994    35.8494   -1.511  <число строк 3→2>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Ann-511 70.98→12.90; Na-22 28.41→87.09; pile-up 0.60→0.00
G1S24_Ra226_Denta120         known        1.5183     1.5205   +0.145  chi2ndf, chi2ndf_pois, collinearity, dt_decay_s, dt_decay_s, inflate
G1S24_Ra226_Denta120_2       known        3.4192     3.4205   +0.038  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S24_Ra226_Mar              known        2.4657     2.4700   +0.174  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Ra226_Mar_2            known        5.0133     5.0149   +0.032  anchor_offset_kev, chi2ndf, chi2ndf_pois, dt_decay_s, dt_decay_s, inflate
G1S24_Ra226_Petri            known        1.5114     1.5132   +0.119  anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Ra226_Petri_2          known        2.9734     2.9750   +0.054  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S24_Rn222Coal_Mar_20m      known        1.0382     1.0384   +0.019  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Bi-214 50.72→50.78; Pb-214 39.61→39.55
G1S24_Rn222Coal_Mar_2h       known        1.2242     1.2243   +0.008  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Bi-214 50.59→50.66; Pb-214 39.18→39.11
G1S24_Rn222Coal_Mar_3h       known        1.1880     1.1880   +0.000  anchor_note, anchor_offset_kev, chi2ndf_pois, collinearity, decay_s, decay_s; Bi-214 51.56→51.62; Pb-214 40.65→40.58
G1S24_Rn222Coal_Mar_eq01     known        1.4945     1.4957   +0.080  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Bi-214 49.87→49.92; Pb-214 39.77→39.70
G1S24_Th228_P25              known        4.2079     4.2152   +0.173  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Th228_P5               known       21.3838    21.2165   -0.782  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Denta120         known        1.1387     1.1394   +0.061  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Denta120_2       known        2.0693     2.0479   -1.034  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Th232_Mar              known        2.6599     2.6602   +0.011  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Mar_2            known        6.3022     6.1065   -3.105  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Th232_Petri            known        1.9878     1.9746   -0.664  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Petri_2          known        4.6545     4.5307   -2.660  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Y88_P25                known        2.0726     2.0727   +0.005  chi2ndf, chi2ndf_pois, collinearity, components, decay_s, dt_decay_s; Ann-511 1.28→1.03; Y-88 98.72→98.97
G1S24_Y88_P5                 known        8.2360     8.2363   +0.004  chi2ndf, chi2ndf_pois, collinearity, components, decay_s, dt_decay_s; Ann-511 1.21→0.96; Y-88 98.79→99.04
G1S24_Zn65_P5                known        1.0668     1.0668   +0.000  chi2ndf_pois, collinearity, component, components, decay_s, dt_decay_s; Ann-511 7.73→1.57; Zn-65 92.06→98.22
RC103_Cs137_0cm              known        2.3720     2.3720   +0.000  chi2ndf_pois, model_residual_pct
RC103_Cs137_50mm             known        0.9805     0.9805   +0.000  chi2ndf_pois, model_residual_pct
RC103_K40                    known        1.7808     1.7806   -0.011  chi2ndf, chi2ndf_pois, components, decay_s, decay_s, dt_decay_s
RC103_Lu176                  known        1.0215     1.0217   +0.020  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s

known: разобранных 92, Σχ²/ndf 475.8787 -> 474.6309 (-0.2622 %)
сдвинулось 92, побитово 0
побитово: 
