ch,keV,net,model,continuum_raw,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
0,-6.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-6.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-5.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-4.560,7.614,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-4.184,0.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-3.807,7.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-3.430,27.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-3.054,33.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-2.677,88.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-2.300,37.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-1.924,81.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-1.547,137.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-1.170,217.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-0.794,393.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,-0.417,598.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,-0.040,931.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.337,1290.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0.713,1637.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,1.090,1982.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,1.467,2535.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,1.844,3397.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,2.221,5557.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,2.597,9605.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,2.974,16667.909,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,3.351,27158.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,3.728,40101.307,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,4.105,54936.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,4.482,69996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,4.859,84221.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,5.235,97228.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,5.612,107879.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,5.989,115664.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,6.366,122015.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,6.743,126358.994,141044.395,106797.325,103178.291,3868.397,33558.151,551.718,152.753
36,7.120,131409.033,145937.728,105292.336,102228.970,3818.726,39460.303,544.028,150.623
37,7.497,135296.910,151902.065,104636.814,102235.407,3800.704,45440.431,540.740,149.713
38,7.874,140717.662,158166.838,104238.154,102678.743,3793.178,51304.147,538.795,149.175
39,8.251,146184.069,164129.766,103725.292,103264.767,3783.023,56777.559,536.274,148.477
40,8.628,152918.360,169496.696,102861.509,103845.225,3762.005,61590.577,531.953,147.280
41,9.005,158137.457,173932.439,101496.586,104378.362,3725.071,65538.939,525.052,145.370
42,9.382,165742.227,177283.020,99503.886,104866.377,3668.100,68471.435,514.912,142.562
43,9.759,171892.216,179425.300,96784.062,105297.462,3588.057,70280.430,501.014,138.714
44,10.136,178433.059,180192.678,93278.396,105619.317,3483.503,70897.367,483.046,133.740
45,10.513,181230.432,179687.279,88974.360,105854.952,3354.828,70322.067,460.939,127.619
46,10.890,184661.579,178000.992,83902.904,106064.636,3204.198,68611.826,434.844,120.394
47,11.267,184891.545,175310.339,78134.279,106320.414,3035.453,65873.816,405.119,112.164
48,11.644,184114.937,171758.809,71774.607,106585.220,2854.046,62256.356,372.308,103.080
49,12.021,180870.018,167518.117,64964.360,106852.327,2667.060,57937.053,337.135,93.341
50,12.398,176105.313,162745.532,57873.448,107139.838,2483.119,53109.016,300.476,83.192
51,12.775,170429.944,157720.187,50691.936,107476.192,2312.166,47966.992,263.315,72.903
52,13.152,164346.642,152620.213,43616.441,107843.060,2165.099,42695.241,226.672,62.758
53,13.530,157553.255,147591.048,36835.018,108208.530,2053.383,37458.401,191.524,53.026
54,13.907,152296.631,142778.669,30512.677,108566.543,1988.731,32395.703,158.731,43.947
55,14.284,145633.622,138320.370,24779.553,108930.676,1982.905,27618.230,128.974,35.708
56,14.661,141468.052,134324.144,19723.449,109313.978,2047.752,23208.497,102.711,28.437
57,15.038,136571.799,130887.053,15387.345,109708.445,2195.475,19221.636,80.174,22.196
58,15.415,133562.209,128051.291,11771.926,110119.119,2439.174,15687.672,61.370,16.990
59,15.793,131553.955,125783.530,8841.823,110590.247,2793.627,12614.541,46.121,12.768
60,16.170,129794.582,124223.953,6534.208,111186.957,3276.286,9991.662,34.104,9.441
61,16.547,128433.348,123427.219,4768.588,111968.283,3908.478,7793.862,24.905,6.893
62,16.924,128139.823,123406.160,3456.259,112956.784,4716.780,5985.427,18.064,4.999
63,17.301,128115.684,124224.763,2508.891,114225.967,5734.610,4524.001,13.124,3.631
64,17.679,129348.910,126201.452,2073.845,116088.355,7012.354,3364.114,10.858,3.003
65,18.056,130699.416,129221.630,1851.304,118432.606,8594.456,2460.063,9.702,2.682
66,18.433,131059.159,133311.013,1782.508,121327.628,10546.448,1768.212,9.349,2.584
67,18.810,133481.554,138617.715,1821.500,124863.710,12887.572,1248.533,9.562,2.642
68,19.188,136330.268,145269.002,1933.951,129161.197,15624.447,865.557,10.160,2.807
69,19.565,139240.466,153340.064,2095.363,134365.143,18768.074,588.797,11.017,3.043
70,19.942,142673.438,162918.403,2288.756,140618.885,22271.334,392.786,12.044,3.326
71,20.319,147687.068,174092.980,2502.759,148061.753,26105.991,256.816,13.182,3.640
72,20.697,152990.073,186943.283,2730.245,156879.521,30229.217,164.486,14.393,3.974
73,21.074,159698.498,201674.868,2966.975,167317.932,34582.024,103.146,15.658,4.322
74,21.451,167722.013,218500.654,3210.489,179674.845,39088.990,63.300,16.961,4.681
75,21.829,178198.915,237544.770,3459.304,194277.166,43662.207,38.002,18.298,5.049
76,22.206,190166.261,259034.538,3712.371,211489.444,48197.070,22.310,19.663,5.424
77,22.584,204500.410,283708.752,3969.161,231802.347,52565.941,12.804,21.054,5.806
78,22.961,223238.448,311808.521,4229.540,255820.568,56651.136,7.183,22.471,6.195
79,23.338,242827.880,343867.644,4493.511,284200.554,60331.510,3.938,23.917,6.591
80,23.716,267768.479,379466.825,4760.618,316633.199,63497.837,2.110,25.389,6.994
81,24.093,296357.549,418321.915,5030.622,352928.382,66056.681,1.104,26.887,7.403
82,24.471,328870.162,460415.745,5303.523,393143.207,67934.124,0.564,28.415,7.820
83,24.848,367808.252,505681.577,5579.359,437261.723,69079.586,0.282,29.973,8.244
84,25.225,410463.219,553857.209,5858.130,485046.689,69468.222,0.137,31.563,8.676
85,25.603,458032.710,603903.453,6139.655,535866.163,69101.715,0.065,33.187,9.116
86,25.980,509644.677,655543.928,6424.001,589068.861,68007.469,0.031,34.854,9.565
87,26.358,566840.710,708653.248,6711.470,643946.878,66236.285,0.014,36.572,10.023
88,26.735,626480.122,762008.655,7002.465,699677.275,63858.761,0.007,38.322,10.492
89,27.113,687273.541,814657.340,7297.326,755221.356,60960.770,0.003,40.123,10.973
90,27.490,750060.012,865498.603,7596.357,809382.278,57638.420,0.001,42.012,11.466
91,27.868,813929.902,913471.195,7900.138,860997.671,53992.884,0.001,43.933,11.974
92,28.245,875110.334,957547.633,8209.652,908938.678,50125.498,0.000,45.924,12.497
93,28.623,930210.580,996740.294,8526.046,952120.522,46133.405,0.000,47.996,13.037
94,29.000,982165.928,1030097.715,8850.140,989502.339,42105.996,0.000,50.155,13.597
95,29.378,1027734.805,1056072.936,9182.807,1020154.242,38122.311,0.000,52.409,14.178
96,29.755,1064757.212,1074950.838,9525.566,1043361.203,34249.405,0.000,54.771,14.783
97,30.133,1093485.992,1086553.860,9880.242,1058612.029,30541.606,0.000,57.255,15.413
98,30.511,1110327.521,1090071.978,10248.768,1065616.897,27040.559,0.000,59.875,16.073
99,30.888,1116775.708,1085486.015,10631.752,1064290.873,23775.881,0.000,62.639,16.763
100,31.266,1110941.140,1072980.309,11030.619,1054789.763,20766.373,0.000,65.561,17.485
101,31.643,1098859.534,1052944.853,11447.364,1037494.136,18021.439,0.000,68.657,18.242
102,32.021,1074636.818,1025981.273,11884.241,1012982.609,15542.632,0.000,71.945,19.037
103,32.399,1045204.941,992795.722,12342.716,981991.485,13325.162,0.000,75.443,19.873
104,32.776,1004441.309,954219.952,12822.913,945375.306,11359.328,0.000,79.157,20.749
105,33.154,957543.933,912690.763,13325.671,904085.437,9631.876,0.000,83.104,21.666
106,33.532,908218.495,866687.413,13852.463,859130.706,8127.110,0.000,87.301,22.627
107,33.909,854658.462,817635.004,14404.821,811532.676,6827.789,0.000,91.772,23.632
108,34.287,799123.585,766478.045,14982.271,762278.453,5715.812,0.000,96.528,24.682
109,34.665,744098.250,715550.658,15581.925,712288.297,4772.783,0.000,101.569,25.770
110,35.042,688096.444,664802.394,16202.555,662415.602,3980.612,0.000,106.908,26.894
111,35.420,634879.314,615097.311,16843.251,613420.798,3321.815,0.000,112.570,28.052
112,35.798,584463.741,567095.965,17502.787,565956.187,2779.761,0.000,118.571,29.242
