ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th,Xray-Th-L
0,-7.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-7.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-6.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-6.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-6.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-5.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-5.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-5.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-4.689,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-4.353,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-4.017,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-3.682,0.000,0.007,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-3.346,0.000,0.011,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-3.010,0.000,0.015,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-2.674,0.000,0.021,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,-2.338,0.000,0.029,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,-2.002,0.000,0.039,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,-1.665,0.000,0.053,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,-1.329,0.000,0.071,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,-0.993,0.000,0.094,0.000,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,-0.657,0.000,0.127,0.000,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,-0.321,0.000,0.169,0.000,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
23,0.015,0.000,0.225,0.000,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
24,0.351,0.000,0.299,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
25,0.688,0.000,0.397,0.000,0.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
26,1.024,0.000,0.527,0.000,0.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
27,1.360,0.000,0.700,0.000,0.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
28,1.696,0.000,0.931,0.000,0.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004
29,2.033,0.000,1.238,0.000,1.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
30,2.369,0.000,1.643,0.000,1.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
31,2.705,0.000,2.184,0.000,2.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
32,3.042,0.000,2.901,0.000,2.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010
33,3.378,0.000,3.855,0.000,3.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012
34,3.715,0.000,5.124,0.000,5.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015
35,4.051,0.000,6.814,0.000,6.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019
36,4.388,0.000,9.061,0.000,9.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023
37,4.724,0.000,12.053,0.000,12.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028
38,5.061,0.000,16.037,0.000,16.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035
39,5.397,0.000,21.341,0.000,21.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044
40,5.734,0.000,28.406,0.000,28.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054
41,6.070,0.000,37.818,0.000,37.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067
42,6.407,0.000,50.043,0.000,49.960,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.082
43,6.744,0.000,64.412,0.000,64.309,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.102
44,7.080,0.000,79.244,0.000,79.116,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.126
45,7.417,0.000,93.390,0.000,93.233,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.156
46,7.754,0.000,105.915,0.000,105.720,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.193
47,8.090,0.000,116.427,0.000,116.185,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.240
48,8.427,0.000,124.753,0.000,124.454,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.297
49,8.764,0.000,130.441,0.000,130.071,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.367
50,9.101,0.000,133.681,0.000,133.222,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.455
51,9.438,0.852,135.158,0.000,134.589,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.564
52,9.774,0.000,135.716,0.000,135.012,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.698
53,10.111,0.000,136.137,0.000,135.265,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.865
54,10.448,0.037,136.582,0.000,135.501,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,1.072
55,10.785,4.889,136.749,0.000,135.411,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,1.329
56,11.122,12.853,136.706,0.000,135.047,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,1.647
57,11.459,23.373,136.633,0.000,134.577,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,2.042
58,11.796,50.412,136.885,0.000,134.337,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,2.532
59,12.133,84.230,137.615,0.000,134.458,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,3.138
60,12.470,132.234,138.507,0.000,134.599,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,3.885
61,12.807,160.759,139.387,0.000,134.553,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,4.807
62,13.144,207.691,140.360,0.000,134.386,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,5.942
63,13.481,240.807,141.647,0.000,134.266,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,7.342
64,13.818,297.330,154.069,10.529,137.715,2.194,1.846,0.463,0.143,0.024,0.003,0.001,1.951,0.654,9.068
65,14.155,288.630,166.926,21.058,141.337,4.389,3.692,0.893,0.287,0.047,0.007,0.003,3.904,1.308,11.051
66,14.492,317.745,179.820,31.586,144.848,6.585,5.539,1.325,0.430,0.071,0.010,0.004,5.857,1.963,13.179
67,14.830,363.376,192.602,42.115,148.176,8.782,7.386,1.758,0.574,0.094,0.014,0.006,7.810,2.618,15.373
68,15.167,315.749,205.288,52.644,151.401,10.980,9.235,2.194,0.718,0.118,0.017,0.007,9.765,3.273,17.569
69,15.504,384.897,218.026,63.173,154.720,13.179,11.084,2.632,0.861,0.141,0.021,0.008,11.720,3.928,19.718
70,15.841,329.122,230.902,73.701,158.243,15.378,12.934,3.073,1.005,0.165,0.024,0.010,13.677,4.584,21.797
71,16.178,363.898,243.698,84.230,161.745,17.579,14.785,3.517,1.149,0.188,0.028,0.011,15.634,5.240,23.810
72,16.516,378.716,256.334,94.759,165.091,19.780,16.637,3.965,1.293,0.212,0.031,0.013,17.592,5.896,25.813
73,16.853,372.714,268.969,105.288,168.323,21.983,18.489,4.418,1.437,0.236,0.035,0.014,19.550,6.552,27.921
74,17.190,376.682,281.869,115.817,171.537,24.186,20.343,4.876,1.581,0.259,0.038,0.016,21.510,7.209,30.303
75,17.528,360.754,295.433,126.345,174.928,26.391,22.197,5.341,1.725,0.283,0.042,0.017,23.471,7.866,33.163
76,17.865,394.052,309.467,136.874,178.417,28.597,24.052,5.813,1.869,0.307,0.045,0.018,25.432,8.524,36.385
77,18.202,395.830,323.484,147.403,181.808,30.803,25.908,6.295,2.014,0.330,0.049,0.020,27.395,9.181,39.673
78,18.540,387.831,337.224,157.932,185.076,33.011,27.765,6.788,2.158,0.354,0.052,0.021,29.359,9.839,42.794
79,18.877,402.016,350.539,168.460,188.293,35.220,29.623,7.294,2.302,0.378,0.056,0.023,31.323,10.498,45.524
80,19.215,378.093,363.309,178.989,191.575,37.431,31.482,7.816,2.447,0.401,0.059,0.024,33.289,11.157,47.624
81,19.552,376.460,375.422,189.518,195.028,39.642,33.342,8.357,2.591,0.425,0.063,0.026,35.256,11.816,48.873
82,19.890,374.761,386.497,200.047,198.435,41.855,35.203,8.922,2.736,0.449,0.066,0.027,37.224,12.475,49.102
83,20.227,405.317,396.334,210.576,201.683,44.069,37.065,9.514,2.881,0.472,0.070,0.028,39.193,13.135,48.220
84,20.565,406.136,404.965,221.104,204.796,46.284,38.928,10.141,3.025,0.496,0.073,0.030,41.163,13.795,46.231
85,20.902,360.432,412.587,231.633,207.860,48.500,40.792,10.811,3.170,0.520,0.077,0.031,43.133,14.456,43.235
86,21.240,414.732,419.536,242.162,211.019,50.716,42.657,11.534,3.315,0.544,0.080,0.033,45.105,15.117,39.416
87,21.578,409.253,426.037,252.691,214.246,52.934,44.522,12.323,3.460,0.567,0.084,0.034,47.077,15.778,35.010
88,21.915,429.401,432.141,263.219,217.311,55.152,46.387,13.196,3.605,0.591,0.087,0.036,49.050,16.439,30.285
89,22.253,433.553,438.099,273.748,220.170,57.372,48.254,14.178,3.750,0.615,0.091,0.037,51.024,17.100,25.506
90,22.590,408.403,444.208,284.277,222.851,59.592,50.121,15.304,3.895,0.639,0.094,0.038,52.999,17.762,20.911
91,22.928,490.184,450.759,294.806,225.411,61.813,51.988,16.622,4.040,0.663,0.098,0.040,54.974,18.424,16.687
92,23.266,433.816,458.039,305.335,227.941,64.034,53.856,18.197,4.186,0.686,0.101,0.041,56.949,19.086,12.960
93,23.604,455.223,465.975,315.863,230.277,66.256,55.725,20.057,4.331,0.710,0.105,0.043,58.925,19.748,9.797
94,23.941,534.964,474.466,326.392,232.268,68.480,57.595,22.239,4.476,0.734,0.108,0.044,60.903,20.410,7.207
95,24.279,524.113,483.506,336.921,233.871,70.703,59.465,24.816,4.621,0.758,0.112,0.046,62.881,21.073,5.159
96,24.617,555.780,493.117,347.450,235.064,72.928,61.335,27.889,4.767,0.782,0.115,0.047,64.859,21.735,3.594
