ch,keV,net,fit,model,continuum_raw,Tl-208,Ac-228,Ra-224,Pb-212,Bi-212,Rn-220,Th-228,Th-232,Xray-Pb,Xray-Th
59,7.709,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,-2422.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,-2487.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,-2324.642,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,-2295.609,0.004,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,-2427.930,0.010,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,-2181.224,0.026,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,-2401.817,0.066,0.000,0.000,0.000,0.000,0.000,0.066,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,-2347.918,0.157,0.000,0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,-1907.805,0.352,0.000,0.000,0.000,0.000,0.000,0.352,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,-2159.190,0.747,0.000,0.000,0.000,0.000,0.000,0.747,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,-2056.899,1.502,0.000,0.000,0.000,0.000,0.000,1.502,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,-2223.193,2.861,0.000,0.000,0.000,0.000,0.000,2.861,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,-2058.834,5.165,0.000,0.000,0.000,0.000,0.000,5.165,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,-2085.201,8.848,0.000,0.000,0.000,0.000,0.000,8.848,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,-2172.321,14.394,0.000,0.000,0.000,0.000,0.000,14.394,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,-1922.923,22.263,0.000,0.000,0.000,0.000,0.000,22.263,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,-1798.196,32.791,0.000,0.000,0.000,0.000,0.000,32.791,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,-1798.212,46.079,0.000,0.000,0.000,0.000,0.000,46.079,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,-1885.015,61.922,0.000,0.000,0.000,0.000,0.000,61.922,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,-1909.384,79.793,0.000,0.000,0.000,0.000,0.000,79.793,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,-1824.263,98.906,0.000,0.000,0.000,0.000,0.000,98.906,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,-1953.322,118.334,0.000,0.000,0.000,0.000,0.000,118.334,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,-1932.204,137.142,0.000,0.000,0.000,0.000,0.000,137.142,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,-1644.467,154.506,0.000,0.000,0.000,0.000,0.000,154.506,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,-1552.693,169.766,0.000,0.000,0.000,0.000,0.000,169.766,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,-1501.456,182.450,0.000,0.000,0.000,0.000,0.000,182.450,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,-1753.683,192.262,0.000,0.000,0.000,0.000,0.000,192.262,0.000,0.000,0.000,0.000,0.000
98,22.793,0.000,-1416.211,199.084,0.000,0.000,0.000,0.000,0.000,199.084,0.000,0.000,0.000,0.000,0.000
99,23.179,0.000,-1227.449,202.979,0.000,0.000,0.000,0.000,0.000,202.979,0.000,0.000,0.000,0.000,0.000
100,23.565,0.000,-1316.770,204.199,0.000,0.000,0.000,0.000,0.000,204.199,0.000,0.000,0.000,0.000,0.000
101,23.951,0.000,-1261.371,203.168,0.000,0.000,0.000,0.000,0.000,203.168,0.000,0.000,0.000,0.000,0.000
102,24.336,0.000,-1091.989,200.428,0.000,0.000,0.000,0.000,0.000,200.428,0.000,0.000,0.000,0.000,0.000
103,24.722,0.000,-1319.570,196.568,0.000,0.000,0.000,0.000,0.000,196.568,0.000,0.000,0.000,0.000,0.000
104,25.108,0.000,-1158.756,192.144,0.000,0.000,0.000,0.000,0.000,192.144,0.000,0.000,0.000,0.000,0.000
105,25.494,0.000,-1080.561,187.630,0.000,0.000,0.000,0.000,0.000,187.629,0.000,0.000,0.000,0.000,0.000
106,25.879,0.000,-1312.719,183.392,0.000,0.000,0.001,0.000,0.000,183.392,0.000,0.000,0.000,0.000,0.000
107,26.265,0.000,-1113.398,179.699,0.000,0.000,0.002,0.000,0.000,179.697,0.000,0.000,0.000,0.000,0.000
108,26.650,0.000,-1041.805,176.737,0.000,0.000,0.005,0.000,0.000,176.733,0.000,0.000,0.000,0.000,0.000
109,27.036,0.000,-1017.438,174.640,0.000,0.000,0.010,0.000,0.000,174.630,0.000,0.000,0.000,0.000,0.000
110,27.421,0.000,-1008.363,173.497,0.000,0.000,0.023,0.000,0.000,173.474,0.000,0.000,0.000,0.000,0.000
111,27.807,0.000,-991.555,173.356,0.000,0.000,0.048,0.000,0.000,173.308,0.000,0.000,0.000,0.000,0.000
112,28.192,0.000,-1049.298,174.222,0.000,0.000,0.099,0.000,0.000,174.122,0.000,0.000,0.000,0.000,0.000
113,28.578,0.000,-939.075,176.045,0.000,0.000,0.199,0.000,0.000,175.846,0.000,0.000,0.000,0.000,0.000
114,28.963,0.000,-1145.481,178.723,0.000,0.000,0.387,0.000,0.000,178.336,0.000,0.000,0.000,0.000,0.000
115,29.348,0.000,-906.309,182.105,0.000,0.000,0.732,0.000,0.000,181.374,0.000,0.000,0.000,0.000,0.000
116,29.733,0.000,-829.526,186.017,0.000,0.000,1.343,0.000,0.000,184.674,0.000,0.000,0.000,0.000,0.000
117,30.119,0.000,-816.603,190.299,0.000,0.000,2.394,0.000,0.000,187.905,0.000,0.000,0.000,0.000,0.000
118,30.504,0.000,-476.254,194.866,0.000,0.000,4.147,0.000,0.000,190.719,0.000,0.000,0.000,0.000,0.000
119,30.889,0.000,-294.216,199.771,0.000,0.000,6.978,0.000,0.000,192.793,0.000,0.000,0.000,0.000,0.000
120,31.274,0.000,-275.857,205.273,0.000,0.000,11.413,0.000,0.000,193.860,0.000,0.000,0.000,0.000,0.000
121,31.659,3.034,3.034,211.887,0.000,0.000,18.143,0.000,0.000,193.744,0.000,0.000,0.000,0.000,0.000
122,32.044,67.807,67.807,220.411,0.000,0.000,28.038,0.000,0.000,192.373,0.000,0.000,0.000,0.000,0.000
123,32.429,216.696,216.696,231.918,0.000,0.000,42.133,0.000,0.000,189.784,0.000,0.000,0.001,0.000,0.000
124,32.814,301.674,301.674,247.697,0.000,0.000,61.584,0.000,0.000,186.112,0.000,0.000,0.001,0.000,0.000
125,33.199,848.303,848.303,269.150,0.000,0.000,87.582,0.000,0.000,181.565,0.000,0.000,0.003,0.000,0.000
126,33.584,893.053,893.053,297.643,0.000,0.000,121.237,0.000,0.000,176.401,0.000,0.000,0.006,0.000,0.000
127,33.968,1267.492,1267.492,463.647,129.319,32.133,200.441,26.252,7.305,174.744,3.910,5.576,0.906,8.651,3.729
128,34.353,1352.872,1352.872,638.594,258.637,64.268,288.658,52.505,14.610,173.009,7.821,11.153,1.810,17.302,7.458
129,34.738,1740.499,1740.499,822.665,387.956,96.405,385.831,78.760,21.915,171.430,11.731,16.730,2.721,25.954,11.188
130,35.122,1706.873,1706.873,1015.347,517.274,128.544,491.259,105.017,29.221,170.191,15.642,22.307,3.643,34.606,14.917
131,35.507,1934.788,1934.788,1215.402,646.593,160.686,603.573,131.276,36.528,169.413,19.554,27.885,4.582,43.259,18.648
132,35.892,2416.148,2416.148,1420.913,775.911,192.831,720.787,157.537,43.835,169.154,23.465,33.463,5.549,51.913,22.378
133,36.276,2534.454,2534.454,1629.438,905.230,224.980,840.449,183.802,51.143,169.410,27.378,39.043,6.557,60.568,26.109
134,36.661,3005.093,3005.093,1838.241,1034.548,257.133,959.862,210.070,58.452,170.120,31.290,44.622,7.626,69.224,29.840
135,37.045,3264.332,3264.332,2044.566,1163.867,289.292,1076.346,236.343,65.763,171.181,35.204,50.203,8.782,77.882,33.572
136,37.430,3502.437,3502.437,2245.912,1293.185,321.456,1187.497,262.620,73.074,172.459,39.118,55.785,10.058,86.541,37.305
137,37.814,3619.769,3619.769,2440.266,1422.504,353.626,1291.412,288.902,80.387,173.801,43.032,61.367,11.498,95.202,41.038
138,38.198,3743.749,3743.749,2626.257,1551.822,385.803,1386.825,315.189,87.702,175.050,46.948,66.951,13.153,103.865,44.772
139,38.583,3821.573,3821.573,2803.211,1681.141,417.987,1473.161,341.481,95.018,176.047,50.864,72.536,15.081,112.529,48.507
140,38.967,3818.557,3818.557,2971.120,1810.459,450.179,1550.491,367.779,102.335,176.646,54.781,78.122,17.349,121.197,52.242
141,39.351,4057.047,4057.047,3130.530,1939.778,482.379,1619.420,394.082,109.654,176.717,58.699,83.709,20.024,129.867,55.979
142,39.736,3952.096,3952.096,3282.385,2069.096,514.590,1680.928,420.390,116.974,176.155,62.618,89.298,23.174,138.542,59.716
143,40.120,3799.846,3799.846,3427.862,2198.415,546.815,1736.200,446.703,124.296,174.885,66.537,94.887,26.861,147.223,63.454
144,40.504,3551.352,3551.352,3568.224,2327.733,579.059,1786.475,473.022,131.620,172.870,70.457,100.478,31.137,155.913,67.192
145,40.888,3630.415,3630.415,3704.701,2457.052,611.330,1832.925,499.346,138.945,170.120,74.378,106.069,36.038,164.618,70.931
146,41.272,3310.747,3310.747,3838.426,2586.370,643.642,1876.581,525.675,146.273,166.695,78.300,111.662,41.580,173.347,74.671
147,41.656,3142.010,3142.010,3970.393,2715.689,676.017,1918.299,552.008,153.603,162.707,82.222,117.256,47.758,182.111,78.412
148,42.040,2946.720,2946.720,4101.470,2845.007,708.486,1958.757,578.347,160.937,158.314,86.146,122.850,54.546,190.933,82.153
149,42.424,3332.288,3332.288,4232.409,2974.326,741.100,1998.476,604.690,168.276,153.715,90.070,128.446,61.898,199.843,85.895
150,42.808,2795.902,2795.902,4363.885,3103.645,773.928,2037.851,631.039,175.622,149.131,93.994,134.043,69.753,208.885,89.638
151,43.192,2942.995,2942.995,4496.526,3232.963,807.070,2077.182,657.393,182.980,144.797,97.919,139.641,78.039,218.124,93.381
152,43.575,3026.753,3026.753,4630.952,3362.282,840.665,2116.706,683.751,190.355,140.935,101.846,145.240,86.680,227.649,97.126
153,43.959,3083.368,3083.368,4767.797,3491.600,874.896,2156.617,710.116,197.756,137.748,105.772,150.840,95.602,237.579,100.870
154,44.343,3140.461,3140.461,4907.745,3620.919,910.002,2197.084,736.487,205.197,135.403,109.700,156.441,104.741,248.073,104.616
155,44.727,3318.973,3318.973,5051.543,3750.237,946.288,2238.255,762.865,212.695,134.026,113.628,162.043,114.044,259.336,108.362
156,45.110,3728.918,3728.918,5200.031,3879.556,984.125,2280.266,789.253,220.277,133.699,117.558,167.646,123.477,271.621,112.110
157,45.494,3680.176,3680.176,5354.146,4008.874,1023.950,2323.238,815.652,227.979,134.468,121.488,173.251,133.027,285.234,115.858
158,45.878,3947.133,3947.133,5514.931,4138.193,1066.265,2367.274,842.067,235.848,136.348,125.419,178.857,142.709,300.537,119.607
159,46.261,4450.820,4450.820,5683.532,4267.511,1111.617,2412.454,868.505,243.944,139.329,129.351,184.465,152.573,317.937,123.357
160,46.645,4490.548,4490.548,5861.172,4396.830,1160.575,2458.830,894.974,252.346,143.389,133.285,190.075,162.712,337.879,127.108
161,47.028,5143.988,5143.988,6049.122,4526.148,1213.698,2506.418,921.490,261.145,148.497,137.219,195.686,173.278,360.829,130.860
162,47.412,5496.743,5496.743,6248.655,4655.467,1271.493,2555.194,948.074,270.453,154.619,141.155,201.300,184.499,387.254,134.614
163,47.795,5880.886,5880.886,6460.985,4784.785,1334.365,2605.082,974.755,280.396,161.713,145.093,206.917,196.706,417.590,138.369
164,48.178,6192.559,6192.559,6687.217,4914.104,1402.570,2655.957,1001.576,291.114,169.733,149.033,212.537,210.357,452.214,142.126
165,48.562,6437.436,6437.436,6928.288,5043.422,1476.171,2707.636,1028.597,302.750,178.621,152.974,218.161,226.075,491.419,145.885
166,48.945,7298.560,7298.560,7184.936,5172.741,1554.995,2759.884,1055.895,315.452,188.300,156.918,223.791,244.678,535.378,149.646
167,49.328,7741.641,7741.641,7457.685,5302.059,1638.620,2812.415,1083.576,329.354,198.676,160.864,229.429,267.212,584.130,153.409
168,49.711,7851.541,7851.541,7746.855,5431.378,1726.366,2864.907,1111.773,344.569,209.630,164.814,235.076,294.978,637.565,157.176
169,50.094,8457.990,8457.990,8052.605,5560.696,1817.320,2917.009,1140.657,361.181,221.021,168.766,240.738,329.541,695.427,160.945
170,50.478,8715.738,8715.738,8374.989,5690.015,1910.372,2968.367,1170.432,379.225,232.691,172.722,246.420,372.723,757.320,164.718
171,50.861,9332.608,9332.608,8714.026,5819.334,2004.280,3018.635,1201.345,398.686,244.467,176.682,252.130,426.566,822.739,168.495
172,51.244,9926.805,9926.805,9069.752,5948.652,2097.743,3067.505,1233.679,419.488,256.175,180.646,257.880,493.257,891.103,172.277
173,51.627,10303.127,10303.127,9442.258,6077.971,2189.480,3114.713,1267.749,441.492,267.645,184.615,263.687,575.014,961.799,176.063
174,52.010,10743.895,10743.895,9831.674,6207.289,2278.311,3160.067,1303.897,464.503,278.722,188.589,269.572,673.929,1034.229,179.856
175,52.393,11299.714,11299.714,10238.106,6336.608,2363.223,3203.444,1342.469,488.271,289.275,192.569,275.567,791.766,1107.865,183.656
176,52.776,11436.225,11436.225,10661.509,6465.926,2443.427,3244.801,1383.804,512.511,299.203,196.554,281.713,929.732,1182.300,187.465
177,53.159,11932.590,11932.590,11101.521,6595.245,2518.385,3284.169,1428.208,536.912,308.437,200.546,288.062,1088.223,1257.295,191.285
178,53.541,12568.731,12568.731,11557.265,6724.563,2587.825,3321.645,1475.926,561.163,316.942,204.546,294.683,1266.588,1332.829,195.119
179,53.924,12740.275,12740.275,12027.160,6853.882,2651.728,3357.377,1527.120,584.970,324.716,208.552,301.659,1462.919,1409.146,198.972
180,54.307,12955.323,12955.323,12508.777,6983.200,2710.302,3391.549,1581.838,608.074,331.787,212.567,309.096,1673.905,1486.808,202.851
181,54.690,13469.191,13469.191,12998.785,7112.519,2763.939,3424.369,1639.998,630.268,338.204,216.590,317.115,1894.790,1566.749,206.763
182,55.072,13892.829,13892.829,13493.024,7241.837,2813.169,3456.051,1701.370,651.410,344.034,220.623,325.860,2119.441,1650.344,210.722
183,55.455,14537.975,14537.975,13986.731,7371.156,2858.617,3486.803,1765.578,671.430,349.354,224.665,335.494,2340.554,1739.492,214.744
184,55.838,14705.541,14705.541,14474.930,7500.474,2900.955,3516.826,1832.103,690.337,354.247,228.716,346.194,2549.996,1836.704,218.852
185,56.220,14612.969,14612.969,14952.971,7629.793,2940.866,3546.302,1900.303,708.215,358.798,232.778,358.148,2739.262,1945.222,223.077
186,56.603,15237.036,15237.036,15417.190,7759.111,2979.019,3575.404,1969.445,725.219,363.088,236.850,371.550,2900.026,2069.132,227.457
187,56.985,15844.496,15844.496,15865.624,7888.430,3016.048,3604.290,2038.742,741.575,367.194,240.931,386.587,3024.721,2213.490,232.045
188,57.368,15949.013,15949.013,16298.722,8017.748,3052.546,3633.112,2107.402,757.571,371.185,245.024,403.432,3107.108,2384.437,236.905
189,57.750,16648.771,16648.771,16719.961,8147.067,3089.058,3662.020,2174.671,773.554,375.126,249.126,422.229,3142.779,2589.283,242.116
190,58.132,16327.654,16327.654,17134.474,8274.574,3125.630,3690.645,2239.504,789.819,379.020,253.184,443.008,3129.504,2836.437,247.723
191,58.515,17093.359,17093.359,17554.693,8402.080,3163.178,3719.654,2301.723,806.922,382.971,257.251,465.905,3067.458,3135.735,253.895
192,58.897,17809.720,17809.720,17994.812,8529.587,3202.125,3749.196,2360.924,825.368,387.023,261.330,490.920,2959.194,3497.965,260.766
193,59.279,18337.189,18337.189,18472.187,8657.094,3242.865,3779.418,2416.866,845.712,391.213,265.421,517.989,2809.462,3934.755,268.488
194,59.662,18401.833,18401.833,19006.592,8784.600,3285.758,3810.460,2469.472,868.561,395.572,269.523,546.980,2624.836,4458.198,277.231
195,60.044,19061.670,19061.670,19619.175,8912.107,3331.133,3842.452,2518.822,894.572,400.124,273.640,577.697,2413.220,5080.338,287.176
196,60.426,19463.773,19463.773,20331.179,9039.614,3379.275,3875.505,2565.130,924.445,404.885,277.773,609.887,2183.263,5812.502,298.514
197,60.808,20064.542,20064.542,21162.486,9167.121,3430.420,3909.708,2608.719,958.916,409.863,281.925,643.250,1943.758,6664.491,311.436
198,61.190,20286.434,20286.434,22130.082,9294.627,3484.737,3945.128,2649.988,998.741,415.058,286.098,677.454,1703.083,7643.671,326.125
199,61.572,21173.784,21173.784,23246.546,9422.134,3542.315,3981.802,2689.384,1044.674,420.459,290.297,712.154,1468.720,8753.992,342.749
200,61.954,21587.872,21587.872,24518.652,9549.641,3603.145,4019.745,2727.369,1097.442,426.046,294.525,747.014,1246.909,9995.007,361.450
201,62.336,22886.481,22886.481,25946.197,9677.147,3667.102,4058.947,2764.398,1157.709,431.792,298.786,781.724,1042.428,11360.977,382.334
202,62.718,23549.834,23549.834,27521.132,9804.654,3733.935,4099.379,2800.899,1226.041,437.658,303.087,816.022,858.527,12840.125,405.460
203,63.100,24534.242,24534.242,29227.086,9932.161,3803.252,4140.997,2837.261,1302.866,443.598,307.430,849.714,696.981,14414.153,430.835
204,63.482,25568.764,25568.764,31039.337,10059.667,3874.523,4183.745,2873.828,1388.433,449.560,311.821,882.686,558.245,16058.088,458.407
205,63.864,26729.606,26729.606,32925.272,10187.174,3947.085,4227.562,2910.898,1482.778,455.489,316.265,914.923,441.679,17740.529,488.064
206,64.246,28017.618,28017.618,34845.342,10314.681,4020.149,4272.386,2948.731,1585.691,461.329,320.764,946.516,345.810,19424.337,519.629
207,64.627,29195.839,29195.839,36754.503,10442.188,4092.832,4318.151,2987.553,1696.696,467.024,325.321,977.676,268.597,21067.782,552.870
208,65.009,30622.620,30622.620,38604.085,10569.694,4164.183,4364.794,3027.569,1815.042,472.524,329.939,1008.740,207.684,22626.106,587.504
