device;curve;guid;matrix_seconds;matrix_cpu_seconds;matrix_nodes;matrix_hist_spent;matrix_noise_weighted_pct;matrix_stamp;matrix_file_bytes;curve_seconds;curve_points;curve_emin;curve_emax;curve_stamp;rmx_path
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка;7fbb8fc3-24b8-440a-b750-80fb11b5a0e6;183.8;2433.3;100;838314294;3.864;"phys=22;71302f5e2429a5af99e6220aa83cf3cd81e7c839b47f6398f07af7d205620c0b";443618;17.7;97;6.0695487763170108;2999.9999999999977;"phys=22; hist=1000000; grid=6.1-3000 keV/97 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\7fbb8fc3-24b8-440a-b750-80fb11b5a0e6.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Маринелли;41dc6e6a-c186-474f-96d3-4cc500538ab7;270.0;3723.0;100;374858103;2.901;"phys=22;5ed02d5b185e552124c81e86bf4e2326711650240db528e0ffce2d22fde2a766";452374;59.1;97;6.0695487763170108;2999.9999999999977;"phys=22; hist=1000000; grid=6.1-3000 keV/97 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\41dc6e6a-c186-474f-96d3-4cc500538ab7.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр;42333387-5295-4665-8c82-6e85c8498a18;203.2;2558.0;100;309791713;2.881;"phys=22;9ac11aea63de81cc95ebea238d4bad8705741b8c0eac04498c8453a63b2ac37c";456370;50.1;96;6.47468343915881;2999.9999999999977;"phys=22; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\42333387-5295-4665-8c82-6e85c8498a18.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка впритык;3b84ce13-d635-47d0-b734-62caa283e3f3;110.8;1368.3;100;238166327;2.685;"phys=22;a5cf00bc68ca7c4eb38fd14987a4c04e4c2ebdc7b49d078389a73613d4ae2e6c";447190;34.7;100;4.9999999999999991;2999.9999999999977;"phys=22; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\3b84ce13-d635-47d0-b734-62caa283e3f3.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр с боку;aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;174.7;2105.6;100;287307909;2.847;"phys=22;922169005e4b79c0480a0e3aa1db4a6957b79b02b3fd1660e7330006278e2bbe";445866;42.6;96;6.47468343915881;2999.9999999999977;"phys=22; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\aa8a6ecb-5866-4f9d-b359-3c68dba82e5a.rmx
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка в защите;c482e3bc-e2a8-491f-8759-5df93827eaef;109.6;1364.0;100;236352736;2.665;"phys=22;e246a40e1a76fe4cb48f4296a86147082f39c517389e5172825734230e0002be";445538;35.3;100;4.9999999999999991;2999.9999999999977;"phys=22; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\c482e3bc-e2a8-491f-8759-5df93827eaef.rmx
Atom Spectra 80x80;Точка;4c5aa26d-d776-481f-96d8-c01022590f39;100.2;1230.5;100;249989124;2.726;"phys=22;7e28ad9a9694ae5c1727d23937bbdee999bf63a380ac676ae6ce5b0dd6a298e5";445426;30.8;100;4.9999999999999991;2999.9999999999977;"phys=22; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\4c5aa26d-d776-481f-96d8-c01022590f39.rmx
Atom Spectra 80x80;Точка 10 см;5cb11287-beed-4fa3-bf52-21453effbdc8;199.4;2636.0;100;411351805;2.886;"phys=22;a9bd28e36f0c13701ad4416b3d2a6d1fbcea62d24e1636cabf68cc5cce49d510";446050;47.5;94;7.3678844696182653;2999.9999999999977;"phys=22; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\5cb11287-beed-4fa3-bf52-21453effbdc8.rmx
Atom Spectra 80x80;Th медальон;04cb27d4-6b6e-4c6c-b665-b6175d78bdcb;177.1;2099.3;100;267852720;2.776;"phys=22;12f33d20d0adce7434c8cf6e3802216881cdc665462988767ad7b084e4f282e3";453078;46.6;94;7.3678844696182653;2999.9999999999977;"phys=22; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\04cb27d4-6b6e-4c6c-b665-b6175d78bdcb.rmx
Atom Spectra 80x80;Цилиндр;50a57c5a-3237-4154-b269-b9fd1a2c7d88;179.9;2235.9;100;264425380;2.861;"phys=22;3d896b60b03420d19feb273b97134fbef41c00053889596ff499bc8781282e33";445222;54.1;94;7.3678844696182653;2999.9999999999977;"phys=22; hist=1000000; grid=7.4-3000 keV/94 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";D:\BqMoni_Claude\p115\config\device\response\50a57c5a-3237-4154-b269-b9fd1a2c7d88.rmx
