file;size;mtime;created_utc;format;phys;has_ANGK;nodes;channels;emin;emax;bin_kev;histories_per_node;build_seconds;xray;coh;brem;scat;npl;acont;bound;bremsb;seed;noise_rel_pct;hist_spent;hist_worst_node;cpu_seconds;parallelism;tails_first;sha256;stamp
04cb27d4-6b6e-4c6c-b665-b6175d78bdcb.rmx;453078;2026-09-21 17:23;2026-09-21 14:23;9;22;1;100;6;5.0;3000.0;2.0;1000000;177.1;1;1;1;1;1;1;1;1;0;100.0;267852720;12817854;2137.9;12.1;ANGK(100)/NOIS;a540a92684c09d95;phys=22|12f33d20d0adce7434c8cf6e3802216881cdc665462988767ad7b084e4f282e3
3b84ce13-d635-47d0-b734-62caa283e3f3.rmx;447190;2026-09-21 17:07;2026-09-21 14:07;9;22;1;100;6;5.0;3000.0;2.0;1000000;110.8;1;1;1;1;1;1;1;1;0;100.0;238166327;8100000;1406.3;12.7;ANGK(100)/NOIS;14e2416c157328ba;phys=22|a5cf00bc68ca7c4eb38fd14987a4c04e4c2ebdc7b49d078389a73613d4ae2e6c
41dc6e6a-c186-474f-96d3-4cc500538ab7.rmx;452374;2026-09-21 17:00;2026-09-21 14:00;9;22;1;100;6;5.0;3000.0;2.0;1000000;270.0;1;1;1;1;1;1;1;1;0;100.0;374858103;8100000;3753.0;13.9;ANGK(100)/NOIS;dd45eac804585719;phys=22|5ed02d5b185e552124c81e86bf4e2326711650240db528e0ffce2d22fde2a766
42333387-5295-4665-8c82-6e85c8498a18.rmx;456370;2026-09-21 17:05;2026-09-21 14:05;9;22;1;100;6;5.0;3000.0;2.0;1000000;203.2;1;1;1;1;1;1;1;1;0;100.0;309791713;15860497;2571.0;12.7;ANGK(100)/NOIS;4d4adebdd88a2b42;phys=22|9ac11aea63de81cc95ebea238d4bad8705741b8c0eac04498c8453a63b2ac37c
4c5aa26d-d776-481f-96d8-c01022590f39.rmx;445426;2026-09-21 17:16;2026-09-21 14:16;9;22;1;100;6;5.0;3000.0;2.0;1000000;100.2;1;1;1;1;1;1;1;1;0;100.0;249989124;9308531;1258.6;12.6;ANGK(100)/NOIS;cd6cd612aa9f8153;phys=22|7e28ad9a9694ae5c1727d23937bbdee999bf63a380ac676ae6ce5b0dd6a298e5
50a57c5a-3237-4154-b269-b9fd1a2c7d88.rmx;445222;2026-09-21 17:27;2026-09-21 14:27;9;22;1;100;6;5.0;3000.0;2.0;1000000;179.9;1;1;1;1;1;1;1;1;0;100.0;264425380;11261254;2248.4;12.5;ANGK(100)/NOIS;34320802e57cbf3b;phys=22|3d896b60b03420d19feb273b97134fbef41c00053889596ff499bc8781282e33
5cb11287-beed-4fa3-bf52-21453effbdc8.rmx;446050;2026-09-21 17:19;2026-09-21 14:19;9;22;1;100;6;5.0;3000.0;2.0;1000000;199.4;1;1;1;1;1;1;1;1;0;100.0;411351805;10037516;2670.3;13.4;ANGK(100)/NOIS;721f5be7af3fdbbf;phys=22|a9bd28e36f0c13701ad4416b3d2a6d1fbcea62d24e1636cabf68cc5cce49d510
755bbe16-49f5-465c-8407-0e2520d106fd.rmx;445634;2026-09-21 17:31;2026-09-21 14:31;9;22;1;100;6;5.0;3000.0;2.0;1000000;189.6;1;1;1;1;1;1;1;1;0;100.0;338704065;16086112;2451.7;12.9;ANGK(100)/NOIS;ccde87c25221842e;phys=22|b29cea0ba4720466533325b6e6ae281977a2f20b1dc52764f76c51f55bf0cedc
7fbb8fc3-24b8-440a-b750-80fb11b5a0e6.rmx;443618;2026-09-21 16:55;2026-09-21 13:55;9;22;1;100;6;5.0;3000.0;2.0;1000000;183.7;1;1;1;1;1;1;1;1;0;100.0;838314294;15185982;2499.1;13.6;ANGK(100)/NOIS;71e9600519564d67;phys=22|71302f5e2429a5af99e6220aa83cf3cd81e7c839b47f6398f07af7d205620c0b
aa8a6ecb-5866-4f9d-b359-3c68dba82e5a.rmx;445866;2026-09-21 17:11;2026-09-21 14:11;9;22;1;100;6;5.0;3000.0;2.0;1000000;174.7;1;1;1;1;1;1;1;1;0;100.0;287307909;16095386;2130.7;12.2;ANGK(100)/NOIS;0de4b596ee6c65d3;phys=22|922169005e4b79c0480a0e3aa1db4a6957b79b02b3fd1660e7330006278e2bbe
c482e3bc-e2a8-491f-8759-5df93827eaef.rmx;445538;2026-09-21 17:13;2026-09-21 14:13;9;22;1;100;6;5.0;3000.0;2.0;1000000;109.6;1;1;1;1;1;1;1;1;0;100.0;236352736;8100000;1396.5;12.7;ANGK(100)/NOIS;02f9079c365403ea;phys=22|e246a40e1a76fe4cb48f4296a86147082f39c517389e5172825734230e0002be
