device;curve;guid;rmx_present;format;phys;nodes;emin;emax;histories;hist_spent;noise_weighted_pct;valid_for_curve;curve_stamp;curve_phys;matrix_stamp;created_utc;build_seconds;bytes
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка;7fbb8fc3-24b8-440a-b750-80fb11b5a0e6;1;9;22;100;5;3000;1000000;838314294;3.864;1;"phys=22; hist=1000000; grid=6.1-3000 keV/97 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;71302f5e2429a5af99e6220aa83cf3cd81e7c839b47f6398f07af7d205620c0b";2026-09-21 13:55:55;183.7;443618
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Маринелли;41dc6e6a-c186-474f-96d3-4cc500538ab7;1;9;22;100;5;3000;1000000;374858103;2.901;1;"phys=22; hist=1000000; grid=6.1-3000 keV/97 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;5ed02d5b185e552124c81e86bf4e2326711650240db528e0ffce2d22fde2a766";2026-09-21 14:00:38;270.0;452374
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр;42333387-5295-4665-8c82-6e85c8498a18;1;9;22;100;5;3000;1000000;309791713;2.881;1;"phys=22; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;9ac11aea63de81cc95ebea238d4bad8705741b8c0eac04498c8453a63b2ac37c";2026-09-21 14:05:02;203.2;456370
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка впритык;3b84ce13-d635-47d0-b734-62caa283e3f3;1;9;22;100;5;3000;1000000;238166327;2.685;1;"phys=22; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;a5cf00bc68ca7c4eb38fd14987a4c04e4c2ebdc7b49d078389a73613d4ae2e6c";2026-09-21 14:07:44;110.8;447190
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Цилиндр с боку;aa8a6ecb-5866-4f9d-b359-3c68dba82e5a;1;9;22;100;5;3000;1000000;287307909;2.847;1;"phys=22; hist=1000000; grid=6.5-3000 keV/96 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;922169005e4b79c0480a0e3aa1db4a6957b79b02b3fd1660e7330006278e2bbe";2026-09-21 14:11:13;174.7;445866
1.Atom Spectra Nano 16 Pro RadiaScan 701A;Точка в защите;c482e3bc-e2a8-491f-8759-5df93827eaef;1;9;22;100;5;3000;1000000;236352736;2.665;1;"phys=22; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;e246a40e1a76fe4cb48f4296a86147082f39c517389e5172825734230e0002be";2026-09-21 14:13:46;109.6;445538
Atom Spectra 80x80;Точка;4c5aa26d-d776-481f-96d8-c01022590f39;1;9;22;100;5;3000;1000000;249989124;2.726;1;"phys=22; hist=1000000; grid=5-3000 keV/100 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;7e28ad9a9694ae5c1727d23937bbdee999bf63a380ac676ae6ce5b0dd6a298e5";2026-09-21 14:16:02;100.2;445426
Atom Spectra 80x80;Точка 10 см;5cb11287-beed-4fa3-bf52-21453effbdc8;1;9;22;100;5;3000;1000000;411351805;2.886;1;"phys=22; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;a9bd28e36f0c13701ad4416b3d2a6d1fbcea62d24e1636cabf68cc5cce49d510";2026-09-21 14:19:50;199.4;446050
Atom Spectra 80x80;Th медальон;04cb27d4-6b6e-4c6c-b665-b6175d78bdcb;1;9;22;100;5;3000;1000000;267852720;2.776;1;"phys=22; hist=1000000; grid=7.4-3000 keV/94 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;12f33d20d0adce7434c8cf6e3802216881cdc665462988767ad7b084e4f282e3";2026-09-21 14:23:35;177.1;453078
Atom Spectra 80x80;Цилиндр;50a57c5a-3237-4154-b269-b9fd1a2c7d88;1;9;22;100;5;3000;1000000;264425380;2.861;1;"phys=22; hist=1000000; grid=7.4-3000 keV/94 log; sample=air; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;3d896b60b03420d19feb273b97134fbef41c00053889596ff499bc8781282e33";2026-09-21 14:27:21;179.9;445222
RC-103;Цилиндр;755bbe16-49f5-465c-8407-0e2520d106fd;1;9;22;100;5;3000;1000000;338704065;2.853;1;"phys=22; hist=1000000; grid=5.3-3000 keV/99 log; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2; eltr=1; elmix=1; lbrem=1; lbang=1";22;"phys=22;b29cea0ba4720466533325b6e6ae281977a2f20b1dc52764f76c51f55bf0cedc";2026-09-21 14:31:26;189.6;445634
