geometry,spectrum,preset,vessel
AS80_p67_contact_r28,contact52k__AS80_p67_contact_r28,Atom Spectra Pro 80x80,"диск П67 contact ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_contact_r28,contact_cal0809__AS80_p67_contact_r28,Atom Spectra Pro 80x80,"диск П67 contact ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_contact_r28,contact_cal0809_s1__AS80_p67_contact_r28,Atom Spectra Pro 80x80,"диск П67 contact ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r28,edge93__AS80_p67_edge93_r28,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r28,edge93_s1__AS80_p67_edge93_r28,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r28,edge1709__AS80_p67_edge93_r28,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r28,edge1709_s1__AS80_p67_edge93_r28,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 2.800 кольцо сталь 1.0 мм"
AS80_p67_contact_r33,contact52k__AS80_p67_contact_r33,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_contact_r33,contact_cal0809__AS80_p67_contact_r33,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_contact_r33,contact_cal0809_s1__AS80_p67_contact_r33,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_edge93_r33,edge93__AS80_p67_edge93_r33,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_edge93_r33,edge93_s1__AS80_p67_edge93_r33,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_edge93_r33,edge1709__AS80_p67_edge93_r33,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_edge93_r33,edge1709_s1__AS80_p67_edge93_r33,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 1.0 мм"
AS80_p67_contact_r38,contact52k__AS80_p67_contact_r38,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_contact_r38,contact_cal0809__AS80_p67_contact_r38,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_contact_r38,contact_cal0809_s1__AS80_p67_contact_r38,Atom Spectra Pro 80x80,"диск П67 contact ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r38,edge93__AS80_p67_edge93_r38,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r38,edge93_s1__AS80_p67_edge93_r38,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r38,edge1709__AS80_p67_edge93_r38,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_edge93_r38,edge1709_s1__AS80_p67_edge93_r38,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.800 кольцо сталь 1.0 мм"
AS80_p67_contact_r42,contact52k__AS80_p67_contact_r42,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_contact_r42,contact_cal0809__AS80_p67_contact_r42,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_contact_r42,contact_cal0809_s1__AS80_p67_contact_r42,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_edge93_r42,edge93__AS80_p67_edge93_r42,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_edge93_r42,edge93_s1__AS80_p67_edge93_r42,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_edge93_r42,edge1709__AS80_p67_edge93_r42,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_edge93_r42,edge1709_s1__AS80_p67_edge93_r42,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.200 кольцо сталь 1.0 мм"
AS80_p67_edge93_r33_ring05,edge93__AS80_p67_edge93_r33_ring05,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 0.5 мм"
AS80_p67_edge93_r33_ring05,edge93_s1__AS80_p67_edge93_r33_ring05,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 0.5 мм"
AS80_p67_edge93_r33_ring05,edge1709__AS80_p67_edge93_r33_ring05,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 0.5 мм"
AS80_p67_edge93_r33_ring05,edge1709_s1__AS80_p67_edge93_r33_ring05,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 0.5 мм"
AS80_p67_edge93_r33_ring20,edge93__AS80_p67_edge93_r33_ring20,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 2.0 мм"
AS80_p67_edge93_r33_ring20,edge93_s1__AS80_p67_edge93_r33_ring20,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 2.0 мм"
AS80_p67_edge93_r33_ring20,edge1709__AS80_p67_edge93_r33_ring20,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 2.0 мм"
AS80_p67_edge93_r33_ring20,edge1709_s1__AS80_p67_edge93_r33_ring20,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 3.300 кольцо сталь 2.0 мм"
AS80_p67_contact_p13,contact52k__AS80_p67_contact_p13,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.345 кольцо сталь 1.0 мм"
AS80_p67_contact_p13,contact_cal0809__AS80_p67_contact_p13,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.345 кольцо сталь 1.0 мм"
AS80_p67_contact_p13,contact_cal0809_s1__AS80_p67_contact_p13,Atom Spectra Pro 80x80,"диск П67 contact ρ 4.345 кольцо сталь 1.0 мм"
AS80_p67_edge93_p13,edge93__AS80_p67_edge93_p13,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.345 кольцо сталь 1.0 мм"
AS80_p67_edge93_p13,edge93_s1__AS80_p67_edge93_p13,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.345 кольцо сталь 1.0 мм"
AS80_p67_edge93_p13,edge1709__AS80_p67_edge93_p13,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.345 кольцо сталь 1.0 мм"
AS80_p67_edge93_p13,edge1709_s1__AS80_p67_edge93_p13,Atom Spectra Pro 80x80,"диск П67 edge93 ρ 4.345 кольцо сталь 1.0 мм"
AS80_p88_edge93_r28_al,edge93__AS80_p88_edge93_r28_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 2.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r28_al,edge93_s1__AS80_p88_edge93_r28_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 2.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r28_al,edge1709__AS80_p88_edge93_r28_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 2.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r28_al,edge1709_s1__AS80_p88_edge93_r28_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 2.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r33_al,edge93__AS80_p88_edge93_r33_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.300 кольцо Al 1.0 мм"
AS80_p88_edge93_r33_al,edge93_s1__AS80_p88_edge93_r33_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.300 кольцо Al 1.0 мм"
AS80_p88_edge93_r33_al,edge1709__AS80_p88_edge93_r33_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.300 кольцо Al 1.0 мм"
AS80_p88_edge93_r33_al,edge1709_s1__AS80_p88_edge93_r33_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.300 кольцо Al 1.0 мм"
AS80_p88_edge93_r38_al,edge93__AS80_p88_edge93_r38_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r38_al,edge93_s1__AS80_p88_edge93_r38_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r38_al,edge1709__AS80_p88_edge93_r38_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.800 кольцо Al 1.0 мм"
AS80_p88_edge93_r38_al,edge1709_s1__AS80_p88_edge93_r38_al,Atom Spectra Pro 80x80,"диск П88 edge93 ρ 3.800 кольцо Al 1.0 мм"
AS80_p88_contact_r33_al,contact52k__AS80_p88_contact_r33_al,Atom Spectra Pro 80x80,"диск П88 contact ρ 3.300 кольцо Al 1.0 мм"
AS80_p88_contact_r33_al,contact_cal0809__AS80_p88_contact_r33_al,Atom Spectra Pro 80x80,"диск П88 contact ρ 3.300 кольцо Al 1.0 мм"
AS80_p88_contact_r33_al,contact_cal0809_s1__AS80_p88_contact_r33_al,Atom Spectra Pro 80x80,"диск П88 contact ρ 3.300 кольцо Al 1.0 мм"
