key,det,part,component,kind,keV,intensity_pct,min_range_keV,curve_floor_keV,col_norm,col_sum,col_sum_below,amplitude,area,area_below,continuum_share,model_share,degenerate
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.612,22.7723,30.00,16.00,6.06958E-06,0.0280796,0.018258,0,0,0,0.035855,0.352385,0
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.317,12.2606,30.00,16.00,3.25797E-06,0.0146385,0.0100081,0,0,0,0.034667,0.334689,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.612,46.6215,30.00,20.00,3.52554E-05,0.0284196,0.0193091,3.70616E+06,105327,71562.6,0.149129,0.157543,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.317,25.101,30.00,20.00,1.77616E-05,0.0142973,0.0102959,3.70616E+06,52988,38158.2,0.140816,0.148708,0
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,Nuisance,29.154,0.0469259,30.00,20.00,4.0041E-08,3.23404E-05,1.94193E-05,0,0,0,0.165202,0.980508,0
G1S16_Am241_P25,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,4.42414E-07,3.80243E-05,3.80242E-05,6.99267E+07,2658.91,2658.91,0.051407,0.051407,0
G1S16_Ba133_P25,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,3.05207E-08,3.44771E-06,3.44263E-06,0,0,0,0.094997,0.098673,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,2.77574E-06,0.000280861,0.000280858,1.11257E+07,3124.76,3124.73,0.001539,0.001539,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,5.39263E-06,0.000545353,0.000545348,1.11257E+07,6067.41,6067.36,0.001542,0.001542,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,2.67114E-06,0.000226074,0.000222852,1.11257E+07,2515.23,2479.38,0.001039,0.001039,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,4.83743E-07,4.10143E-05,4.04382E-05,1.11257E+07,456.312,449.902,0.001040,0.001040,0
G1S16_Am241_P5,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,2.85999E-06,0.000651353,0.000651353,2.79176E+07,18184.2,18184.2,0.032237,0.032237,0
G1S16_Ba133_P5,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.54013E-07,5.82002E-05,5.81108E-05,0,0,0,0.000198,0.030499,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.23752E-05,0.00462196,0.00462191,9.82842E+06,45426.6,45426.1,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,2.41027E-05,0.00899624,0.00899616,9.82842E+06,88418.8,88418.1,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.36138E-05,0.00381809,0.00375955,9.82842E+06,37525.8,36950.4,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.47243E-06,0.000696086,0.0006856,9.82842E+06,6841.43,6738.37,0.000000,0.000000,0
G1S24_Am241_P5,G1S24,known,Am-241,Single,26.345,2.27,30.00,20.00,1.37938E-06,0.000651518,0.000651481,1.34275E+08,87482.8,87477.8,0.060203,0.060203,0
G1S24_Ba133_P5,G1S24,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.27161E-07,5.82002E-05,5.8195E-05,0,0,0,0.115488,0.128723,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,21.990,29.2459,30.00,20.00,2.91948E-05,0.00462359,0.0046232,1.85132E+06,8559.77,8559.03,0.001231,0.001231,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,22.163,55.1289,30.00,20.00,5.68546E-05,0.00899934,0.00899858,1.85132E+06,16660.7,16659.3,0.001226,0.001226,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.030,15.2723,30.00,20.00,2.54156E-05,0.0038193,0.00366446,1.85132E+06,7070.76,6784.1,0.028585,0.028585,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.454,2.65737,30.00,20.00,4.62601E-06,0.000696287,0.000668525,1.85132E+06,1289.05,1237.66,0.028030,0.028030,0
