key,det,part,component,kind,keV,intensity_pct,min_range_keV,curve_floor_keV,col_norm,col_sum,col_sum_below,amplitude,area,area_below,continuum_share,model_share,degenerate
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.612,22.7723,30.00,16.00,1.57923E-06,0.0280796,0.018258,0,0,0,0.024587,0.190143,0
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.317,12.2606,30.00,16.00,8.0594E-07,0.0146385,0.0100081,0,0,0,0.024351,0.187093,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.612,46.6215,30.00,20.00,2.12433E-05,0.0284196,0.0193091,4.23334E+06,120310,81742.1,0.121282,0.184277,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.317,25.101,30.00,20.00,1.06759E-05,0.0142973,0.0102959,4.23334E+06,60525.3,43586.1,0.107168,0.162719,0
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,Nuisance,29.154,0.0469259,30.00,20.00,2.42299E-08,3.23404E-05,1.94193E-05,4.67672E+07,1512.47,908.187,0.152453,0.970213,0
G1S16_Am241_P25,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,4.15712E-07,3.80243E-05,3.80241E-05,6.71182E+07,2552.12,2552.11,0.067521,0.067521,0
G1S16_Ba133_P25,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.3293E-08,3.44771E-06,3.44261E-06,0,0,0,0.001044,0.056859,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.79403E-06,0.000280861,0.000280858,1.14281E+07,3209.71,3209.67,0.001316,0.001316,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,3.48712E-06,0.000545353,0.000545348,1.14281E+07,6232.35,6232.29,0.001309,0.001309,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.60299E-06,0.000226074,0.000222918,1.14281E+07,2583.6,2547.54,0.000762,0.000762,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.90038E-07,4.10143E-05,4.04498E-05,1.14281E+07,468.716,462.265,0.000764,0.000764,0
G1S16_Am241_P5,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,4.9033E-07,0.000651412,0.000651412,656787,427.839,427.839,0.000000,0.234410,0
G1S16_Ba133_P5,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,4.40789E-08,5.82002E-05,5.81195E-05,0,0,0,0.000093,0.019751,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,6.75166E-06,0.00462196,0.00462191,9.88007E+06,45665.2,45664.8,0.000113,0.000121,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,1.31683E-05,0.00899624,0.00899616,9.88007E+06,88883.4,88882.6,0.000113,0.000120,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,4.05417E-06,0.00381809,0.00375869,9.88007E+06,37723,37136.1,0.013554,0.014452,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,7.35767E-07,0.000696086,0.000685449,9.88007E+06,6877.38,6772.28,0.013227,0.014103,0
G1S24_Am241_P5,G1S24,known,Am-241,Single,26.345,2.27,30.00,20.00,6.56529E-07,0.000651518,0.000651471,1.3228E+08,86182.5,86176.3,0.000000,0.000000,0
G1S24_Ba133_P5,G1S24,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,4.713E-08,5.82002E-05,5.81957E-05,0,0,0,0.130707,0.137955,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.43796E-05,0.00462359,0.00462315,1.83191E+06,8469.99,8469.18,0.000950,0.000950,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,22.163,55.1289,30.00,20.00,2.79537E-05,0.00899934,0.0089985,1.83191E+06,16485.9,16484.4,0.000948,0.000948,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.47695E-05,0.0038193,0.00366066,1.83191E+06,6996.6,6705.99,0.024635,0.024635,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.69247E-06,0.000696287,0.000667844,1.83191E+06,1275.53,1223.43,0.023804,0.023804,0
