key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,30.00,0,0,1430.7254,21.74,249221972.4,17719913.3,8748696.4,1224352.0,7524344.4,0.0
AS80_Th232Medal,AS80x80,known,30.00,30.00,2.67,0,-15.23,30.00,0,0,237.0277,30.76,24666651.0,-530886.5,110761.6,0.0,110761.6,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,30.00,0,0,183.0123,21.17,45553353.9,531567.0,187928.5,174971.8,12956.7,0.0
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,30.00,0,0,296.9443,52.88,7652685.9,-56187.7,240682.3,0.0,240682.3,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,18.1923,18.14,4359770.1,198742.4,158869.6,155827.9,3041.7,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.3827,0.00,34951.8,1939.4,1518.1,1511.2,6.9,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,216.9909,86.90,771320.0,-53194.9,50.9,0.0,50.9,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,30.00,0,0,5.7386,22.58,94246.7,12984.5,9890.3,3559.3,6331.1,0.0
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,30.00,0,0,14.9572,20.38,379354.2,65808.7,67471.7,774.4,66697.2,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,30.00,0,0,13.0125,90.85,16365.2,12884.7,237.9,237.9,0.0,0.0
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,30.00,0,0,1.5111,20.35,18116.3,1763.7,1644.0,115.0,1529.0,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,30.00,0,0,1.9375,4.98,430170.2,1321.8,816.7,816.7,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,30.00,0,0,3.4485,7.81,452832.7,13191.7,13266.8,566.4,12700.4,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,30.00,0,0,16.6658,14.43,864447.8,19563.2,17670.4,9758.8,7911.6,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,30.00,0,0,1.9192,7.95,184435.3,2925.6,2291.2,2291.2,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,30.00,0,0,8.8430,7.55,1445830.2,17182.5,13003.3,13003.3,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,0,-8.92,30.00,0,0,1.3364,11.71,60416.6,723.2,576.2,385.3,190.9,0.0
G1S16_Y88_P25,G1S16,known,30.00,20.00,5.12,0,-11.94,30.00,0,0,1.2447,25.43,6894.6,-34.8,0.0,0.0,0.0,0.0
G1S16_Am241_P5,G1S16,known,30.00,20.00,1.23,0,-13.03,30.00,0,0,32.6376,21.99,664962.7,92916.6,72557.6,20264.4,52293.2,0.0
