key,det,part,component,kind,keV,intensity_pct,min_range_keV,curve_floor_keV,col_norm,col_sum,col_sum_below,amplitude,area,area_below,continuum_share,model_share,degenerate
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.612,22.7723,30.00,16.00,2.17113E-06,0.0280796,0.018258,3.86872E+07,1.08632E+06,706351,0.024172,0.746010,0
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.317,12.2606,30.00,16.00,1.11536E-06,0.0146385,0.0100081,3.86872E+07,566324,387186,0.023897,0.723520,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.612,46.6215,30.00,20.00,2.13076E-05,0.0284196,0.0193091,4.18171E+06,118843,80745.2,0.118905,0.180092,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.317,25.101,30.00,20.00,1.07087E-05,0.0142973,0.0102959,4.18171E+06,59787.2,43054.5,0.105072,0.158937,0
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,Nuisance,29.154,0.0469259,30.00,20.00,2.42901E-08,3.23404E-05,1.94193E-05,4.61745E+07,1493.3,896.678,0.149630,0.970184,0
G1S16_Am241_P25,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,4.15712E-07,3.80243E-05,3.80241E-05,6.71182E+07,2552.12,2552.11,0.067521,0.067521,0
G1S16_Ba133_P25,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.30642E-08,3.44771E-06,3.44253E-06,0,0,0,0.001015,0.089337,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.7946E-06,0.000280861,0.000280858,1.13972E+07,3201.02,3200.98,0.001307,0.001307,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,3.48824E-06,0.000545353,0.000545348,1.13972E+07,6215.48,6215.42,0.001300,0.001300,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.60173E-06,0.000226074,0.000222933,1.13972E+07,2576.6,2540.81,0.000761,0.000761,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.89801E-07,4.10143E-05,4.04524E-05,1.13972E+07,467.447,461.043,0.000763,0.000763,0
G1S16_Am241_P5,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,4.90329E-07,0.000651412,0.000651412,656704,427.785,427.785,0.000000,0.234410,0
G1S16_Ba133_P5,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,4.16557E-08,5.82002E-05,5.81158E-05,0,0,0,0.000065,0.119224,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,6.75951E-06,0.00462196,0.00462191,9.86506E+06,45595.9,45595.5,0.000112,0.000120,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,1.31836E-05,0.00899624,0.00899616,9.86506E+06,88748.5,88747.7,0.000112,0.000119,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,4.04822E-06,0.00381809,0.00375898,9.86506E+06,37665.7,37082.6,0.013581,0.014483,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,7.34661E-07,0.000696086,0.000685501,9.86506E+06,6866.93,6762.51,0.013255,0.014136,0
G1S24_Am241_P5,G1S24,known,Am-241,Single,26.345,2.27,30.00,20.00,6.56485E-07,0.000651518,0.000651471,1.32277E+08,86180.6,86174.5,0.000000,0.000000,0
G1S24_Ba133_P5,G1S24,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,3.98356E-08,5.82002E-05,5.81949E-05,0,0,0,0.280652,0.287758,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.50583E-05,0.00462359,0.0046231,1.79983E+06,8321.7,8320.8,0.001030,0.006295,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,22.163,55.1289,30.00,20.00,2.92703E-05,0.00899934,0.00899839,1.79983E+06,16197.3,16195.6,0.001028,0.006244,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.60167E-05,0.0038193,0.0036533,1.79983E+06,6874.11,6575.33,0.041372,0.181706,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.91615E-06,0.000696287,0.00066653,1.79983E+06,1253.2,1199.64,0.040111,0.176565,0
