key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,16.00,2,2,28.3555,16.67,249221972.4,17719913.3,15932233.7,8502996.1,7429237.5,0.0
AS80_Th232Medal,AS80x80,known,30.00,30.00,2.67,0,-15.23,30.00,0,0,15.9701,31.56,24666651.0,-530886.5,127633.4,0.0,127633.4,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,20.00,3,3,20.4333,22.07,45553353.9,531567.0,250203.5,116083.1,134120.4,123998.8
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,20.00,2,0,8.3522,54.16,7652685.9,-56187.7,292351.5,0.0,292351.5,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,3.7470,17.82,4359770.1,198742.4,168059.2,165489.6,2569.5,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.4427,0.00,34951.8,1939.4,1661.4,1549.2,112.3,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,5.7139,86.95,771320.0,-53194.9,54.9,0.0,54.9,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,20.00,3,1,1.6483,17.14,94246.7,12984.5,13169.3,1235.5,11933.8,2634.1
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,20.00,3,1,2.6695,20.53,379354.2,65808.7,68056.8,234.0,67822.8,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,20.00,6,4,1.4400,32.03,16365.2,12884.7,12811.3,191.4,12620.0,12611.7
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,20.00,2,0,1.2897,20.63,18116.3,1763.7,1688.3,86.5,1601.7,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,20.00,2,0,1.8059,5.81,430170.2,1321.8,623.1,623.1,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,20.00,2,0,2.2798,7.80,452832.7,13191.7,13340.0,523.6,12816.5,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,20.00,2,0,3.3891,14.77,864447.8,19563.2,17448.1,9380.8,8067.3,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,20.00,2,0,1.7042,8.55,184435.3,2925.6,1950.5,1950.5,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,20.00,2,0,4.1789,8.07,1445830.2,17182.5,11367.1,11367.1,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,0,-8.92,20.00,2,0,1.2597,11.70,60416.6,723.2,603.5,414.3,189.2,0.0
G1S16_Y88_P25,G1S16,known,30.00,20.00,5.12,0,-11.94,20.00,2,0,1.2120,25.43,6894.6,-34.8,0.0,0.0,0.0,0.0
G1S16_Am241_P5,G1S16,known,30.00,20.00,1.23,0,-13.03,20.00,3,1,2.3070,16.41,664962.7,92916.6,93039.8,6929.1,86110.6,17688.9
G1S16_Ba133_P5,G1S16,known,30.00,20.00,9.12,0,-4.84,20.00,3,1,10.8215,25.13,4673220.2,903240.0,964036.0,1896.2,962139.7,0.0
G1S16_Cd109_P5,G1S16,known,30.00,20.00,7.94,0,-6.35,20.00,6,4,3.0574,36.69,240792.8,181626.0,179444.0,0.0,179444.0,179318.0
G1S16_Ce139_P5,G1S16,known,30.00,20.00,8.34,0,-5.89,20.00,2,0,3.1164,23.99,249576.7,25758.0,24948.4,796.7,24151.8,0.0
G1S16_Co57_P5,G1S16,known,30.00,20.00,6.88,0,-7.36,20.00,2,0,1.0434,15.18,8186.8,40.3,45.5,45.5,0.0,0.0
G1S16_Co60_P5,G1S16,known,30.00,20.00,1.24,0,-13.06,20.00,2,0,9.2945,14.16,2911373.2,34623.2,26477.8,26477.8,0.0,0.0
G1S16_Cs137_P5,G1S16,known,30.00,20.00,3.39,0,-10.86,20.00,2,0,8.0261,10.05,4955835.8,352756.0,370112.8,710.9,369401.9,0.0
G1S16_Eu152_P5,G1S16,known,30.00,20.00,6.25,0,-8.03,20.00,2,0,12.2148,20.72,5019321.6,109981.3,100317.1,46271.6,54045.5,0.0
G1S16_Mn54_P5,G1S16,known,30.00,20.00,1.06,0,-43.75,20.00,2,0,3.7670,13.97,656470.7,27129.8,27204.8,27204.8,0.0,0.0
G1S16_Na22_P5,G1S16,known,30.00,20.00,20.80,0,6.94,20.00,2,0,11.2663,10.88,5185070.6,6440.6,4293.3,4293.3,0.0,0.0
G1S16_Th228_P5,G1S16,known,30.00,20.00,1.01,0,-16.72,20.00,2,0,4.3441,18.98,365610.8,7721.3,6542.9,4140.3,2402.6,0.0
G1S16_Y88_P5,G1S16,known,30.00,20.00,1.24,0,-13.08,20.00,2,0,1.3398,9.90,50508.2,644.2,518.0,518.0,0.0,0.0
G1S24_Cs137_P25,G1S24,known,30.00,20.00,11.40,0,-2.38,20.00,2,0,4.2869,17.36,965016.9,13209.3,14988.3,546.6,14441.7,0.0
G1S24_Na22_P25,G1S24,known,30.00,20.00,5.23,0,-8.46,20.00,2,0,6.1356,6.38,4807167.8,51990.7,39165.6,39165.6,0.0,0.0
G1S24_Th228_P25,G1S24,known,30.00,20.00,10.33,0,-3.44,20.00,2,0,4.7886,9.41,1592342.3,11272.6,7127.0,3471.9,3655.1,0.0
G1S24_Y88_P25,G1S24,known,30.00,20.00,11.17,0,-2.60,20.00,2,0,2.0524,6.37,513855.6,1593.3,557.5,557.5,0.0,0.0
G1S24_Am241_P5,G1S24,known,30.00,20.00,0.22,0,-14.71,20.00,3,1,6.7731,27.47,3407676.8,377302.1,457455.8,28052.0,429403.8,89413.5
G1S24_Ba133_P5,G1S24,known,30.00,20.00,7.47,0,-6.40,20.00,3,1,18.9049,27.46,8693353.3,2121574.3,2306081.8,19023.5,2287058.3,0.0
G1S24_Bi207_P5,G1S24,known,30.00,20.00,15.05,0,1.35,20.00,2,0,16.3772,9.18,14994588.8,26980.3,10662.6,10658.9,3.7,0.0
G1S24_Cd109_P5,G1S24,known,30.00,20.00,7.38,0,-6.70,20.00,6,4,2.3182,51.45,60818.6,35435.9,34018.6,56.4,33962.2,33937.3
G1S24_Co60_P5,G1S24,known,30.00,20.00,16.82,0,3.09,20.00,2,0,11.2754,14.38,5316379.5,3584.4,695.4,695.4,0.0,0.0
G1S24_Cs137_P5,G1S24,known,30.00,20.00,10.75,0,-2.95,20.00,2,0,11.3666,16.86,5407373.6,160744.9,177889.7,1825.8,176063.9,0.0
G1S24_Eu152_P5,G1S24,known,30.00,20.00,8.83,0,-5.00,20.00,2,0,30.5876,16.93,44221021.0,364320.3,293042.1,95650.9,197391.3,0.0
