key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,16.00,2,2,23.3462,19.30,249221972.4,17719913.3,9024537.5,1113409.6,7911127.9,0.0
AS80_Th232Medal,AS80x80,known,30.00,30.00,2.67,0,-15.23,30.00,0,0,13.7910,30.03,24666651.0,-530886.5,113894.7,0.0,113894.7,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,20.00,3,3,16.4188,18.17,45553353.9,531567.0,268881.5,132420.6,136460.9,126236.3
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,20.00,2,0,7.6158,52.75,7652685.9,-56187.7,267635.2,0.0,267635.2,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,3.3620,16.85,4359770.1,198742.4,156977.0,154025.4,2951.6,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.3447,0.00,34951.8,1939.4,1692.5,1685.1,7.4,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,5.5937,86.83,771320.0,-53194.9,52.8,0.0,52.8,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,20.00,3,1,1.4788,13.42,94246.7,12984.5,11595.4,42.6,11552.8,2552.1
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,20.00,3,1,2.5185,20.23,379354.2,65808.7,66040.1,11.7,66028.5,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,20.00,6,4,1.4112,29.67,16365.2,12884.7,12460.5,0.5,12459.9,12451.8
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,20.00,2,0,1.2440,20.58,18116.3,1763.7,1690.3,107.0,1583.3,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,20.00,2,0,1.5133,4.20,430170.2,1321.8,823.4,823.4,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,20.00,2,0,1.7900,5.89,452832.7,13191.7,13363.5,570.4,12793.1,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,20.00,2,0,3.0473,13.38,864447.8,19563.2,17688.8,9493.1,8195.6,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,20.00,2,0,1.4878,6.76,184435.3,2925.6,2303.8,2303.8,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,20.00,2,0,3.3148,6.33,1445830.2,17182.5,12820.3,12820.3,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,0,-8.92,20.00,2,0,1.1717,9.21,60416.6,723.2,677.3,495.9,181.5,0.0
G1S16_Y88_P25,G1S16,known,30.00,20.00,5.12,0,-11.94,20.00,2,0,1.2058,25.03,6894.6,-34.8,0.0,0.0,0.0,0.0
G1S16_Am241_P5,G1S16,known,30.00,20.00,1.23,0,-13.03,20.00,3,1,7.6847,85.13,664962.7,92916.6,40387.0,2113.8,38273.2,427.8
G1S16_Ba133_P5,G1S16,known,30.00,20.00,9.12,0,-4.84,20.00,3,1,10.3317,24.41,4673220.2,903240.0,945246.3,7.4,945238.9,0.0
