key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,30.00,0,0,33.1001,21.93,249221972.4,17719913.3,8569254.4,1147513.4,7421741.0,0.0
AS80_Th232Medal,AS80x80,known,30.00,30.00,2.67,0,-15.23,30.00,0,0,16.0267,31.58,24666651.0,-530886.5,126960.0,0.0,126960.0,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,30.00,0,0,21.5765,22.94,45553353.9,531567.0,146083.6,123677.3,22406.3,0.0
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,30.00,0,0,8.4982,54.26,7652685.9,-56187.7,296033.5,0.0,296033.5,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,3.8466,18.27,4359770.1,198742.4,157608.8,154568.3,3040.5,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.3637,0.00,34951.8,1939.4,1537.1,1530.3,6.7,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,5.7144,86.95,771320.0,-53194.9,54.9,0.0,54.9,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,30.00,0,0,1.8195,22.46,94246.7,12984.5,9403.2,2432.2,6971.1,0.0
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,30.00,0,0,2.6895,20.59,379354.2,65808.7,67854.4,11.7,67842.7,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,30.00,0,0,1.8707,91.44,16365.2,12884.7,19.9,19.9,0.0,0.0
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,30.00,0,0,1.2902,20.60,18116.3,1763.7,1697.2,101.2,1596.0,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,30.00,0,0,1.7282,5.03,430170.2,1321.8,762.2,762.2,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,30.00,0,0,2.2817,7.83,452832.7,13191.7,13247.0,504.6,12742.4,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,30.00,0,0,3.3897,14.80,864447.8,19563.2,17348.8,9243.5,8105.3,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,30.00,0,0,1.6709,7.98,184435.3,2925.6,2182.3,2182.3,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,30.00,0,0,4.1097,7.66,1445830.2,17182.5,12122.4,12122.4,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,0,-8.92,30.00,0,0,1.2600,11.72,60416.6,723.2,589.4,400.4,189.1,0.0
G1S16_Y88_P25,G1S16,known,30.00,20.00,5.12,0,-11.94,30.00,0,0,1.2120,25.43,6894.6,-34.8,0.0,0.0,0.0,0.0
G1S16_Am241_P5,G1S16,known,30.00,20.00,1.23,0,-13.03,30.00,0,0,2.8804,22.08,664962.7,92916.6,71016.4,16763.3,54253.1,0.0
G1S16_Ba133_P5,G1S16,known,30.00,20.00,9.12,0,-4.84,30.00,0,0,10.8786,25.17,4673220.2,903240.0,963002.0,7.4,962994.6,0.0
G1S16_Cd109_P5,G1S16,known,30.00,20.00,7.94,0,-6.35,30.00,0,0,4.4014,86.84,240792.8,181626.0,1105.5,1105.5,0.0,0.0
G1S16_Ce139_P5,G1S16,known,30.00,20.00,8.34,0,-5.89,30.00,0,0,3.1056,23.93,249576.7,25758.0,25157.5,1117.4,24040.1,0.0
G1S16_Co57_P5,G1S16,known,30.00,20.00,6.88,0,-7.36,30.00,0,0,1.0356,14.79,8186.8,40.3,44.0,44.0,0.0,0.0
G1S16_Co60_P5,G1S16,known,30.00,20.00,1.24,0,-13.06,30.00,0,0,9.1848,13.93,2911373.2,34623.2,28433.6,28433.6,0.0,0.0
G1S16_Cs137_P5,G1S16,known,30.00,20.00,3.39,0,-10.86,30.00,0,0,8.0358,10.04,4955835.8,352756.0,369243.3,6.7,369236.6,0.0
G1S16_Eu152_P5,G1S16,known,30.00,20.00,6.25,0,-8.03,30.00,0,0,12.2146,20.71,5019321.6,109981.3,101271.8,47290.7,53981.1,0.0
G1S16_Mn54_P5,G1S16,known,30.00,20.00,1.06,0,-43.75,30.00,0,0,3.2083,9.52,656470.7,27129.8,25661.0,25661.0,0.0,0.0
G1S16_Na22_P5,G1S16,known,30.00,20.00,20.80,0,6.94,30.00,0,0,12.0853,11.80,5185070.6,6440.6,2121.5,2121.5,0.0,0.0
G1S16_Th228_P5,G1S16,known,30.00,20.00,1.01,0,-16.72,30.00,0,0,4.3202,18.86,365610.8,7721.3,6681.0,4281.4,2399.5,0.0
G1S16_Y88_P5,G1S16,known,30.00,20.00,1.24,0,-13.08,30.00,0,0,1.3278,9.73,50508.2,644.2,534.8,534.8,0.0,0.0
G1S24_Cs137_P25,G1S24,known,30.00,20.00,11.40,0,-2.38,30.00,0,0,4.1387,16.43,965016.9,13209.3,14124.5,265.1,13859.4,0.0
G1S24_Na22_P25,G1S24,known,30.00,20.00,5.23,0,-8.46,30.00,0,0,6.1734,6.12,4807167.8,51990.7,48406.6,48406.6,0.0,0.0
G1S24_Th228_P25,G1S24,known,30.00,20.00,10.33,0,-3.44,30.00,0,0,4.2060,7.40,1592342.3,11272.6,10557.9,6861.4,3696.5,0.0
