=== плечо s105_base: понятная часть малой базы, файлов 43 ===
полоса 60…450 кэВ, спектров 34
спектр                                      кан  сред,%   rms,%   шум,%     R2  dE,кэВ
G1S16_Na22_P5_curves.csv                    138    -0.2     4.9     0.8  0.010   -0.52
G1S16_Co60_P5_curves.csv                    134    -0.9     4.7     1.1  0.051   -1.05
G1S24_Co60_P5_curves.csv                    137    -0.3     4.7     0.8  0.043   -1.18
G1S16_Na22_P25_curves.csv                   135    +0.1     4.7     1.4  0.005   -0.11
G1S16_Cs137_P25_curves.csv                  135    -0.2     4.6     2.4  0.002   +0.03
G1S16_Mn54_P5_curves.csv                    128    -0.0     4.6     2.1  0.062   +0.65
AS80_Cs137_0cm_curves.csv                  1069    +0.0     4.3     1.6  0.232   +0.35
G1S24_Y88_P25_curves.csv                    135    -0.1     4.1     2.5  0.027   -0.14
G1S16_Co60_P25_curves.csv                   136    -0.1     3.8     2.8  0.054   +0.12
G1S24_Na22_P25_curves.csv                   136    -0.2     3.5     0.8  0.012   -0.06
--- медианы: rms 6.8 %, пуассоновский шум 1.5 %, R2 0.039; rms выше шума у 34 из 34


=== плечо s105_kf1: понятная часть малой базы, файлов 43 ===
полоса 60…450 кэВ, спектров 34
спектр                                      кан  сред,%   rms,%   шум,%     R2  dE,кэВ
ASN16_Lu176_P0_curves.csv                   908    -5.0    33.9    17.6  0.005   +0.07
G1S16_Ce139_P5_curves.csv                   116   -10.6    28.0     2.7  0.130   +6.54
G1S24_Ba133_P5_curves.csv                   135    -6.7    24.1     0.5  0.089   +2.02
G1S16_Ba133_P5_curves.csv                   137    -5.6    23.0     0.7  0.105   +2.97
G1S16_Eu152_P5_curves.csv                   134    -3.9    21.4     0.7  0.014   +0.67
G1S16_Ba133_P25_curves.csv                  130    -4.7    20.5     2.3  0.093   +3.06
G1S24_Eu152_P5_curves.csv                   135    -1.5    16.4     0.2  0.017   +0.44
G1S16_Th228_P5_curves.csv                   132    -3.0    15.5     2.2  0.060   +1.57
G1S16_Th228_P25_curves.csv                  134    -0.4    15.5     5.6  0.002   -0.22
G1S16_Eu152_P25_curves.csv                  134    -3.1    15.2     1.7  0.028   +2.21
G1S24_Zn65_P5_curves.csv                    135    -1.1    15.2    10.5  0.003   -0.15
ASN16_Lu176_curves.csv                     1031    -1.4     9.2     1.7  0.448   +0.08
G1S16_Y88_P5_curves.csv                     133    -0.7     8.1     8.2  0.000   -0.02
G1S24_Bi207_P5_curves.csv                   137    -1.9     7.8     0.4  0.151   +1.74
AS80_Lu176_curves.csv                      1057    -1.0     7.1     3.7  0.111   -0.03
AS80_Th232Medal_curves.csv                 1052    -1.0     6.4     0.8  0.102   +0.15
G1S16_Mn54_P25_curves.csv                   133    -0.2     5.4     3.8  0.002   -0.33
G1S24_Th228_P25_curves.csv                  136    -0.7     4.6     1.1  0.035   +0.77
G1S24_Na22_P5_curves.csv                    141    -0.5     4.6     0.3  0.034   -0.29
G1S24_Th228_P5_curves.csv                   134    -0.5     4.6     0.2  0.059   +0.49
G1S16_Na22_P5_curves.csv                    138    -0.3     4.1     0.8  0.009   -0.20
G1S16_Cs137_P5_curves.csv                   134    -0.4     4.0     0.7  0.017   +0.07
G1S24_Y88_P25_curves.csv                    135    -0.1     3.4     2.5  0.000   -0.12
G1S24_Cs137_P5_curves.csv                   137    -0.5     3.4     0.7  0.029   +0.22
G1S16_Mn54_P5_curves.csv                    128    +0.2     3.2     2.1  0.014   +0.16
G1S16_Cs137_P25_curves.csv                  135    -0.1     3.2     2.4  0.000   +0.03
G1S16_Co60_P25_curves.csv                   136    -0.1     3.0     2.8  0.001   +0.11
G1S16_Co60_P5_curves.csv                    134    +0.1     2.9     1.1  0.001   +0.02
G1S24_Co60_P5_curves.csv                    137    -0.1     2.9     0.8  0.003   -0.22
G1S16_Na22_P25_curves.csv                   135    +0.1     2.8     1.4  0.001   -0.05
G1S24_Na22_P25_curves.csv                   136    -0.1     2.7     0.8  0.001   +0.00
G1S24_Cs137_P25_curves.csv                  135    -0.1     2.5     1.6  0.003   -0.13
AS80_Cs137_0cm_curves.csv                  1069    -0.1     2.5     1.6  0.167   -0.08
G1S24_Y88_P5_curves.csv                     134    -0.1     2.1     0.9  0.005   +0.14
--- медианы: rms 5.0 %, пуассоновский шум 1.5 %, R2 0.016; rms выше шума у 33 из 34


=== плечо s105_huber0: понятная часть малой базы, файлов 43 ===
полоса 60…450 кэВ, спектров 34
спектр                                      кан  сред,%   rms,%   шум,%     R2  dE,кэВ
ASN16_Lu176_P0_curves.csv                   908    -4.9    40.8    17.6  0.013   +0.25
G1S16_Ce139_P5_curves.csv                   116   -11.9    32.2     2.7  0.289   +8.89
G1S16_Ba133_P5_curves.csv                   137    -8.1    30.2     0.7  0.091   +3.49
G1S24_Ba133_P5_curves.csv                   135    -9.2    27.7     0.5  0.105   +4.56
G1S16_Eu152_P5_curves.csv                   134    -6.8    27.2     0.7  0.057   +4.46
G1S16_Ba133_P25_curves.csv                  130    -4.5    23.3     2.3  0.142   +3.88
G1S24_Zn65_P5_curves.csv                    135    -3.7    21.6    10.5  0.195   -1.97
G1S24_Eu152_P5_curves.csv                   135    -5.9    21.4     0.2  0.039   +2.87
G1S24_Cs137_P5_curves.csv                   137    -6.1    20.8     0.7  0.733   +3.57
G1S16_Th228_P5_curves.csv                   132    -4.1    19.5     2.2  0.003   +0.65
G1S16_Eu152_P25_curves.csv                  134    -3.3    18.9     1.7  0.036   +3.16
G1S16_Co60_P5_curves.csv                    134    -4.3    18.0     1.1  0.662   +0.25
G1S24_Co60_P5_curves.csv                    137    -4.6    16.3     0.8  0.698   -3.23
G1S16_Th228_P25_curves.csv                  134    -2.2    16.2     5.6  0.010   +0.27
G1S24_Na22_P5_curves.csv                    141    -2.3    15.4     0.3  0.474   -0.83
G1S16_Y88_P5_curves.csv                     133    -2.7    15.1     8.2  0.248   +2.21
G1S16_Na22_P5_curves.csv                    138    -1.5    12.7     0.8  0.357   +0.83
ASN16_Lu176_curves.csv                     1031    -1.8    12.4     1.7  0.227   -0.04
G1S16_Cs137_P5_curves.csv                   134    -1.6    11.5     0.7  0.202   -2.34
G1S24_Bi207_P5_curves.csv                   137    -2.4    10.8     0.4  0.068   +1.62
G1S24_Y88_P5_curves.csv                     134    -1.6    10.6     0.9  0.223   +3.99
AS80_Lu176_curves.csv                      1057    -4.2    10.0     3.7  0.298   -0.11
AS80_Th232Medal_curves.csv                 1052    -1.6     9.8     0.8  0.194   +0.94
G1S16_Mn54_P5_curves.csv                    128    -0.4     9.6     2.1  0.351   +1.08
G1S24_Th228_P5_curves.csv                   134    -1.3     8.9     0.2  0.003   -0.12
G1S16_Mn54_P25_curves.csv                   133    -0.2     8.3     3.8  0.020   +0.21
G1S24_Cs137_P25_curves.csv                  135    -0.1     7.0     1.6  0.358   +2.14
G1S16_Cs137_P25_curves.csv                  135    -0.8     7.0     2.4  0.051   -0.58
AS80_Cs137_0cm_curves.csv                  1069    -1.0     6.2     1.6  0.334   +1.31
G1S16_Na22_P25_curves.csv                   135    -0.3     6.0     1.4  0.007   -0.90
G1S24_Th228_P25_curves.csv                  136    -1.1     5.9     1.1  0.033   +0.97
G1S24_Na22_P25_curves.csv                   136    -0.5     5.4     0.8  0.160   +0.37
G1S24_Y88_P25_curves.csv                    135    -0.3     5.3     2.5  0.121   +0.14
G1S16_Co60_P25_curves.csv                   136    -0.3     4.7     2.8  0.114   +0.42
--- медианы: rms 12.6 %, пуассоновский шум 1.5 %, R2 0.151; rms выше шума у 34 из 34


