key,det,part,min_range_keV,curve_floor_keV,adc_floor_keV,fit_lo_ch,fit_lo_keV,line_floor_keV,lines_below,audited_lines,chi2ndf,model_residual_pct,data_total,data_below,model_below,continuum_below,images_below,area_lines_below
ASN16_Cs137,ASN16,unknown,30.00,16.00,0.34,0,-6.51,30.00,0,0,16.5987,17.72,249221972.4,17719913.3,8827861.4,1212328.5,7615533.0,0.0
AS80_Th232Medal,AS80x80,known,30.00,30.00,2.67,0,-15.23,30.00,0,0,10.9206,28.84,24666651.0,-530886.5,100300.1,0.0,100300.1,0.0
AS80_Th232WT20,AS80x80,unknown,30.00,20.00,10.82,0,-6.51,30.00,0,0,7.6160,11.42,45553353.9,531567.0,147572.1,125097.3,22474.8,0.0
AS80_Cs137_0cm,AS80x80,known,30.00,20.00,12.97,0,-5.01,30.00,0,0,7.1000,48.69,7652685.9,-56187.7,13935.3,6775.1,7160.1,0.0
ASN16_Lu176,ASN16,known,30.00,30.00,0.34,0,-4.82,30.00,0,0,3.1708,16.30,4359770.1,198742.4,156922.9,154006.6,2916.3,0.0
ASN16_Lu176_P0,ASN16,known,30.00,30.00,0.32,0,-8.92,30.00,0,0,0.3278,0.00,34951.8,1939.4,1602.4,1588.0,14.4,0.0
AS80_Lu176,AS80x80,known,30.00,30.00,11.30,0,-7.62,30.00,0,0,5.5220,86.71,771320.0,-53194.9,45.5,0.0,45.5,0.0
G1S16_Am241_P25,G1S16,known,30.00,20.00,2.28,0,-11.92,30.00,0,0,1.7795,21.80,94246.7,12984.5,9254.9,1225.5,8029.3,0.0
G1S16_Ba133_P25,G1S16,known,30.00,20.00,8.92,0,-5.15,30.00,0,0,2.4606,20.13,379354.2,65808.7,65491.9,11.7,65480.1,0.0
G1S16_Cd109_P25,G1S16,known,30.00,20.00,9.36,0,-4.87,30.00,0,0,1.8702,91.25,16365.2,12884.7,52.2,52.2,0.0,0.0
G1S16_Ce139_P25,G1S16,known,30.00,20.00,9.05,0,-5.11,30.00,0,0,1.2508,19.57,18116.3,1763.7,1698.2,148.8,1549.4,0.0
G1S16_Co60_P25,G1S16,known,30.00,20.00,15.03,0,0.95,30.00,0,0,1.3774,3.69,430170.2,1321.8,823.3,823.3,0.0,0.0
G1S16_Cs137_P25,G1S16,known,30.00,20.00,10.07,0,-4.05,30.00,0,0,1.5117,5.02,452832.7,13191.7,12963.1,1024.0,11939.2,0.0
G1S16_Eu152_P25,G1S16,known,30.00,20.00,6.60,0,-7.62,30.00,0,0,2.8337,12.09,864447.8,19563.2,17576.3,10225.4,7350.9,0.0
G1S16_Mn54_P25,G1S16,known,30.00,20.00,2.28,0,-11.96,30.00,0,0,1.3418,5.71,184435.3,2925.6,2303.2,2303.2,0.0,0.0
G1S16_Na22_P25,G1S16,known,30.00,20.00,6.21,0,-7.97,30.00,0,0,2.8683,5.94,1445830.2,17182.5,12830.6,12830.6,0.0,0.0
G1S16_Th228_P25,G1S16,known,30.00,20.00,5.29,0,-8.92,30.00,0,0,1.1715,9.18,60416.6,723.2,671.6,479.6,192.0,0.0
