key,det,part,component,kind,keV,intensity_pct,min_range_keV,curve_floor_keV,col_norm,col_sum,col_sum_below,amplitude,area,area_below,continuum_share,model_share,degenerate
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.612,22.7723,30.00,16.00,1.65298E-06,0.0280796,0.018258,0,0,0,0.155372,0.232482,0
ASN16_Cs137,ASN16,unknown,Xray-CsI,Nuisance,28.317,12.2606,30.00,16.00,8.51704E-07,0.0146385,0.0100081,0,0,0,0.157496,0.232221,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.612,46.6215,30.00,20.00,2.14052E-05,0.0284196,0.0193091,4.14819E+06,117890,80097.9,0.096331,0.140652,0
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,Nuisance,28.317,25.101,30.00,20.00,1.0709E-05,0.0142973,0.0102959,4.14819E+06,59307.9,42709.4,0.084401,0.123112,0
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,Nuisance,29.154,0.0469259,30.00,20.00,2.45647E-08,3.23404E-05,1.94193E-05,6.13594E+07,1984.39,1191.56,0.123460,0.965430,0
G1S16_Am241_P25,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,3.05606E-07,3.80243E-05,3.80242E-05,6.92733E+07,2634.07,2634.06,0.038801,0.038801,0
G1S16_Ba133_P25,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,1.4598E-08,3.44771E-06,3.44266E-06,0,0,0,0.079735,0.096925,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.75776E-06,0.000280861,0.000280858,1.15799E+07,3252.33,3252.29,0.059365,0.059365,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,3.41642E-06,0.000545353,0.000545347,1.15799E+07,6315.11,6315.05,0.059858,0.059858,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.62037E-06,0.000226074,0.000222521,1.15799E+07,2617.91,2576.77,0.031867,0.031867,0
G1S16_Cd109_P25,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.93362E-07,4.10143E-05,4.03794E-05,1.15799E+07,474.941,467.588,0.031845,0.031845,0
G1S16_Am241_P5,G1S16,known,Am-241,Single,26.345,2.27,30.00,20.00,1.53073E-06,0.000651353,0.000651353,2.71571E+07,17688.9,17688.9,0.029256,0.029256,0
G1S16_Ba133_P5,G1S16,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,6.89858E-08,5.82002E-05,5.81115E-05,0,0,0,0.115253,0.131979,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,21.990,29.2459,30.00,20.00,6.73398E-06,0.00462196,0.00462191,9.92741E+06,45884.1,45883.6,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,22.163,55.1289,30.00,20.00,1.31337E-05,0.00899624,0.00899616,9.92741E+06,89309.3,89308.5,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.030,15.2723,30.00,20.00,4.10382E-06,0.00381809,0.00375929,9.92741E+06,37903.7,37320,0.000000,0.000000,0
G1S16_Cd109_P5,G1S16,known,Cd-109,Single,25.454,2.65737,30.00,20.00,7.44748E-07,0.000696086,0.000685555,9.92741E+06,6910.33,6805.78,0.000000,0.000000,0
G1S24_Am241_P5,G1S24,known,Am-241,Single,26.345,2.27,30.00,20.00,3.70803E-07,0.000651518,0.00065148,1.37247E+08,89418.6,89413.5,0.009352,0.009352,0
G1S24_Ba133_P5,G1S24,known,Esc-NaI,Nuisance,24.550,0.247012,30.00,20.00,3.44604E-08,5.82002E-05,5.81952E-05,0,0,0,0.006887,0.025109,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,21.990,29.2459,30.00,20.00,1.11767E-05,0.00462359,0.004623,1.89173E+06,8746.61,8745.48,0.000116,0.000116,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,22.163,55.1289,30.00,20.00,2.17422E-05,0.00899934,0.0089982,1.89173E+06,17024.4,17022.2,0.000116,0.000116,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.030,15.2723,30.00,20.00,1.1898E-05,0.0038193,0.00365226,1.89173E+06,7225.1,6909.1,0.019046,0.019046,0
G1S24_Cd109_P5,G1S24,known,Cd-109,Single,25.454,2.65737,30.00,20.00,2.16342E-06,0.000696287,0.000666335,1.89173E+06,1317.19,1260.53,0.018401,0.018401,0
