ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th-L
0,-7.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-7.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-6.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-6.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-6.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-5.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-5.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-5.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-4.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-4.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-4.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-3.682,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-3.346,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-3.010,0.000,0.005,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-2.674,0.000,0.010,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,-2.338,0.000,0.013,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,-2.002,0.000,0.017,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,-1.665,0.000,0.024,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,-1.329,0.000,0.032,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,-0.993,0.000,0.041,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,-0.657,0.000,0.056,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,-0.321,0.000,0.073,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0.015,0.000,0.095,0.000,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0.351,0.000,0.124,0.000,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0.688,0.000,0.164,0.000,0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
26,1.024,0.000,0.213,0.000,0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
27,1.360,0.000,0.277,0.000,0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
28,1.696,0.000,0.363,0.000,0.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
29,2.033,0.000,0.472,0.000,0.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
30,2.369,0.000,0.614,0.000,0.611,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003
31,2.705,0.000,0.802,0.000,0.797,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
32,3.042,0.000,1.043,0.000,1.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
33,3.378,0.000,1.356,0.000,1.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007
34,3.715,0.000,1.765,0.000,1.756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009
35,4.051,0.000,2.299,0.000,2.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011
36,4.388,0.000,2.992,0.000,2.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
37,4.724,0.000,3.897,0.000,3.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016
38,5.061,0.000,5.076,0.000,5.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020
39,5.397,0.000,6.611,0.000,6.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025
40,5.734,0.000,8.613,0.000,8.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
41,6.070,0.000,11.223,0.000,11.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037
42,6.407,0.000,14.627,0.000,14.581,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046
43,6.744,0.000,19.068,0.000,19.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057
44,7.080,0.000,24.861,0.000,24.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070
45,7.417,0.000,32.422,0.000,32.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086
46,7.754,0.000,42.287,0.000,42.181,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.106
47,8.090,0.000,55.072,0.000,54.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.131
48,8.427,0.000,69.666,0.000,69.504,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.162
49,8.764,0.000,84.798,0.000,84.598,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.200
50,9.101,0.000,99.510,0.000,99.262,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.246
51,9.438,0.852,113.004,0.000,112.699,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.304
52,9.774,0.000,124.909,0.000,124.532,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.375
53,10.111,0.000,135.031,0.000,134.566,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.463
54,10.448,0.037,142.469,0.000,141.894,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.572
55,10.785,4.889,147.369,0.000,146.659,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.706
56,11.122,12.853,150.262,0.000,149.386,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.872
