ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
7529,2665.380,35.445,21.472,4.571,0.000,21.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7530,2665.880,46.149,21.371,4.567,0.000,21.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7531,2666.381,32.297,21.270,4.562,0.000,21.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7532,2666.881,32.519,21.169,4.558,0.000,21.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7533,2667.382,25.149,21.067,4.554,0.000,21.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7534,2667.882,24.445,20.965,4.549,0.000,20.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7535,2668.383,26.223,20.862,4.545,0.000,20.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7536,2668.884,37.778,20.759,4.541,0.000,20.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7537,2669.385,36.593,20.656,4.536,0.000,20.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7538,2669.887,38.741,20.552,4.532,0.000,20.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7539,2670.388,32.371,20.448,4.528,0.000,20.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7540,2670.889,33.297,20.344,4.523,0.000,20.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7541,2671.391,42.519,20.239,4.519,0.000,20.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7542,2671.893,30.186,20.134,4.515,0.000,20.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7543,2672.394,26.741,20.029,4.510,0.000,20.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7544,2672.896,34.371,19.923,4.506,0.000,19.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7545,2673.399,27.185,19.818,4.502,0.000,19.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7546,2673.901,29.667,19.712,4.497,0.000,19.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7547,2674.403,35.889,19.606,4.493,0.000,19.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7548,2674.906,27.185,19.499,4.489,0.000,19.499,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7549,2675.408,26.815,19.393,4.484,0.000,19.393,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7550,2675.911,31.075,19.286,4.480,0.000,19.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7551,2676.414,30.371,19.179,4.476,0.000,19.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7552,2676.917,34.889,19.072,4.471,0.000,19.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7553,2677.420,30.223,18.965,4.467,0.000,18.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7554,2677.923,33.185,18.858,4.463,0.000,18.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7555,2678.426,25.852,18.750,4.458,0.000,18.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7556,2678.930,29.815,18.643,4.454,0.000,18.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7557,2679.433,34.223,18.535,4.450,0.000,18.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7558,2679.937,30.223,18.427,4.445,0.000,18.427,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7559,2680.441,23.519,18.320,4.441,0.000,18.319,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7560,2680.945,30.815,18.212,4.437,0.000,18.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7561,2681.449,30.111,18.104,4.432,0.000,18.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7562,2681.953,28.815,17.996,4.428,0.000,17.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7563,2682.457,20.815,17.888,4.424,0.000,17.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7564,2682.962,28.297,17.780,4.419,0.000,17.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7565,2683.467,29.334,17.672,4.415,0.000,17.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7566,2683.971,34.815,17.565,4.411,0.000,17.564,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7567,2684.476,23.963,17.457,4.406,0.000,17.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7568,2684.981,22.297,17.349,4.402,0.000,17.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7569,2685.486,41.593,17.241,4.398,0.000,17.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
