ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
2404,817.978,108.194,134.152,131.022,62.251,67.893,0.000,4.007,0.000,0.000,0.000,0.000,0.000,0.000
2405,818.315,121.860,134.055,130.924,62.225,67.828,0.000,4.001,0.000,0.000,0.000,0.000,0.000,0.000
2406,818.652,100.564,133.959,130.826,62.199,67.764,0.000,3.995,0.000,0.000,0.000,0.000,0.000,0.000
2407,818.989,110.416,133.863,130.729,62.173,67.700,0.000,3.990,0.000,0.000,0.000,0.000,0.000,0.000
2408,819.326,90.305,133.767,130.631,62.146,67.636,0.000,3.984,0.000,0.000,0.000,0.000,0.000,0.000
2409,819.663,106.416,133.671,130.533,62.120,67.572,0.000,3.979,0.000,0.000,0.000,0.000,0.000,0.000
2410,820.000,113.119,133.576,130.435,62.094,67.508,0.000,3.973,0.000,0.000,0.000,0.000,0.000,0.000
2411,820.337,98.861,133.482,130.337,62.068,67.445,0.000,3.968,0.000,0.000,0.000,0.000,0.000,0.000
2412,820.673,115.009,133.387,130.239,62.042,67.382,0.000,3.963,0.000,0.000,0.000,0.000,0.000,0.000
2413,821.010,114.712,133.293,130.141,62.016,67.319,0.000,3.958,0.000,0.000,0.000,0.000,0.000,0.000
2414,821.347,123.564,133.200,130.044,61.990,67.256,0.000,3.953,0.000,0.000,0.000,0.000,0.000,0.000
2415,821.684,121.231,133.106,129.946,61.964,67.194,0.000,3.948,0.000,0.000,0.000,0.000,0.000,0.000
2416,822.021,101.934,133.013,129.848,61.938,67.131,0.000,3.943,0.000,0.000,0.000,0.000,0.000,0.000
2417,822.357,96.675,132.921,129.750,61.912,67.069,0.000,3.939,0.000,0.000,0.000,0.000,0.000,0.000
2418,822.694,93.861,132.828,129.652,61.886,67.008,0.000,3.934,0.000,0.000,0.000,0.000,0.000,0.000
2419,823.031,118.157,132.736,129.554,61.860,66.946,0.000,3.929,0.000,0.000,0.000,0.000,0.000,0.000
2420,823.368,88.490,132.644,129.456,61.835,66.884,0.000,3.925,0.000,0.000,0.000,0.000,0.000,0.000
2421,823.705,116.823,132.553,129.359,61.809,66.823,0.000,3.920,0.000,0.000,0.000,0.000,0.000,0.000
2422,824.041,112.268,132.462,129.261,61.784,66.762,0.000,3.916,0.000,0.000,0.000,0.000,0.000,0.000
2423,824.378,102.861,132.371,129.163,61.758,66.701,0.000,3.912,0.000,0.000,0.000,0.000,0.000,0.000
2424,824.715,103.083,132.281,129.065,61.733,66.640,0.000,3.907,0.000,0.000,0.000,0.000,0.000,0.000
2425,825.051,101.230,132.191,128.967,61.708,66.580,0.000,3.903,0.000,0.000,0.000,0.000,0.000,0.000
2426,825.388,117.046,132.101,128.869,61.682,66.519,0.000,3.899,0.000,0.000,0.000,0.000,0.000,0.000
2427,825.725,109.453,132.012,128.771,61.657,66.459,0.000,3.895,0.000,0.000,0.000,0.000,0.000,0.000
2428,826.061,103.527,131.923,128.674,61.632,66.399,0.000,3.891,0.000,0.000,0.000,0.000,0.000,0.000
2429,826.398,93.193,131.834,128.576,61.607,66.339,0.000,3.887,0.000,0.000,0.000,0.000,0.000,0.000
2430,826.735,86.638,131.746,128.478,61.583,66.279,0.000,3.884,0.000,0.000,0.000,0.000,0.000,0.000
2431,827.071,112.416,131.658,128.380,61.558,66.220,0.000,3.880,0.000,0.000,0.000,0.000,0.000,0.000
2432,827.408,105.638,131.570,128.282,61.533,66.160,0.000,3.876,0.000,0.000,0.000,0.000,0.000,0.000
2433,827.744,113.711,131.482,128.184,61.509,66.101,0.000,3.872,0.000,0.000,0.000,0.000,0.000,0.000
2434,828.081,105.564,131.395,128.086,61.484,66.042,0.000,3.869,0.000,0.000,0.000,0.000,0.000,0.000
2435,828.418,105.305,131.309,127.989,61.460,65.983,0.000,3.865,0.000,0.000,0.000,0.000,0.000,0.000
2436,828.754,103.971,131.222,127.891,61.436,65.924,0.000,3.862,0.000,0.000,0.000,0.000,0.000,0.000
2437,829.091,99.194,131.136,127.793,61.412,65.865,0.000,3.858,0.000,0.000,0.000,0.000,0.000,0.000
2438,829.427,118.046,131.051,127.695,61.388,65.807,0.000,3.855,0.000,0.000,0.000,0.000,0.000,0.000
2439,829.764,128.119,130.965,127.597,61.365,65.748,0.000,3.852,0.000,0.000,0.000,0.000,0.000,0.000
2440,830.100,118.935,130.880,127.499,61.341,65.690,0.000,3.848,0.000,0.000,0.000,0.000,0.000,0.000
2441,830.437,136.379,130.795,127.401,61.317,65.632,0.000,3.845,0.000,0.000,0.000,0.000,0.000,0.000
2442,830.773,122.787,130.710,127.304,61.294,65.574,0.000,3.842,0.000,0.000,0.000,0.000,0.000,0.000
2443,831.110,103.454,130.625,127.206,61.270,65.516,0.000,3.839,0.000,0.000,0.000,0.000,0.000,0.000
2444,831.446,115.267,130.541,127.108,61.246,65.459,0.000,3.836,0.000,0.000,0.000,0.000,0.000,0.000
2445,831.783,129.267,130.456,127.010,61.222,65.401,0.000,3.833,0.000,0.000,0.000,0.000,0.000,0.000
2446,832.119,112.786,130.371,126.912,61.198,65.344,0.000,3.830,0.000,0.000,0.000,0.000,0.000,0.000
2447,832.455,121.934,130.287,126.814,61.173,65.287,0.000,3.827,0.000,0.000,0.000,0.000,0.000,0.000
2448,832.792,110.786,130.203,126.716,61.149,65.230,0.000,3.824,0.000,0.000,0.000,0.000,0.000,0.000
2449,833.128,118.157,130.118,126.619,61.125,65.173,0.000,3.821,0.000,0.000,0.000,0.000,0.000,0.000
2450,833.465,135.527,130.034,126.521,61.100,65.116,0.000,3.818,0.000,0.000,0.000,0.000,0.000,0.000
2451,833.801,88.786,129.950,126.423,61.075,65.059,0.000,3.815,0.000,0.000,0.000,0.000,0.000,0.000
2452,834.137,123.526,129.866,126.325,61.050,65.003,0.000,3.812,0.000,0.000,0.000,0.000,0.000,0.000
2453,834.474,84.861,129.782,126.227,61.025,64.946,0.000,3.810,0.000,0.000,0.000,0.000,0.000,0.000
2454,834.810,124.305,129.697,126.129,61.000,64.890,0.000,3.807,0.000,0.000,0.000,0.000,0.000,0.000
2455,835.146,121.231,129.613,126.031,60.975,64.834,0.000,3.804,0.000,0.000,0.000,0.000,0.000,0.000
2456,835.483,133.193,129.529,125.934,60.949,64.778,0.000,3.802,0.000,0.000,0.000,0.000,0.000,0.000
2457,835.819,100.638,129.445,125.836,60.923,64.723,0.000,3.799,0.000,0.000,0.000,0.000,0.000,0.000
2458,836.155,136.416,129.361,125.738,60.897,64.667,0.000,3.797,0.000,0.000,0.000,0.000,0.000,0.000
2459,836.492,149.861,129.277,125.640,60.871,64.612,0.000,3.794,0.000,0.000,0.000,0.000,0.000,0.000
2460,836.828,120.380,129.193,125.542,60.845,64.557,0.000,3.791,0.000,0.000,0.000,0.000,0.000,0.000
2461,837.164,134.675,129.109,125.444,60.818,64.502,0.000,3.789,0.000,0.000,0.000,0.000,0.000,0.000
2462,837.500,107.046,129.025,125.346,60.791,64.447,0.000,3.786,0.000,0.000,0.000,0.000,0.000,0.000
2463,837.837,96.676,128.940,125.249,60.764,64.392,0.000,3.784,0.000,0.000,0.000,0.000,0.000,0.000
2464,838.173,114.712,128.856,125.151,60.737,64.338,0.000,3.782,0.000,0.000,0.000,0.000,0.000,0.000
2465,838.509,116.526,128.772,125.053,60.709,64.283,0.000,3.779,0.000,0.000,0.000,0.000,0.000,0.000
2466,838.845,138.231,128.688,124.955,60.681,64.229,0.000,3.777,0.000,0.000,0.000,0.000,0.000,0.000
2467,839.181,152.046,128.603,124.857,60.653,64.175,0.000,3.775,0.000,0.000,0.000,0.000,0.000,0.000
2468,839.517,103.120,128.519,124.759,60.625,64.122,0.000,3.772,0.000,0.000,0.000,0.000,0.000,0.000
2469,839.854,119.897,128.434,124.661,60.596,64.068,0.000,3.770,0.000,0.000,0.000,0.000,0.000,0.000
2470,840.190,91.601,128.349,124.564,60.567,64.015,0.000,3.768,0.000,0.000,0.000,0.000,0.000,0.000
2471,840.526,123.305,128.265,124.466,60.538,63.962,0.000,3.765,0.000,0.000,0.000,0.000,0.000,0.000
2472,840.862,141.341,128.180,124.368,60.508,63.909,0.000,3.763,0.000,0.000,0.000,0.000,0.000,0.000
2473,841.198,113.972,128.095,124.270,60.478,63.856,0.000,3.761,0.000,0.000,0.000,0.000,0.000,0.000
2474,841.534,124.083,128.010,124.172,60.447,63.803,0.000,3.759,0.000,0.000,0.000,0.000,0.000,0.000
2475,841.870,96.676,127.925,124.074,60.417,63.751,0.000,3.756,0.000,0.000,0.000,0.000,0.000,0.000
2476,842.206,130.453,127.839,123.976,60.386,63.699,0.000,3.754,0.000,0.000,0.000,0.000,0.000,0.000
2477,842.542,107.008,127.754,123.879,60.354,63.647,0.000,3.752,0.000,0.000,0.000,0.000,0.000,0.000
2478,842.878,126.564,127.669,123.781,60.323,63.596,0.000,3.750,0.000,0.000,0.000,0.000,0.000,0.000
2479,843.215,122.416,127.583,123.683,60.290,63.545,0.000,3.748,0.000,0.000,0.000,0.000,0.000,0.000
2480,843.551,108.194,127.497,123.585,60.258,63.493,0.000,3.746,0.000,0.000,0.000,0.000,0.000,0.000
2481,843.887,134.009,127.411,123.487,60.225,63.443,0.000,3.744,0.000,0.000,0.000,0.000,0.000,0.000
2482,844.223,110.676,127.326,123.389,60.192,63.392,0.000,3.742,0.000,0.000,0.000,0.000,0.000,0.000
2483,844.559,150.379,127.239,123.291,60.158,63.342,0.000,3.739,0.000,0.000,0.000,0.000,0.000,0.000
2484,844.895,128.750,127.153,123.194,60.124,63.292,0.000,3.737,0.000,0.000,0.000,0.000,0.000,0.000
2485,845.230,158.860,127.067,123.096,60.090,63.242,0.000,3.735,0.000,0.000,0.000,0.000,0.000,0.000
2486,845.566,124.935,126.981,122.998,60.055,63.192,0.000,3.733,0.000,0.000,0.000,0.000,0.000,0.000
2487,845.902,121.712,126.894,122.900,60.020,63.143,0.000,3.731,0.000,0.000,0.000,0.000,0.000,0.000
2488,846.238,155.194,126.807,122.802,59.984,63.094,0.000,3.729,0.000,0.000,0.000,0.000,0.000,0.000
2489,846.574,113.417,126.721,122.704,59.948,63.045,0.000,3.727,0.000,0.000,0.000,0.000,0.000,0.000
2490,846.910,120.416,126.634,122.607,59.911,62.997,0.000,3.725,0.000,0.000,0.000,0.000,0.000,0.000
2491,847.246,121.120,126.547,122.509,59.875,62.949,0.000,3.723,0.000,0.000,0.000,0.000,0.000,0.000
2492,847.582,154.638,126.460,122.411,59.837,62.901,0.000,3.721,0.000,0.000,0.000,0.000,0.000,0.000
2493,847.918,119.712,126.372,122.313,59.800,62.853,0.000,3.719,0.000,0.000,0.000,0.000,0.000,0.000
2494,848.254,146.083,126.285,122.215,59.761,62.806,0.000,3.717,0.000,0.000,0.000,0.000,0.000,0.000
2495,848.589,145.193,126.198,122.117,59.723,62.759,0.000,3.715,0.000,0.000,0.000,0.000,0.000,0.000
2496,848.925,141.786,126.110,122.019,59.684,62.713,0.000,3.714,0.000,0.000,0.000,0.000,0.000,0.000
2497,849.261,126.379,126.023,121.922,59.644,62.666,0.000,3.712,0.000,0.000,0.000,0.000,0.000,0.000
2498,849.597,138.156,125.935,121.824,59.605,62.621,0.000,3.710,0.000,0.000,0.000,0.000,0.000,0.000
2499,849.933,118.526,125.847,121.726,59.564,62.575,0.000,3.708,0.000,0.000,0.000,0.000,0.000,0.000
2500,850.268,132.638,125.759,121.628,59.524,62.530,0.000,3.706,0.000,0.000,0.000,0.000,0.000,0.000
2501,850.604,126.453,125.672,121.530,59.483,62.485,0.000,3.704,0.000,0.000,0.000,0.000,0.000,0.000
2502,850.940,129.120,125.584,121.432,59.441,62.440,0.000,3.702,0.000,0.000,0.000,0.000,0.000,0.000
2503,851.276,122.564,125.496,121.334,59.399,62.396,0.000,3.700,0.000,0.000,0.000,0.000,0.000,0.000
2504,851.611,135.971,125.407,121.237,59.357,62.352,0.000,3.699,0.000,0.000,0.000,0.000,0.000,0.000
2505,851.947,141.712,125.319,121.139,59.314,62.308,0.000,3.697,0.000,0.000,0.000,0.000,0.000,0.000
2506,852.283,143.008,125.231,121.041,59.271,62.265,0.000,3.695,0.000,0.000,0.000,0.000,0.000,0.000
2507,852.619,128.267,125.143,120.943,59.228,62.222,0.000,3.693,0.000,0.000,0.000,0.000,0.000,0.000
2508,852.954,137.823,125.054,120.845,59.184,62.180,0.000,3.691,0.000,0.000,0.000,0.000,0.000,0.000
2509,853.290,141.083,124.966,120.747,59.139,62.137,0.000,3.689,0.000,0.000,0.000,0.000,0.000,0.000
2510,853.626,128.120,124.878,120.649,59.095,62.096,0.000,3.688,0.000,0.000,0.000,0.000,0.000,0.000
2511,853.961,146.823,124.789,120.552,59.049,62.054,0.000,3.686,0.000,0.000,0.000,0.000,0.000,0.000
2512,854.297,125.157,124.701,120.454,59.004,62.013,0.000,3.684,0.000,0.000,0.000,0.000,0.000,0.000
2513,854.632,151.416,124.613,120.356,58.958,61.972,0.000,3.682,0.000,0.000,0.000,0.000,0.000,0.000
2514,854.968,134.971,124.524,120.258,58.912,61.932,0.000,3.680,0.000,0.000,0.000,0.000,0.000,0.000
2515,855.304,139.231,124.436,120.160,58.865,61.892,0.000,3.679,0.000,0.000,0.000,0.000,0.000,0.000
2516,855.639,136.045,124.348,120.062,58.818,61.852,0.000,3.677,0.000,0.000,0.000,0.000,0.000,0.000
2517,855.975,134.934,124.259,119.964,58.771,61.813,0.000,3.675,0.000,0.000,0.000,0.000,0.000,0.000
2518,856.310,131.898,124.171,119.867,58.723,61.774,0.000,3.673,0.000,0.000,0.000,0.000,0.000,0.000
2519,856.646,129.860,124.083,119.769,58.675,61.736,0.000,3.672,0.000,0.000,0.000,0.000,0.000,0.000
2520,856.981,141.046,123.995,119.671,58.627,61.698,0.000,3.670,0.000,0.000,0.000,0.000,0.000,0.000
2521,857.317,167.750,123.907,119.573,58.579,61.660,0.000,3.668,0.000,0.000,0.000,0.000,0.000,0.000
2522,857.652,142.527,123.819,119.475,58.530,61.623,0.000,3.667,0.000,0.000,0.000,0.000,0.000,0.000
2523,857.988,139.898,123.732,119.377,58.481,61.586,0.000,3.665,0.000,0.000,0.000,0.000,0.000,0.000
2524,858.323,139.342,123.644,119.279,58.431,61.550,0.000,3.663,0.000,0.000,0.000,0.000,0.000,0.000
2525,858.659,155.194,123.557,119.182,58.381,61.514,0.000,3.662,0.000,0.000,0.000,0.000,0.000,0.000
2526,858.994,147.083,123.469,119.084,58.331,61.478,0.000,3.660,0.000,0.000,0.000,0.000,0.000,0.000
2527,859.330,153.268,123.382,118.986,58.281,61.443,0.000,3.658,0.000,0.000,0.000,0.000,0.000,0.000
2528,859.665,146.564,123.296,118.888,58.231,61.408,0.000,3.657,0.000,0.000,0.000,0.000,0.000,0.000
2529,860.001,154.342,123.209,118.790,58.180,61.374,0.000,3.655,0.000,0.000,0.000,0.000,0.000,0.000
2530,860.336,183.824,123.123,118.692,58.129,61.340,0.000,3.653,0.000,0.000,0.000,0.000,0.000,0.000
2531,860.672,142.675,123.037,118.594,58.079,61.306,0.000,3.652,0.000,0.000,0.000,0.000,0.000,0.000
2532,861.007,153.083,122.951,118.497,58.027,61.273,0.000,3.650,0.000,0.000,0.000,0.000,0.000,0.000
2533,861.342,151.490,122.865,118.399,57.976,61.241,0.000,3.648,0.000,0.000,0.000,0.000,0.000,0.000
2534,861.678,142.564,122.780,118.301,57.925,61.209,0.000,3.647,0.000,0.000,0.000,0.000,0.000,0.000
2535,862.013,178.859,122.695,118.203,57.873,61.177,0.000,3.645,0.000,0.000,0.000,0.000,0.000,0.000
2536,862.348,142.787,122.611,118.105,57.821,61.146,0.000,3.644,0.000,0.000,0.000,0.000,0.000,0.000
2537,862.684,143.231,122.526,118.007,57.770,61.115,0.000,3.642,0.000,0.000,0.000,0.000,0.000,0.000
2538,863.019,174.268,122.443,117.909,57.718,61.084,0.000,3.641,0.000,0.000,0.000,0.000,0.000,0.000
2539,863.354,156.564,122.359,117.812,57.666,61.054,0.000,3.639,0.000,0.000,0.000,0.000,0.000,0.000
2540,863.690,166.416,122.276,117.714,57.614,61.025,0.000,3.637,0.000,0.000,0.000,0.000,0.000,0.000
2541,864.025,162.231,122.194,117.616,57.562,60.996,0.000,3.636,0.000,0.000,0.000,0.000,0.000,0.000
2542,864.360,139.897,122.111,117.518,57.510,60.967,0.000,3.634,0.000,0.000,0.000,0.000,0.000,0.000
2543,864.695,130.527,122.030,117.420,57.458,60.939,0.000,3.633,0.000,0.000,0.000,0.000,0.000,0.000
2544,865.031,183.157,121.948,117.322,57.406,60.911,0.000,3.631,0.000,0.000,0.000,0.000,0.000,0.000
2545,865.366,164.824,121.868,117.224,57.354,60.884,0.000,3.630,0.000,0.000,0.000,0.000,0.000,0.000
2546,865.701,149.267,121.787,117.127,57.302,60.857,0.000,3.628,0.000,0.000,0.000,0.000,0.000,0.000
2547,866.036,141.231,121.707,117.029,57.250,60.831,0.000,3.627,0.000,0.000,0.000,0.000,0.000,0.000
2548,866.371,160.860,121.628,116.931,57.199,60.805,0.000,3.625,0.000,0.000,0.000,0.000,0.000,0.000
2549,866.707,190.157,121.550,116.833,57.147,60.779,0.000,3.623,0.000,0.000,0.000,0.000,0.000,0.000
2550,867.042,152.824,121.472,116.735,57.095,60.754,0.000,3.622,0.000,0.000,0.000,0.000,0.000,0.000
2551,867.377,153.786,121.394,116.637,57.044,60.730,0.000,3.620,0.000,0.000,0.000,0.000,0.000,0.000
2552,867.712,167.193,121.317,116.539,56.993,60.706,0.000,3.619,0.000,0.000,0.000,0.000,0.000,0.000
2553,868.047,174.416,121.241,116.442,56.942,60.682,0.000,3.617,0.000,0.000,0.000,0.000,0.000,0.000
2554,868.382,171.193,121.166,116.344,56.891,60.659,0.000,3.615,0.000,0.000,0.000,0.000,0.000,0.000
2555,868.717,175.267,121.091,116.246,56.840,60.637,0.000,3.614,0.000,0.000,0.000,0.000,0.000,0.000
2556,869.053,181.157,121.017,116.148,56.790,60.615,0.000,3.612,0.000,0.000,0.000,0.000,0.000,0.000
2557,869.388,207.750,120.944,116.050,56.740,60.593,0.000,3.610,0.000,0.000,0.000,0.000,0.000,0.000
2558,869.723,201.194,120.871,115.952,56.690,60.572,0.000,3.609,0.000,0.000,0.000,0.000,0.000,0.000
2559,870.058,179.639,120.800,115.854,56.641,60.552,0.000,3.607,0.000,0.000,0.000,0.000,0.000,0.000
2560,870.393,190.898,120.729,115.757,56.591,60.532,0.000,3.605,0.000,0.000,0.000,0.000,0.000,0.000
2561,870.728,195.083,120.659,115.659,56.542,60.512,0.000,3.604,0.000,0.000,0.000,0.000,0.000,0.000
2562,871.063,207.935,120.590,115.561,56.494,60.494,0.000,3.602,0.000,0.000,0.000,0.000,0.000,0.000
2563,871.398,170.898,120.521,115.463,56.446,60.475,0.000,3.600,0.000,0.000,0.000,0.000,0.000,0.000
2564,871.733,178.231,120.454,115.365,56.398,60.457,0.000,3.599,0.000,0.000,0.000,0.000,0.000,0.000
2565,872.068,187.527,120.388,115.267,56.351,60.440,0.000,3.597,0.000,0.000,0.000,0.000,0.000,0.000
2566,872.403,184.972,120.322,115.169,56.304,60.423,0.000,3.595,0.000,0.000,0.000,0.000,0.000,0.000
2567,872.738,208.379,120.258,115.072,56.257,60.407,0.000,3.594,0.000,0.000,0.000,0.000,0.000,0.000
2568,873.073,185.638,120.195,114.974,56.211,60.392,0.000,3.592,0.000,0.000,0.000,0.000,0.000,0.000
2569,873.408,208.713,120.132,114.876,56.166,60.377,0.000,3.590,0.000,0.000,0.000,0.000,0.000,0.000
2570,873.743,174.860,120.071,114.778,56.121,60.362,0.000,3.588,0.000,0.000,0.000,0.000,0.000,0.000
2571,874.078,159.084,120.011,114.680,56.076,60.348,0.000,3.587,0.000,0.000,0.000,0.000,0.000,0.000
2572,874.412,208.971,119.952,114.582,56.032,60.335,0.000,3.585,0.000,0.000,0.000,0.000,0.000,0.000
2573,874.747,217.379,119.894,114.484,55.989,60.322,0.000,3.583,0.000,0.000,0.000,0.000,0.000,0.000
2574,875.082,215.787,119.837,114.387,55.946,60.310,0.000,3.581,0.000,0.000,0.000,0.000,0.000,0.000
2575,875.417,206.046,119.782,114.289,55.904,60.298,0.000,3.579,0.000,0.000,0.000,0.000,0.000,0.000
2576,875.752,204.786,119.727,114.191,55.862,60.287,0.000,3.578,0.000,0.000,0.000,0.000,0.000,0.000
2577,876.087,243.417,119.674,114.093,55.822,60.277,0.000,3.576,0.000,0.000,0.000,0.000,0.000,0.000
2578,876.422,205.378,119.622,113.995,55.781,60.267,0.000,3.574,0.000,0.000,0.000,0.000,0.000,0.000
2579,876.756,214.861,119.571,113.897,55.742,60.257,0.000,3.572,0.000,0.000,0.000,0.000,0.000,0.000
2580,877.091,227.306,119.522,113.800,55.703,60.249,0.000,3.570,0.000,0.000,0.000,0.000,0.000,0.000
2581,877.426,193.934,119.474,113.702,55.665,60.241,0.000,3.569,0.000,0.000,0.000,0.000,0.000,0.000
2582,877.761,195.453,119.427,113.604,55.627,60.233,0.000,3.567,0.000,0.000,0.000,0.000,0.000,0.000
2583,878.096,215.527,119.382,113.506,55.591,60.226,0.000,3.565,0.000,0.000,0.000,0.000,0.000,0.000
2584,878.430,215.897,119.338,113.408,55.555,60.220,0.000,3.563,0.000,0.000,0.000,0.000,0.000,0.000
2585,878.765,204.194,119.295,113.310,55.520,60.215,0.000,3.561,0.000,0.000,0.000,0.000,0.000,0.000
2586,879.100,201.120,119.254,113.212,55.485,60.210,0.000,3.559,0.000,0.000,0.000,0.000,0.000,0.000
2587,879.434,216.082,119.215,113.115,55.452,60.206,0.000,3.557,0.000,0.000,0.000,0.000,0.000,0.000
2588,879.769,237.417,119.177,113.017,55.419,60.202,0.000,3.556,0.000,0.000,0.000,0.000,0.000,0.000
2589,880.104,206.713,119.140,112.919,55.387,60.199,0.000,3.554,0.000,0.000,0.000,0.000,0.000,0.000
2590,880.439,217.751,119.105,112.821,55.356,60.197,0.000,3.552,0.000,0.000,0.000,0.000,0.000,0.000
2591,880.773,236.453,119.072,112.723,55.326,60.196,0.000,3.550,0.000,0.000,0.000,0.000,0.000,0.000
2592,881.108,214.269,119.041,112.625,55.297,60.195,0.000,3.548,0.000,0.000,0.000,0.000,0.000,0.000
2593,881.443,234.713,119.010,112.527,55.269,60.195,0.000,3.546,0.000,0.000,0.000,0.000,0.000,0.000
2594,881.777,236.046,118.980,112.430,55.242,60.194,0.000,3.544,0.000,0.000,0.000,0.000,0.000,0.000
2595,882.112,245.972,118.951,112.332,55.216,60.193,0.000,3.542,0.000,0.000,0.000,0.000,0.000,0.000
2596,882.446,222.268,118.923,112.234,55.191,60.191,0.000,3.541,0.000,0.000,0.000,0.000,0.000,0.000
2597,882.781,239.343,118.895,112.136,55.167,60.189,0.000,3.539,0.000,0.000,0.000,0.000,0.000,0.000
2598,883.116,226.861,118.867,112.038,55.143,60.187,0.000,3.537,0.000,0.000,0.000,0.000,0.000,0.000
2599,883.450,224.527,118.840,111.940,55.121,60.184,0.000,3.535,0.000,0.000,0.000,0.000,0.000,0.000
2600,883.785,227.158,118.813,111.842,55.100,60.180,0.000,3.533,0.000,0.000,0.000,0.000,0.000,0.000
2601,884.119,254.490,118.787,111.745,55.080,60.176,0.000,3.531,0.000,0.000,0.000,0.000,0.000,0.000
2602,884.454,214.491,118.761,111.647,55.061,60.171,0.000,3.530,0.000,0.000,0.000,0.000,0.000,0.000
2603,884.788,218.045,118.735,111.549,55.042,60.165,0.000,3.528,0.000,0.000,0.000,0.000,0.000,0.000
2604,885.123,229.416,118.710,111.451,55.025,60.159,0.000,3.526,0.000,0.000,0.000,0.000,0.000,0.000
2605,885.457,224.120,118.685,111.353,55.009,60.152,0.000,3.524,0.000,0.000,0.000,0.000,0.000,0.000
2606,885.792,216.453,118.660,111.255,54.994,60.144,0.000,3.522,0.000,0.000,0.000,0.000,0.000,0.000
2607,886.126,234.602,118.636,111.157,54.980,60.135,0.000,3.520,0.000,0.000,0.000,0.000,0.000,0.000
2608,886.461,250.453,118.611,111.060,54.967,60.125,0.000,3.519,0.000,0.000,0.000,0.000,0.000,0.000
2609,886.795,249.676,118.587,110.962,54.955,60.115,0.000,3.517,0.000,0.000,0.000,0.000,0.000,0.000
2610,887.130,258.934,118.562,110.864,54.945,60.103,0.000,3.515,0.000,0.000,0.000,0.000,0.000,0.000
2611,887.464,241.267,118.538,110.766,54.935,60.090,0.000,3.513,0.000,0.000,0.000,0.000,0.000,0.000
2612,887.798,233.343,118.514,110.668,54.926,60.076,0.000,3.512,0.000,0.000,0.000,0.000,0.000,0.000
2613,888.133,262.972,118.489,110.570,54.918,60.061,0.000,3.510,0.000,0.000,0.000,0.000,0.000,0.000
2614,888.467,222.046,118.465,110.472,54.912,60.045,0.000,3.508,0.000,0.000,0.000,0.000,0.000,0.000
2615,888.802,262.453,118.440,110.375,54.906,60.027,0.000,3.506,0.000,0.000,0.000,0.000,0.000,0.000
2616,889.136,275.416,118.415,110.277,54.902,60.009,0.000,3.505,0.000,0.000,0.000,0.000,0.000,0.000
2617,889.470,242.268,118.390,110.179,54.898,59.989,0.000,3.503,0.000,0.000,0.000,0.000,0.000,0.000
2618,889.805,243.602,118.365,110.081,54.896,59.967,0.000,3.501,0.000,0.000,0.000,0.000,0.000,0.000
2619,890.139,258.417,118.339,109.983,54.895,59.945,0.000,3.499,0.000,0.000,0.000,0.000,0.000,0.000
2620,890.473,284.564,118.313,109.885,54.895,59.920,0.000,3.498,0.000,0.000,0.000,0.000,0.000,0.000
2621,890.808,243.638,118.286,109.787,54.895,59.895,0.000,3.496,0.000,0.000,0.000,0.000,0.000,0.000
2622,891.142,253.750,118.259,109.690,54.897,59.867,0.000,3.494,0.000,0.000,0.000,0.000,0.000,0.000
2623,891.476,249.453,118.232,109.592,54.900,59.839,0.000,3.493,0.000,0.000,0.000,0.000,0.000,0.000
2624,891.811,236.268,118.204,109.494,54.904,59.808,0.000,3.491,0.000,0.000,0.000,0.000,0.000,0.000
2625,892.145,266.676,118.175,109.396,54.909,59.776,0.000,3.490,0.000,0.000,0.000,0.000,0.000,0.000
2626,892.479,279.787,118.146,109.298,54.915,59.743,0.000,3.488,0.000,0.000,0.000,0.000,0.000,0.000
2627,892.813,265.564,118.116,109.200,54.922,59.707,0.000,3.486,0.000,0.000,0.000,0.000,0.000,0.000
2628,893.147,254.564,118.085,109.102,54.930,59.670,0.000,3.485,0.000,0.000,0.000,0.000,0.000,0.000
2629,893.482,237.935,118.053,109.005,54.939,59.631,0.000,3.483,0.000,0.000,0.000,0.000,0.000,0.000
2630,893.816,246.194,118.021,108.907,54.949,59.590,0.000,3.482,0.000,0.000,0.000,0.000,0.000,0.000
2631,894.150,248.676,117.988,108.809,54.960,59.548,0.000,3.480,0.000,0.000,0.000,0.000,0.000,0.000
2632,894.484,271.342,117.954,108.711,54.972,59.503,0.000,3.479,0.000,0.000,0.000,0.000,0.000,0.000
2633,894.818,254.897,117.919,108.613,54.985,59.456,0.000,3.477,0.000,0.000,0.000,0.000,0.000,0.000
2634,895.153,262.157,117.883,108.515,54.999,59.408,0.000,3.476,0.000,0.000,0.000,0.000,0.000,0.000
2635,895.487,228.787,117.846,108.417,55.014,59.357,0.000,3.475,0.000,0.000,0.000,0.000,0.000,0.000
2636,895.821,276.824,117.808,108.320,55.030,59.305,0.000,3.473,0.000,0.000,0.000,0.000,0.000,0.000
2637,896.155,290.527,117.768,108.222,55.047,59.250,0.000,3.472,0.000,0.000,0.000,0.000,0.000,0.000
2638,896.489,257.119,117.728,108.124,55.064,59.193,0.000,3.470,0.000,0.000,0.000,0.000,0.000,0.000
