ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
53,10.111,0.000,10.817,0.000,0.000,10.611,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.195
54,10.448,0.037,10.875,0.000,0.000,10.627,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.234
55,10.785,4.889,10.960,0.000,0.000,10.661,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.282
56,11.122,12.853,11.037,0.000,0.000,10.677,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.340
57,11.459,23.373,11.108,0.000,0.000,10.675,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.409
58,11.796,50.412,11.185,0.000,0.000,10.662,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.493
59,12.133,84.230,11.294,0.000,0.000,10.663,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.595
60,12.470,132.234,11.447,0.000,0.000,10.686,0.000,0.045,0.000,0.000,0.000,0.000,0.000,0.716
61,12.807,160.759,11.617,0.000,0.000,10.702,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.860
62,13.144,207.691,11.793,0.000,0.000,10.697,0.000,0.068,0.000,0.000,0.000,0.000,0.000,1.028
63,13.481,240.807,11.982,0.000,0.000,10.674,0.000,0.084,0.000,0.000,0.000,0.000,0.000,1.224
64,13.818,297.330,24.737,12.533,0.724,11.712,0.609,0.246,0.047,0.008,0.001,6.874,2.755,1.761
65,14.155,288.630,37.551,25.065,1.448,12.763,1.218,0.413,0.095,0.016,0.002,13.748,5.510,2.337
66,14.492,317.745,50.424,37.598,2.172,13.821,1.827,0.587,0.142,0.023,0.003,20.623,8.266,2.958
67,14.830,363.376,63.343,50.130,2.896,14.861,2.436,0.770,0.189,0.031,0.005,27.499,11.022,3.632
68,15.167,315.749,76.314,62.663,3.620,15.876,3.045,0.965,0.237,0.039,0.006,34.376,13.778,4.370
69,15.504,384.897,89.359,75.195,4.345,16.868,3.654,1.177,0.284,0.047,0.007,41.254,16.535,5.185
70,15.841,329.122,102.509,87.728,5.069,17.846,4.263,1.414,0.331,0.054,0.008,48.133,19.292,6.095
71,16.178,363.898,115.792,100.261,5.793,18.811,4.872,1.682,0.379,0.062,0.009,55.013,22.050,7.117
72,16.516,378.716,129.213,112.793,6.518,19.743,5.482,1.988,0.426,0.070,0.010,61.894,24.808,8.269
73,16.853,372.714,142.781,125.326,7.243,20.625,6.091,2.338,0.474,0.078,0.011,68.776,27.566,9.573
74,17.190,376.682,156.531,137.858,7.968,21.451,6.701,2.744,0.521,0.085,0.013,75.660,30.326,11.057
75,17.528,360.754,170.507,150.391,8.693,22.213,7.311,3.224,0.568,0.093,0.014,82.545,33.086,12.754
76,17.865,394.052,184.766,162.923,9.418,22.903,7.921,3.800,0.616,0.101,0.015,89.433,35.846,14.707
77,18.202,395.830,199.330,175.456,10.144,23.498,8.531,4.494,0.663,0.109,0.016,96.322,38.608,16.938
78,18.540,387.831,214.203,187.989,10.870,23.974,9.142,5.319,0.711,0.117,0.017,103.214,41.370,19.463
79,18.877,402.016,229.420,200.521,11.596,24.319,9.752,6.287,0.758,0.124,0.018,110.108,44.134,22.315
80,19.215,378.093,245.038,213.054,12.323,24.542,10.363,7.399,0.806,0.132,0.019,117.006,46.899,25.541
81,19.552,376.460,261.135,225.586,13.050,24.672,10.975,8.642,0.853,0.140,0.021,123.907,49.666,29.202
82,19.890,374.761,277.794,238.119,13.778,24.751,11.587,9.983,0.901,0.148,0.022,130.813,52.434,33.369
83,20.227,405.317,295.046,250.651,14.507,24.844,12.199,11.350,0.948,0.155,0.023,137.723,55.204,38.082
84,20.565,406.136,312.946,263.184,15.236,25.024,12.812,12.661,0.996,0.163,0.024,144.639,57.977,43.404
85,20.902,360.432,331.606,275.717,15.965,25.352,13.426,13.861,1.044,0.171,0.025,151.562,60.752,49.437
86,21.240,414.732,351.178,288.249,16.697,25.862,14.041,14.930,1.091,0.179,0.026,158.493,63.531,56.317
87,21.578,409.253,371.857,300.782,17.429,26.557,14.656,15.884,1.139,0.187,0.028,165.433,66.313,64.219
88,21.915,429.401,393.782,313.314,18.162,27.408,15.272,16.750,1.187,0.195,0.029,172.384,69.100,73.284
89,22.253,433.553,417.024,325.847,18.896,28.372,15.889,17.539,1.235,0.202,0.030,179.347,71.891,83.610
