spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
AS80_Cs137_0cm,AS80x80,known,Cs-137,32.193,29.596,29.615,0.019,0.107,0.7107,34.87,80,102,1,
AS80_Cs137_0cm,AS80x80,known,Cs-137,661.657,654.576,654.511,-0.065,0.918,0.9680,1659.49,1680,1932,1,
AS80_Lu176,AS80x80,known,Lu-176,55.786,55.042,,,,0.2465,-19.85,147,197,0,z
AS80_Lu176,AS80x80,known,Lu-176,88.340,87.483,85.874,-1.609,0.278,0.1514,50.15,228,294,0,share
AS80_Lu176,AS80x80,known,Lu-176,201.830,200.846,200.468,-0.377,0.402,0.7306,306.93,516,624,1,
AS80_Lu176,AS80x80,known,Lu-176,306.780,304.250,304.672,0.422,0.524,0.8499,382.90,779,921,1,
﻿spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
ASN16_Lu176,ASN16,known,Lu-176,55.786,55.110,55.566,0.455,0.225,0.1812,150.93,132,192,0,share
ASN16_Lu176,ASN16,known,Lu-176,88.340,87.718,86.917,-0.801,0.284,0.2298,118.86,213,287,0,share
ASN16_Lu176,ASN16,known,Lu-176,201.830,201.381,201.811,0.430,0.417,0.8644,993.44,499,609,1,
ASN16_Lu176,ASN16,known,Lu-176,306.780,305.061,304.624,-0.437,0.516,0.9095,942.26,760,896,1,
ASN16_Lu176_P0,ASN16,known,Lu-176,55.786,55.379,50.747,-4.632,0.581,0.1948,12.69,139,193,0,share
ASN16_Lu176_P0,ASN16,known,Lu-176,88.340,88.192,89.863,1.670,1.475,0.3101,5.33,217,287,0,share
ASN16_Lu176_P0,ASN16,known,Lu-176,201.830,202.443,202.912,0.469,0.427,0.8678,84.31,495,603,1,
ASN16_Lu176_P0,ASN16,known,Lu-176,306.780,306.675,306.191,-0.484,0.531,0.9494,91.74,753,887,1,
﻿spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
G1S16_Am241_P25,G1S16,known,Am-241,26.345,23.107,13.667,-9.440,0.260,0.2511,35.82,10,14,0,share
G1S16_Am241_P25,G1S16,known,Am-241,59.541,54.574,54.564,-0.010,0.179,0.9341,261.59,20,26,1,
G1S16_Ba133_P25,G1S16,known,Ba-133,30.973,29.050,28.882,-0.168,0.122,0.8372,280.66,10,14,1,
G1S16_Ba133_P25,G1S16,known,Ba-133,53.162,53.294,54.616,1.322,0.308,0.2036,21.06,18,24,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,80.998,79.360,82.632,3.272,0.222,0.8199,206.11,26,34,0,outlier
G1S16_Ba133_P25,G1S16,known,Ba-133,160.612,159.693,164.912,5.219,1.089,0.0501,11.33,52,64,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,302.851,302.482,303.250,0.768,0.528,0.6428,111.75,99,117,1,
G1S16_Ba133_P25,G1S16,known,Ba-133,356.013,356.820,356.365,-0.455,0.575,0.8843,233.24,117,137,1,
G1S16_Cd109_P25,G1S16,known,Cd-109,22.163,20.602,20.448,-0.155,0.109,0.7706,84.66,7,11,1,
G1S16_Cd109_P25,G1S16,known,Cd-109,88.034,91.268,91.170,-0.098,0.341,0.7312,27.76,30,38,1,
G1S16_Ce139_P25,G1S16,known,Ce-139,33.442,31.801,31.714,-0.087,0.144,0.7854,52.86,11,15,1,
G1S16_Ce139_P25,G1S16,known,Ce-139,165.858,168.788,168.891,0.103,0.375,0.9295,68.13,55,67,1,
G1S16_Co60_P25,G1S16,known,Ann-511,511.000,511.557,513.870,2.313,2.301,0.0582,9.86,165,189,0,share
G1S16_Co60_P25,G1S16,known,Co-60,1173.228,1173.166,1173.110,-0.056,1.255,0.9040,213.46,378,420,1,
G1S16_Co60_P25,G1S16,known,Co-60,1332.492,1330.925,1330.957,0.032,1.357,0.9881,212.63,429,473,1,
G1S16_Cs137_P25,G1S16,known,Cs-137,32.193,31.749,31.715,-0.034,0.134,0.6549,104.58,11,15,1,
G1S16_Cs137_P25,G1S16,known,Cs-137,661.657,661.614,661.674,0.060,0.858,0.9872,383.31,215,243,1,
G1S16_Eu152_P25,G1S16,known,Eu-152,40.117,36.843,37.091,0.248,0.145,0.6518,290.60,13,19,1,
G1S16_Eu152_P25,G1S16,known,Eu-152,121.782,119.131,122.871,3.739,0.282,0.7109,249.53,39,49,0,outlier
G1S16_Eu152_P25,G1S16,known,Eu-152,244.697,241.885,245.445,3.559,0.465,0.3894,92.28,79,95,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,344.279,342.297,345.072,2.775,0.556,0.7205,214.75,112,130,0,outlier
