spectrum,det,part,component,line_kev,model_kev,measured_kev,shift_kev,sigma_kev,peak_share,z,ch_lo,ch_hi,used,refusal
AS80_Cs137_0cm,AS80x80,known,Cs-137,32.193,31.998,29.621,-2.378,0.092,0.7151,100.65,86,108,0,share
AS80_Cs137_0cm,AS80x80,known,Cs-137,661.657,661.992,655.293,-6.699,0.926,0.9623,1649.26,1699,1953,0,share
AS80_Lu176,AS80x80,known,Lu-176,55.786,55.407,,,,0.2466,-16.81,148,198,0,z
AS80_Lu176,AS80x80,known,Lu-176,88.340,87.991,86.115,-1.876,0.280,0.1487,49.80,229,295,0,share
AS80_Lu176,AS80x80,known,Lu-176,201.830,201.995,200.548,-1.448,0.403,0.7196,302.02,518,628,0,share
AS80_Lu176,AS80x80,known,Lu-176,306.780,305.996,304.931,-1.065,0.526,0.8558,385.38,784,926,0,share
ASN16_Lu176,ASN16,known,Lu-176,55.786,55.268,55.258,-0.010,0.225,0.1805,148.78,132,192,0,share
ASN16_Lu176,ASN16,known,Lu-176,88.340,88.007,86.894,-1.113,0.284,0.2308,118.38,214,288,0,share
ASN16_Lu176,ASN16,known,Lu-176,201.830,202.018,201.879,-0.139,0.418,0.8630,992.71,500,612,0,share
ASN16_Lu176,ASN16,known,Lu-176,306.780,305.981,304.706,-1.276,0.517,0.9083,939.95,762,898,0,share
ASN16_Lu176_P0,ASN16,known,Lu-176,55.786,55.262,50.906,-4.356,0.579,0.1945,12.53,139,193,0,share
ASN16_Lu176_P0,ASN16,known,Lu-176,88.340,88.011,89.827,1.816,1.455,0.3112,5.40,217,287,0,share
ASN16_Lu176_P0,ASN16,known,Lu-176,201.830,202.009,202.878,0.869,0.426,0.8677,84.28,494,602,0,share
ASN16_Lu176_P0,ASN16,known,Lu-176,306.780,306.005,306.122,0.117,0.530,0.9491,91.70,751,885,0,share
G1S16_Am241_P25,G1S16,known,Am-241,26.345,25.888,20.749,-5.140,0.135,0.1223,63.81,11,15,0,share
G1S16_Am241_P25,G1S16,known,Am-241,59.541,59.910,55.446,-4.464,0.188,0.8591,254.13,22,28,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,30.973,29.842,28.943,-0.899,0.122,0.8537,288.00,10,14,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,53.162,54.010,54.639,0.628,0.295,0.2047,22.46,18,24,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,80.998,79.972,82.558,2.586,0.222,0.8238,207.73,26,34,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,160.612,159.946,164.968,5.022,1.103,0.0493,11.20,52,64,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,302.851,301.857,302.860,1.003,0.527,0.6268,109.95,98,116,0,share
G1S16_Ba133_P25,G1S16,known,Ba-133,356.013,355.952,356.114,0.162,0.572,0.8853,233.33,116,136,0,share
G1S16_Cd109_P25,G1S16,known,Cd-109,22.163,21.937,20.530,-1.407,0.108,0.7876,91.08,7,11,0,share
G1S16_Cd109_P25,G1S16,known,Cd-109,88.034,87.868,91.025,3.157,0.356,0.6985,28.48,28,36,0,share
G1S16_Ce139_P25,G1S16,known,Ce-139,33.442,34.538,33.219,-1.319,0.145,0.9352,63.54,12,16,0,share
G1S16_Ce139_P25,G1S16,known,Ce-139,165.858,166.015,168.829,2.815,0.375,0.8782,65.72,54,66,0,share
G1S16_Co60_P25,G1S16,known,Ann-511,511.000,511.872,514.011,2.140,2.302,0.0585,9.87,165,189,0,share
G1S16_Co60_P25,G1S16,known,Co-60,1173.228,1173.906,1173.145,-0.762,1.255,0.9026,213.13,378,420,0,share
G1S16_Co60_P25,G1S16,known,Co-60,1332.492,1332.107,1331.303,-0.803,1.359,0.9886,212.55,430,474,0,share
G1S16_Cs137_P25,G1S16,known,Cs-137,32.193,32.099,31.711,-0.389,0.133,0.6623,106.00,11,15,0,share
G1S16_Cs137_P25,G1S16,known,Cs-137,661.657,661.920,661.674,-0.246,0.858,0.9871,383.26,215,243,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,40.117,40.044,36.818,-3.226,0.151,0.6549,288.76,14,20,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,121.782,121.924,123.381,1.457,0.286,0.6949,242.31,40,50,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,244.697,243.903,245.559,1.656,0.466,0.3808,89.06,79,95,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,344.279,344.111,345.443,1.332,0.559,0.7169,214.49,113,131,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,411.117,412.291,416.056,3.766,1.074,0.1525,22.15,135,157,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,443.961,443.800,444.007,0.207,0.900,0.1938,31.40,144,166,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,563.986,574.447,571.913,-2.534,3.710,0.0798,6.41,187,213,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,688.670,684.276,688.027,3.752,1.774,0.1018,17.23,221,251,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,778.905,778.104,779.581,1.477,0.995,0.5015,83.18,252,284,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,867.380,868.148,865.005,-3.142,1.512,0.2519,26.41,281,315,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,964.057,963.908,964.671,0.763,1.135,0.6162,89.16,311,347,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,1112.076,1099.982,1101.200,1.219,1.214,0.7624,125.50,354,394,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,1212.948,1212.008,1214.813,2.805,3.738,0.1910,11.96,390,432,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,1299.142,1300.037,1290.659,-9.377,3.128,0.2994,15.80,418,462,0,share
G1S16_Eu152_P25,G1S16,known,Eu-152,1408.013,1407.888,1411.211,3.323,1.425,0.9389,109.48,452,498,0,share
G1S16_Mn54_P25,G1S16,known,Mn-54,834.848,833.930,832.464,-1.466,0.994,0.9879,229.20,271,303,0,share
G1S16_Na22_P25,G1S16,known,Ann-511,511.000,511.925,510.155,-1.770,0.720,0.9228,623.33,167,191,0,share
G1S16_Na22_P25,G1S16,known,Na-22,1274.537,1274.111,1273.226,-0.885,1.315,0.9886,290.09,411,455,0,share
G1S16_Th228_P25,G1S16,known,Th-228,39.857,39.471,,,,0.0856,-2.20,14,20,0,z
G1S16_Th228_P25,G1S16,known,Th-228,77.108,76.314,75.713,-0.601,0.257,0.6415,49.22,26,34,0,share
G1S16_Th228_P25,G1S16,known,Th-228,115.183,116.818,,,,0.0571,-1.40,39,49,0,z
G1S16_Th228_P25,G1S16,known,Th-228,166.410,165.983,160.696,-5.286,4.974,0.0078,2.34,55,67,0,z
G1S16_Th228_P25,G1S16,known,Th-228,238.632,238.176,238.833,0.656,0.470,0.8026,69.01,78,94,0,share
G1S16_Th228_P25,G1S16,known,Th-228,300.087,298.700,297.129,-1.571,2.264,0.2549,7.12,97,115,0,share
G1S16_Th228_P25,G1S16,known,Th-228,452.980,452.206,,,,0.0558,-1.15,148,170,0,z
