16:05:19 msbuild  exit=0 (3 s)
16:10:15 probes   exit=0 (52 s)
16:10:19 mkwd     exit=0 (5 s)
16:14:48 probes   exit=0 (53 s)
16:14:53 mkwd     exit=0 (5 s)
16:19:51 probes   exit=0 (54 s)
16:19:56 mkwd     exit=0 (5 s)
16:22:15 probes   exit=0 (54 s)
16:22:20 mkwd     exit=0 (5 s)
16:25:11 probes   exit=0 (54 s)
16:25:15 mkwd     exit=0 (5 s)
16:29:03 probes   exit=0 (54 s)
16:29:08 mkwd     exit=0 (5 s)
16:31:19 probes   exit=0 (55 s)
16:31:24 mkwd     exit=0 (5 s)
16:34:39 probes   exit=0 (55 s)
16:34:44 mkwd     exit=0 (5 s)
