detector,energy_kev,gadras_intrinsic_pct,ours_intrinsic_pct,ratio,rel_err
HPGe 10%,30,0.3479,31.498356223925576,90.538534705161183,1.9671364072354456
HPGe 10%,40,2.4057,55.665264686552696,23.138905385772414,1.9720266020691546
HPGe 10%,50,10.879,68.307786083817561,6.2788662637942423,1.9427055092136734
HPGe 10%,60,24.499,73.457347568957474,2.9983814673642795,1.9867061690163956
HPGe 10%,80,48.599,79.649725108995966,1.6389169552664864,1.94270550704551
HPGe 10%,100,61.529,76.081054317131375,1.2365072456424022,2.1942686294047982
HPGe 10%,150,61.287,70.01250847609036,1.1423712773686159,2.5605256087618784
HPGe 10%,200,47.238,51.14492096808489,1.0827071630484968,3.6039569572496641
HPGe 10%,300,27.857,33.511350531829656,1.2029777266694066,5.0709255286885222
HPGe 10%,400,18.709,20.346528593934721,1.0875262490744948,7.0373155057834644
HPGe 10%,500,13.905,15.272481162671165,1.0983445640180629,8.3666002655742115
HPGe 10%,600,11.054,12.79442588708593,1.1574476105559914,9.2819096181127918
HPGe 10%,662,9.8308189904165655,11.113095520158664,1.1304343545529734,10.055402086224779
HPGe 10%,800,8.1132093729017338,9.1987578575373075,1.1338001319504123,11.186381682237954
HPGe 10%,1000,6.7,7.2645255765482952,1.0842575487385515,12.74416702295183
HPGe 10%,1200,5.9094,5.2914011739218614,0.8954210535624364,15.102822189915669
HPGe 10%,1500,4.9969,4.4386735424763906,0.88828544547147037,16.604646509926123
HPGe 10%,2000,3.8326,3.0665160701232903,0.80011377918992077,20.165977949844287
HPGe 10%,2614,2.9825390656462125,3.0845453308015225,1.0342011497285146,20.165977949783727
HPGe 10%,3000,2.5133,1.2887406652224456,0.51276833852800918,31.464265445251733
HPGe 20%,30,44.391,74.034462771881138,1.6677809189223298,2.6306793380538256
HPGe 20%,40,68.026,85.002753492334236,1.2495627185537035,2.6035597729761379
HPGe 20%,50,79.6,87.092633314214822,1.0941285592238044,2.6689487952865654
HPGe 20%,60,85.448,93.507969122147614,1.0943260125707754,2.5020316948339731
HPGe 20%,80,90.171,92.812184952035125,1.0292908468580266,2.5766131080073871
HPGe 20%,100,90.838,92.451170913675,1.0177587674065369,2.6089696604629968
HPGe 20%,150,83.449,79.124484671051221,0.94817774534207988,3.1245553043462593
HPGe 20%,200,69.097,68.399064963611409,0.98989919914918756,3.5966345125152426
HPGe 20%,300,45.856,46.939076637725321,1.0236190822951265,4.8535602375973745
HPGe 20%,400,33.406,34.430592654786246,1.0306709170444306,5.9892870721946236
HPGe 20%,500,26.686,26.903249861304204,1.0081409675973996,6.9873835884325812
HPGe 20%,600,22.624,22.190298379434385,0.98083002030738975,7.8376381282058123
HPGe 20%,662,20.855126551833465,20.622583188259146,0.98884958271548462,8.1806525976360742
HPGe 20%,800,17.750865975855504,16.840916593109437,0.94873774699308933,9.1836606340642035
HPGe 20%,1000,14.849,13.686871060959851,0.921736888744013,10.309174058457897
HPGe 20%,1200,13.017,12.270837404308386,0.94267783700609864,10.948521812110391
HPGe 20%,1500,10.855,8.1396285968444957,0.7498506307549051,13.641056827559318
HPGe 20%,2000,8.2272,6.0751399572680942,0.73842132891726153,15.910936324962636
HPGe 20%,2614,6.2393824882794169,4.4823870704541093,0.71840235453976475,18.631770102246673
HPGe 20%,3000,5.5291,4.4851684798505076,0.81119322852733855,18.631770102246197
LaBr 10%,30,39.22,39.971271192628066,1.0191553083280995,3.8408951816451755
LaBr 10%,40,52.131,49.7580218829757,0.95448047961818683,4.3572362191823579
LaBr 10%,50,61.527,64.9967230547831,1.0563935029301461,3.9054481642477579
LaBr 10%,60,66.829,66.0527305294908,0.98838424231233157,4.03928082110244
LaBr 10%,80,72.247,68.700609801586168,0.95091297633931049,4.0737875174332787
LaBr 10%,100,74.806,71.646183887702918,0.95775985733367541,4.0136841711412634
LaBr 10%,150,76.308,76.862501564088291,1.0072666242607364,3.8891680569283804
