detector,energy_kev,quantity,gadras_over_peak,ours_over_peak,ratio
LaBr 10%,200,провзаим.,0.982573196640141,0.99417931485473177,1.0118119629705729
LaBr 10%,200,комптон/пик,NaN,0.202325809360555,NaN
LaBr 10%,400,провзаим.,0.8101442188986544,0.80891508794212263,0.99848282450474968
LaBr 10%,400,комптон/пик,NaN,0.8200445465432501,NaN
LaBr 10%,662,провзаим.,0.68968266977569848,0.71241648052381557,1.032962711322746
LaBr 10%,662,комптон/пик,NaN,1.6257469075711732,NaN
LaBr 10%,1000,провзаим.,0.60292635071993816,0.586988914931763,0.9735665296944731
LaBr 10%,1000,комптон/пик,NaN,3.2067259380648769,NaN
LaBr 10%,1500,провзаим.,0.52669897684981559,0.56578571537549138,1.0742107735987136
LaBr 10%,1500,комптон/пик,NaN,3.7704885822444782,NaN
LaBr 10%,1500,вылет 1,0.017445298639858071,0.095248845693357037,5.4598575616090432
LaBr 10%,1500,вылет 2,0.014882712398974964,0,0
LaBr 10%,2000,провзаим.,0.4844805327901136,0.45606581496216819,0.94135013503162734
LaBr 10%,2000,комптон/пик,NaN,6.73556679967709,NaN
LaBr 10%,2000,вылет 1,0.096371730958918711,0.19945730466011055,2.0696661009973463
LaBr 10%,2000,вылет 2,0.081975953720242065,0.087544621660022415,1.0679305050696262
LaBr 10%,2614,провзаим.,0.45729036994042715,0.46098052857575705,1.0080696180761703
LaBr 10%,2614,комптон/пик,NaN,6.99990354779489,NaN
LaBr 10%,2614,вылет 1,0.25084764693841538,0.47334146382873521,1.8869679249769618
LaBr 10%,2614,вылет 2,0.213194423124697,0.44669064105400008,2.0952266691926158
LaBr 5%,200,провзаим.,0.9745256231900955,0.98945965534224134,1.0153244119977671
LaBr 5%,200,комптон/пик,NaN,0.13626351681725971,NaN
LaBr 5%,400,провзаим.,0.77814378864998057,0.80469917733819263,1.0341265831271154
LaBr 5%,400,комптон/пик,NaN,0.81057286282383256,NaN
LaBr 5%,662,провзаим.,0.653702612759165,0.61995036773239265,0.94836758432965418
LaBr 5%,662,комптон/пик,NaN,1.8906112011995089,NaN
LaBr 5%,1000,провзаим.,0.56701095876587815,0.61450134464902706,1.0837556755278832
LaBr 5%,1000,комптон/пик,NaN,3.7562399781854978,NaN
LaBr 5%,1500,провзаим.,0.49231619703431229,0.50382248247979766,1.0233717385590777
LaBr 5%,1500,комптон/пик,NaN,4.269710695667535,NaN
LaBr 5%,1500,вылет 1,0.018330909579733344,0,0
LaBr 5%,1500,вылет 2,0.02407459458138313,0,0
LaBr 5%,2000,провзаим.,0.45144257908556107,0.46934357287534828,1.0396528697537732
LaBr 5%,2000,комптон/пик,NaN,9.15752082443497,NaN
LaBr 5%,2000,вылет 1,0.10309278350515463,0.29261916707211211,2.8384059205994876
LaBr 5%,2000,вылет 2,0.13527700807187237,0.2343261361908355,1.7321948461954344
LaBr 5%,2614,провзаим.,0.42528593972362494,0.4216370448008675,0.99142013741359825
LaBr 5%,2614,комптон/пик,NaN,11.723389503245013,NaN
LaBr 5%,2614,вылет 1,0.27890326910398405,0,0
LaBr 5%,2614,вылет 2,0.36599483999460625,0.87440178438336991,2.389109596179706
NaI 10%,200,провзаим.,0.996471898045244,1.0273105407917342,1.0309478298454635
NaI 10%,200,комптон/пик,NaN,0.14455390192152864,NaN
NaI 10%,400,провзаим.,0.872094293774178,0.95715904756859316,1.0975407755809052
NaI 10%,400,комптон/пик,NaN,0.75193746414277907,NaN
NaI 10%,662,провзаим.,0.75042444057745217,0.79937182461652589,1.0652262658201919
NaI 10%,662,комптон/пик,NaN,2.2131566651420114,NaN
NaI 10%,1000,провзаим.,0.6596087341794572,0.71108896046440206,1.0780466109942972
NaI 10%,1000,комптон/пик,NaN,2.5554327291791892,NaN
NaI 10%,1500,провзаим.,0.580391084533996,0.5880405516713394,1.0131798494862911
NaI 10%,1500,комптон/пик,NaN,6.128586058142206,NaN
NaI 10%,1500,вылет 1,0.020339927556422402,0.21860900811071748,10.747777124785822
NaI 10%,1500,вылет 2,0.024519364725550295,0.18705128426247764,7.6287165820230927
NaI 10%,2000,провзаим.,0.53711463327478015,0.52753278133342574,0.98216050848785486
NaI 10%,2000,комптон/пик,NaN,8.01506630396696,NaN
NaI 10%,2000,вылет 1,0.10375756961512149,0.35708025231447943,3.4414862803652162
NaI 10%,2000,вылет 2,0.12504117363873615,0.45912667027755366,3.6718039099988271
NaI 10%,2614,провзаим.,0.50992294033605434,0.45360507206330042,0.88955611952731761
NaI 10%,2614,комптон/пик,NaN,5.83242563648064,NaN
NaI 10%,2614,вылет 1,0.26909644054346671,0.16666801199184414,0.61936163724515159
NaI 10%,2614,вылет 2,0.32411407771581557,0.74996393305740039,2.3138887960151227
NaI 12%,200,провзаим.,0.99773435735126037,1.0930851003423003,1.0955672642607726
NaI 12%,200,комптон/пик,NaN,0.13382213871135357,NaN
