detector,energy_kev,quantity,gadras_over_peak,ours_over_peak,ratio
NaI 12%,400,провзаим.,0.8911465819693879,1.1377043017626569,1.2766747073734932
NaI 12%,400,комптон/пик,NaN,0.66663621292246811,NaN
NaI 12%,662,провзаим.,0.77616717142493752,0.82579064696597548,1.0639340046422423
NaI 12%,662,комптон/пик,NaN,1.6520574665996584,NaN
NaI 12%,1000,провзаим.,0.68719705586050894,0.74293621488905814,1.0811108815924022
NaI 12%,1000,комптон/пик,NaN,2.4463947229475984,NaN
NaI 12%,1500,провзаим.,0.60802000789551758,0.74059676871886415,1.2180467075125077
NaI 12%,1500,комптон/пик,NaN,5.4607649895809232,NaN
NaI 12%,1500,вылет 1,0.020200261210274274,0.19447329246375375,9.6272662239060836
NaI 12%,1500,вылет 2,0.022115803221593382,0.21585115402150648,9.7600413540826843
NaI 12%,2000,провзаим.,0.56425132497936148,0.69627696525880189,1.2339837487918517
NaI 12%,2000,комптон/пик,NaN,6.1248797424233228,NaN
NaI 12%,2000,вылет 1,0.10239386571909483,0.528958073493852,5.1659156510897288
NaI 12%,2000,вылет 2,0.11197867963343931,0.098039664471255852,0.87552081157044681
NaI 12%,2614,провзаим.,0.53658361663981013,0.62304402407871318,1.1611312845895942
NaI 12%,2614,комптон/пик,NaN,11.43667943823289,NaN
NaI 12%,2614,вылет 1,0.26219267666646656,0,0
NaI 12%,2614,вылет 2,0.28680956704543109,0.56934009645929684,1.9850805617272609
NaI 1x1,200,провзаим.,0.93994083273449036,1.0389676008926123,1.1053542571078987
NaI 1x1,200,комптон/пик,NaN,0.20395274449523279,NaN
NaI 1x1,400,провзаим.,0.640915915759201,0.65545671691562468,1.0226875332612066
NaI 1x1,400,комптон/пик,NaN,1.1582088925957479,NaN
NaI 1x1,662,провзаим.,0.49906314667992235,0.44841739400293829,0.89851834780045159
NaI 1x1,662,комптон/пик,NaN,1.8826820158431747,NaN
NaI 1x1,1000,провзаим.,0.41533527322623187,0.39601764516716942,0.95348907423872908
NaI 1x1,1000,комптон/пик,NaN,5.2896851448286242,NaN
NaI 1x1,1500,провзаим.,0.35112375713901767,0.34027414711714132,0.969100324881803
NaI 1x1,1500,комптон/пик,NaN,5.2793625068964136,NaN
NaI 1x1,1500,вылет 1,0.020785699438786113,0.28306274511424806,13.618148667446476
NaI 1x1,1500,вылет 2,0.067033880690085215,0,0
NaI 1x1,2000,провзаим.,0.31861485658076982,0.31697209597116971,0.99484405521064057
NaI 1x1,2000,комптон/пик,NaN,15.217729550361966,NaN
NaI 1x1,2000,вылет 1,0.1134045851350249,0.0025567478770568632,0.022545365992148177
NaI 1x1,2000,вылет 2,0.36428163498409072,0.89618768034701912,2.4601505930601149
NaI 1x1,2614,провзаим.,0.29896530590199977,0.35391226462019043,1.1837904185986121
NaI 1x1,2614,комптон/пик,NaN,14.092790976261483,NaN
NaI 1x1,2614,вылет 1,0.348821526720133,0,0
NaI 1x1,2614,вылет 2,1.1202373478137022,0.83324711885116687,0.74381301469493377
NaI 25%,200,провзаим.,0.99605879925939644,0.97857266636249585,0.98244467805524927
NaI 25%,200,комптон/пик,NaN,0.11051432587740022,NaN
NaI 25%,400,провзаим.,0.8668313851893521,0.86587071866787713,0.99889174926301827
NaI 25%,400,комптон/пик,NaN,0.48855810373934805,NaN
NaI 25%,662,провзаим.,0.74353882904904733,0.73635173899531892,0.990333941183784
NaI 25%,662,комптон/пик,NaN,1.203597658339763,NaN
NaI 25%,1000,провзаим.,0.65233953888464891,0.699763843250511,1.0726988041334222
NaI 25%,1000,комптон/пик,NaN,1.8847381265602794,NaN
NaI 25%,1500,провзаим.,0.57318476899546067,0.59436800265351231,1.0369570770262728
NaI 25%,1500,комптон/пик,NaN,3.5087053583240944,NaN
NaI 25%,1500,вылет 1,0.019322969635333431,0.085877560110098158,4.4443251596827489
NaI 25%,1500,вылет 2,0.013584192939125382,0.02319547110643911,1.7075339853007527
NaI 25%,2000,провзаим.,0.530070406095926,0.56393793934496206,1.0638925185400883
NaI 25%,2000,комптон/пик,NaN,4.8109390400117569,NaN
NaI 25%,2000,вылет 1,0.09732806019099062,0.18460414810868384,1.8967207169898175
NaI 25%,2000,вылет 2,0.06839008392013117,0,0
NaI 25%,2614,провзаим.,0.503021476600988,0.51718343999121041,1.0281537947165149
NaI 25%,2614,комптон/пик,NaN,5.1226677188334415,NaN
NaI 25%,2614,вылет 1,0.24508120801830624,0.42139803435124723,1.7194220550756021
NaI 25%,2614,вылет 2,0.17229741464990986,0.1959939312509987,1.1375326301281865
NaI 2x2,200,провзаим.,0.9963928964273735,0.87941693411978128,0.88260056577378609
NaI 2x2,200,комптон/пик,NaN,0.094288015721033014,NaN
NaI 2x2,400,провзаим.,0.87105862044494686,0.646135701955579,0.74178211062939181
NaI 2x2,400,комптон/пик,NaN,0.5306904155806208,NaN
NaI 2x2,662,провзаим.,0.749062268985779,0.58415683398729457,0.77985083239906827
NaI 2x2,662,комптон/пик,NaN,1.382800253012799,NaN
NaI 2x2,1000,провзаим.,0.65816715726655506,0.4841253432504864,0.73556593929893943
NaI 2x2,1000,комптон/пик,NaN,1.8673000570923854,NaN
NaI 2x2,1500,провзаим.,0.57895962145061552,0.3985468591785763,0.688384551205825
NaI 2x2,1500,комптон/пик,NaN,3.3486195601622089,NaN
NaI 2x2,1500,вылет 1,0.019313304721030045,0,0
NaI 2x2,1500,вылет 2,0.013412017167381973,0.035067251111551186,2.6146142428772565
NaI 2x2,2000,провзаим.,0.535714286327555,0.38885965717154536,0.725871359222596
NaI 2x2,2000,комптон/пик,NaN,3.691072312694081,NaN
NaI 2x2,2000,вылет 1,0.097062553696354775,0.099360484559843046,1.0236747414525791
NaI 2x2,2000,вылет 2,0.067299431330033133,0,0
NaI 2x2,2614,провзаим.,0.50855035767092316,0.37660835397923376,0.74055272658550075
NaI 2x2,2614,комптон/пик,NaN,4.7350195469950069,NaN
NaI 2x2,2614,вылет 1,0.24435942908988967,0.2366849750921734,0.96859358353266922
NaI 2x2,2614,вылет 2,0.16948280324474382,0.13287043706912274,0.7839759227799028
NaI 30%,200,провзаим.,0.93994083273449036,0.94689740377911791,1.0074010733467014
NaI 30%,200,комптон/пик,NaN,0.12057927173951363,NaN
NaI 30%,400,провзаим.,0.640915915759201,0.6389846177281101,0.99698665927370023
NaI 30%,400,комптон/пик,NaN,0.61320122033009072,NaN
NaI 30%,662,провзаим.,0.49906314667992235,0.50277014345611715,1.0074279112790756
NaI 30%,662,комптон/пик,NaN,1.6222299342699069,NaN
NaI 30%,1000,провзаим.,0.41533527322623187,0.41906104536012562,1.0089705170113599
NaI 30%,1000,комптон/пик,NaN,2.4434135870116322,NaN
NaI 30%,1500,провзаим.,0.35112375713901767,0.36209657976954818,1.0312505844661093
NaI 30%,1500,комптон/пик,NaN,3.5240398851386328,NaN
NaI 30%,1500,вылет 1,0.019294672526530176,0,0
NaI 30%,1500,вылет 2,0.020232607996569837,0.046770623334815707,2.3116458018039507
NaI 30%,2000,провзаим.,0.31861485658076982,0.31962977254852371,1.0031854006390206
NaI 30%,2000,комптон/пик,NaN,4.7746382532704494,NaN
NaI 30%,2000,вылет 1,0.098334596403023986,0,0
NaI 30%,2000,вылет 2,0.10277074360917544,0.14871096605011924,1.4470165421362411
NaI 30%,2614,провзаим.,0.29896530590199977,0.26742664092207447,0.89450727439837585
NaI 30%,2614,комптон/пик,NaN,6.8837663528731978,NaN
NaI 30%,2614,вылет 1,0.25148670951693952,0.26049095521286864,1.03580406182587
NaI 30%,2614,вылет 2,0.26290668221297964,0.4827182310594888,1.8360820158554993
NaI 3x3,200,провзаим.,0.99977850934640222,0.97932648784400478,0.97954344756243283
NaI 3x3,200,комптон/пик,NaN,0.097283881945741418,NaN
NaI 3x3,400,провзаим.,0.95332429770800464,1.0040954861053175,1.0532569960918625
NaI 3x3,400,комптон/пик,NaN,0.39457536730208193,NaN
NaI 3x3,662,провзаим.,0.87360995639640782,0.86385117429050762,0.98882936024887513
NaI 3x3,662,комптон/пик,NaN,0.71059423097458707,NaN
NaI 3x3,1000,провзаим.,0.799295985755872,0.83640247069871543,1.0464239600900196
NaI 3x3,1000,комптон/пик,NaN,1.4782273868425124,NaN
NaI 3x3,1500,провзаим.,0.7258648900134218,0.75535921327225886,1.0406333515570532
NaI 3x3,1500,комптон/пик,NaN,2.1634190368913213,NaN
NaI 3x3,1500,вылет 1,0.016435868331441544,0,0
NaI 3x3,1500,вылет 2,0.0059931895573212268,0.017038399596193712,2.8429602356527761
NaI 3x3,2000,провзаим.,0.68268555017041266,0.70315030832269709,1.0299768438736927
NaI 3x3,2000,комптон/пик,NaN,2.7633413746173456,NaN
NaI 3x3,2000,вылет 1,0.081612586037364793,0.10503179808410554,1.2869558873678957
NaI 3x3,2000,вылет 2,0.02990340679044479,0.093031642249235574,3.1110716882921352
NaI 3x3,2614,провзаим.,0.65451182729752122,0.6666455920111769,1.0185386485126724
NaI 3x3,2614,комптон/пик,NaN,3.2096240266221896,NaN
NaI 3x3,2614,вылет 1,0.19991014397816859,0.27570347493600444,1.3791369934990041
NaI 3x3,2614,вылет 2,0.073194212121569929,0.112224924197234,1.5332486127569358
NaI 5%,200,провзаим.,0.96391081010437263,1.0570100850265394,1.0965849474310656
NaI 5%,200,комптон/пик,NaN,0.18718252039914321,NaN
NaI 5%,400,провзаим.,0.70170832736055488,0.78156742944544444,1.1138066900036316
NaI 5%,400,комптон/пик,NaN,0.875761113375863,NaN
NaI 5%,662,провзаим.,0.558009461694934,0.55053709960672781,0.98660889715828615
NaI 5%,662,комптон/пик,NaN,1.6706902866695128,NaN
NaI 5%,1000,провзаим.,0.469490480750815,0.44389003445202052,0.94547185225597341
NaI 5%,1000,комптон/пик,NaN,3.8193713196972245,NaN
NaI 5%,1500,провзаим.,0.40001009217904426,0.45222608982564055,1.1305367006171045
NaI 5%,1500,комптон/пик,NaN,5.0668616820138572,NaN
NaI 5%,1500,вылет 1,0.021138694292552541,0.36902523124723324,17.457333274233783
NaI 5%,1500,вылет 2,0.037385789905836728,0.0083337617892689474,0.22291255073810456
NaI 5%,2000,провзаим.,0.36434762001768239,0.36020472489052863,0.98862927901943565
NaI 5%,2000,комптон/пик,NaN,14.249916200728755,NaN
NaI 5%,2000,вылет 1,0.11054314708030116,0,0
NaI 5%,2000,вылет 2,0.19540200941757108,1.1753937805593262,6.0152594339371808
NaI 5%,2614,провзаим.,0.342641061253232,0.39085692324021193,1.1407182834731695
NaI 5%,2614,комптон/пик,NaN,9.0192442537865247,NaN
NaI 5%,2614,вылет 1,0.30424604214347228,0.053344697093001991,0.17533407079736607
NaI 5%,2614,вылет 2,0.53817016390999628,1.0668283874547624,1.9823254037419642
