
=== HPGe 10%: HPGe, D 4,90 см, H 2,20 см, окно 1,10 г/см2 (Z 13), расстояние 100,5 см, Ω/4π 1,485E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
=== LaBr 10%: LaBr3, D 3,50 см, H 3,20 см, окно 1,75 г/см2 (Z 10,3), расстояние 51,0 см, Ω/4π 2,941E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   39,220   39,971      1,019    3,84
        40   52,131   49,758      0,954    4,36
        50   61,527   64,997      1,056    3,91
        60   66,829   66,053      0,988    4,04
        80   72,247   68,701      0,951    4,07
       100   74,806   71,646      0,958    4,01
       150   76,308   76,863      1,007    3,89
       200   72,519   66,613      0,919    4,43
       300   55,474   46,001      0,829    5,84
       400   41,262   39,453      0,956    6,51
       500   32,151   31,011      0,965    7,59
       600   26,234   23,947      0,913    8,86
       662   23,570   21,746      0,923    9,38
       800   19,247   20,044      1,041    9,88
      1000   15,246   15,712      1,031   11,35
      1200   12,700   11,457      0,902   13,50
      1500   10,146    8,018      0,790   16,36
      2000    7,502    6,765      0,902   17,98
      2614    5,502    4,328      0,787   22,72
      3000    4,932    5,492      1,114   20,17

=== LaBr 5%: LaBr3, D 2,55 см, H 2,90 см, окно 0,40 г/см2 (Z 13), расстояние 101,0 см, Ω/4π 3,984E-005
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   59,523   64,730      1,087    3,95
        40   68,495   69,651      1,017    4,40
        50   76,814   84,678      1,102    3,99
        60   81,444   89,377      1,097    3,91
        80   85,984   86,526      1,006    4,10
       100   87,811   92,299      1,051    3,92
       150   87,183   90,641      1,040    4,01
       200   80,142   79,930      0,997    4,45
       300   57,094   51,238      0,897    6,06
       400   40,213   45,688      1,136    6,53
       500   30,139   32,808      1,089    7,97
       600   23,858   26,118      1,095    9,09
       662   21,107   19,615      0,929   10,65
       800   16,763   19,177      1,144   10,80
      1000   12,886   12,414      0,963   13,64
      1200   10,505   10,977      1,045   14,57
      1500    8,183    8,314      1,016   16,86
      2000    5,810    7,356      1,266   17,98
      2614    4,012    2,703      0,674   29,98
      3000    3,508    2,460      0,701   31,46

=== NaI 10%: NaI, D 3,05 см, H 5,10 см, окно 1,10 г/см2 (Z 13,6), расстояние 52,0 см, Ω/4π 2,149E-004
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   23,403   20,096      0,859    6,34
        40   40,362   39,639      0,982    6,66
        50   55,453   51,764      0,933    6,64
        60   64,822   60,170      0,928    6,49
        80   74,724   70,648      0,945    6,21
       100   79,256   71,708      0,905    6,29
       150   82,271   78,925      0,959    6,04
       200   79,659   76,443      0,960    6,23
       300   64,123   50,538      0,788    8,07
       400   48,215   49,244      1,021    8,25
       500   37,256   35,718      0,959    9,93
       600   29,987   23,461      0,782   12,52
       662   26,710   21,981      0,823   12,98
       800   21,437   22,924      1,069   12,74
      1000   16,656   17,527      1,052   14,74
      1200   13,656   14,828      1,086   16,13
      1500   10,767   11,298      1,049   18,63
      2000    7,893    4,066      0,515   31,46
      2614    5,747    4,091      0,712   31,46
      3000    5,095    3,282      0,644   35,21

=== NaI 12%: NaI, D 3,20 см, H 5,50 см, окно 1,50 г/см2 (Z 10), расстояние 100,0 см, Ω/4π 6,399E-005
   энергия   GADRAS      наш   наш/GADRAS  стат.,%
        30   44,280   42,683      0,964    6,59
        40   49,936   52,334      1,048    7,09
        50   59,152   56,352      0,953    7,25
        60   64,918   57,342      0,883    7,38
        80   71,464   71,429      1,000    6,64
       100   74,806   68,945      0,922    6,87
       150   77,423   71,663      0,926    6,82
