group,spectrum,energy_kev,counts,fwhm_kev,fwhm_expected_kev,width_ratio,width_rel,nuclide,origin,detail
,AS1Pro_Ra226,78.29,804,37.61,13.84,2.718,1.126,Pb x-ray,сумма случайная,45.8 + 45.8
,AS1Pro_Ra226,150.42,7,44.27,19.66,2.252,0.933,U-235,сумма случайная,78.3 + 78.3
,AS1Pro_Ra226,241.73,43,58.23,25.60,2.274,0.943,Pb-214,сумма случайная,45.8 + 186.6
,AS1Pro_Ra226,297.05,57,64.56,28.82,2.240,0.929,Pb-214,сумма случайная,45.8 + 241.7
,AS1Pro_Ra226,354.50,70,82.43,31.97,2.578,1.069,Pb-214,сумма случайная,45.8 + 297.0
,AS1Pro_Ra226,474.28,0,84.53,38.13,2.217,0.919,Ac-228,сумма случайная,186.6 + 297.0
,AS1Pro_Ra226,1246.96,0,110.57,73.00,1.515,0.628,Bi-214,вылет одиночный,одиночный вылет 1763.2
,AS1Pro_Ra226,1395.32,0,194.74,79.35,2.454,1.017,Bi-214,сумма каскадная,611.3 + 773.9
,AS80_Cs137_0cm,446.91,1,113.15,33.75,3.353,1.000,,вылет двойной,двойной вылет 1456.9
,AS80_K40,84.35,151,34.88,8.57,4.072,1.372,Pb x-ray,обратное рассеяние,рассеяние от 99.5; родителей 1; площадь/родителя 2.13
,AS80_K40,349.11,5,74.61,27.62,2.701,0.910,Pb-214,сумма случайная,99.5 + 241.5
,AS80_Lu176,52.12,26,27.13,9.00,3.015,1.081,,обратное рассеяние,рассеяние от 86.8; родителей 1; площадь/родителя 8.67
,AS80_Lu176,519.44,0,97.91,37.62,2.603,0.933,Annihilation,сумма каскадная,200.5 + 304.5
,AS80_Lu176,598.13,0,99.48,41.29,2.409,0.864,Bi-214,сумма случайная,304.5 + 304.5
,AS80_Onyx,75.06,188,32.96,8.39,3.928,1.368,Pb x-ray,обратное рассеяние,рассеяние от 89.1; родителей 1; площадь/родителя 2.09
,AS80_Th232Medal,73.00,1252,24.92,8.23,3.029,1.238,Pb x-ray,сумма случайная,39.3 + 39.3
,AS80_Th232Medal,86.69,208,21.84,9.27,2.355,0.962,Pb x-ray,сумма случайная,39.3 + 39.3
,AS80_Th232Medal,129.02,36,31.63,12.37,2.557,1.045,Ac-228,сумма случайная,39.3 + 86.7
,AS80_Th232Medal,291.68,2,34.28,23.17,1.480,0.605,Pb-214,сумма случайная,39.3 + 239.3
,AS80_Th232Medal,458.80,1,61.53,33.56,1.834,0.749,Ac-228,вылет двойной,двойной вылет 1470.9
,AS80_Th232Medal,1643.31,0,182.60,107.04,1.706,0.697,Ac-228,вылет двойной,двойной вылет 2654.9
,AS80_Th232WT20,129.04,16,39.73,15.31,2.594,1.000,Ac-228,сумма случайная,59.5 + 59.5
,AS80_Th232WT20,406.61,1,36.40,32.26,1.128,0.435,Ac-228,сумма случайная,59.5 + 340.3
,AS80_Th232WT20,464.10,2,62.78,35.21,1.783,0.687,Ac-228,сумма каскадная,129.0 + 340.3
,AS80_Th232WT20,584.96,17,111.82,41.07,2.723,1.050,Tl-208,сумма случайная,240.2 + 340.3
,AS80_Th232WT20,1243.71,0,135.29,68.18,1.984,0.765,Bi-214,сумма каскадная,340.3 + 909.7
,AS80_Th232WT20,1590.73,0,219.63,80.56,2.726,1.051,Ac-228,вылет двойной,двойной вылет 2617.2
,AS80_Th232WT20,2113.48,0,262.75,97.71,2.689,1.037,Tl-208 SE,вылет одиночный,одиночный вылет 2617.2
,AS80_Th232_v2,70.20,203,29.47,10.66,2.764,1.001,W x-ray,сумма случайная,36.0 + 36.0
,AS80_Th232_v2,125.03,6,33.42,14.94,2.237,0.810,Eu-152,сумма случайная,36.0 + 86.0
,AS80_Th232_v2,463.71,0,62.14,34.77,1.787,0.647,Ac-228,сумма случайная,236.6 + 236.6
