arm;node_kev;bin;dep_kev;compton
node_1436.6;1436.5940402914039;216;432.0;0.00011330035340506583
node_1436.6;1436.5940402914039;217;434.0;0.00012026309559587389
node_1436.6;1436.5940402914039;218;436.0;8.0931255070026964E-05
node_1436.6;1436.5940402914039;219;438.0;0.00010727867629611865
node_1436.6;1436.5940402914039;220;440.0;0.00011794747842941433
node_1436.6;1436.5940402914039;221;442.0;8.5063540609553456E-05
node_1436.6;1436.5940402914039;222;444.0;0.00010030176781583577
node_1436.6;1436.5940402914039;223;446.0;0.0001234530791407451
node_1436.6;1436.5940402914039;224;448.0;9.3230140919331461E-05
node_1436.6;1436.5940402914039;225;450.0;0.00010923732770606875
node_1436.6;1436.5940402914039;226;452.0;9.7942865977529436E-05
node_1436.6;1436.5940402914039;227;454.0;0.0001202564817504026
node_1436.6;1436.5940402914039;228;456.0;6.8135959736537188E-05
node_1436.6;1436.5940402914039;229;458.0;0.00012356440129224211
node_1436.6;1436.5940402914039;230;460.0;9.4399991212412715E-05
node_1436.6;1436.5940402914039;231;462.0;0.00010174143244512379
node_1436.6;1436.5940402914039;232;464.0;8.3794344391208142E-05
node_1436.6;1436.5940402914039;233;466.0;9.1887348389718682E-05
node_1436.6;1436.5940402914039;234;468.0;0.00011447955330368131
node_1436.6;1436.5940402914039;235;470.0;9.7291791462339461E-05
node_1436.6;1436.5940402914039;236;472.0;0.00010340874723624438
node_1436.6;1436.5940402914039;237;474.0;0.00010216452938038856
node_1436.6;1436.5940402914039;238;476.0;0.00010686966561479494
node_1436.6;1436.5940402914039;239;478.0;9.1809699370060116E-05
node_1436.6;1436.5940402914039;240;480.0;0.00012646197865251452
node_1436.6;1436.5940402914039;241;482.0;9.1597190476022661E-05
node_1436.6;1436.5940402914039;242;484.0;9.42100741667673E-05
node_1436.6;1436.5940402914039;243;486.0;0.00011715103028109297
node_1436.6;1436.5940402914039;244;488.0;8.7525273556821048E-05
node_1436.6;1436.5940402914039;245;490.0;0.0001122683534049429
node_1436.6;1436.5940402914039;246;492.0;9.7218216978944838E-05
node_1436.6;1436.5940402914039;247;494.0;0.00011835771874757484
node_1436.6;1436.5940402914039;248;496.0;9.2578695330303162E-05
node_1436.6;1436.5940402914039;249;498.0;9.5845018222462386E-05
node_1436.6;1436.5940402914039;250;500.0;8.2731261500157416E-05
node_1436.6;1436.5940402914039;251;502.0;9.9537726782727987E-05
node_1436.6;1436.5940402914039;252;504.0;0.00011079560499638319
node_1436.6;1436.5940402914039;253;506.0;0.00011058505333494395
node_1436.6;1436.5940402914039;254;508.0;0.00010574828047538176
node_1436.6;1436.5940402914039;255;510.0;6.1231912695802748E-05
node_1436.6;1436.5940402914039;256;512.0;0.00013320028665475547
node_1436.6;1436.5940402914039;257;514.0;0.00011755494051612914
node_1436.6;1436.5940402914039;258;516.0;0.00011562996951397508
node_1436.6;1436.5940402914039;259;518.0;6.2049555708654225E-05
node_1436.6;1436.5940402914039;260;520.0;9.3103430117480457E-05
node_1436.6;1436.5940402914039;261;522.0;0.00010499325435375795
node_1436.6;1436.5940402914039;262;524.0;0.00010523664968786761
node_1436.6;1436.5940402914039;263;526.0;0.00010360201122239232
node_1436.6;1436.5940402914039;264;528.0;9.7463424026500434E-05
node_1436.6;1436.5940402914039;265;530.0;0.00010664225555956364
node_1436.6;1436.5940402914039;266;532.0;9.8122014605905861E-05
node_1436.6;1436.5940402914039;267;534.0;7.8517048677895218E-05
node_1436.6;1436.5940402914039;268;536.0;0.0001059832502505742
node_1436.6;1436.5940402914039;269;538.0;0.00010298900451743975
node_1436.6;1436.5940402914039;270;540.0;9.040463191922754E-05
node_1436.6;1436.5940402914039;271;542.0;8.9179411588702351E-05
node_1436.6;1436.5940402914039;272;544.0;0.00010447936074342579
node_1436.6;1436.5940402914039;273;546.0;0.00010014943109126762
node_1436.6;1436.5940402914039;274;548.0;9.7419469966553152E-05
node_1436.6;1436.5940402914039;275;550.0;9.7074313089251518E-05
node_1436.6;1436.5940402914039;276;552.0;0.00010670057963579893
node_1436.6;1436.5940402914039;277;554.0;8.1842255895026028E-05
node_1436.6;1436.5940402914039;278;556.0;8.9886678324546665E-05
node_1436.6;1436.5940402914039;279;558.0;9.7953583463095129E-05
node_1436.6;1436.5940402914039;280;560.0;0.00010696873505366966
node_1436.6;1436.5940402914039;281;562.0;9.5677729404997081E-05
node_1436.6;1436.5940402914039;282;564.0;0.00010331092198612168
node_1436.6;1436.5940402914039;283;566.0;9.4208138762041926E-05
node_1436.6;1436.5940402914039;284;568.0;9.98010000330396E-05
node_1436.6;1436.5940402914039;285;570.0;8.2668651884887367E-05
node_1436.6;1436.5940402914039;286;572.0;0.00011138987611047924
node_1436.6;1436.5940402914039;287;574.0;7.4843614129349589E-05
node_1436.6;1436.5940402914039;288;576.0;0.00010548806312726811
node_1436.6;1436.5940402914039;289;578.0;8.3404214819893241E-05
