ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,K-40,Th-228,Rn-220,Th-232
14,-9.776,0.000,0.000,0.000,0.000,-5411.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-9.387,0.000,0.000,0.000,0.000,-5534.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,-8.997,0.000,0.000,0.000,0.000,-5617.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,-8.608,0.000,0.000,0.000,0.000,-5636.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,-8.218,0.000,0.000,0.000,0.000,-5798.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,-7.829,0.000,0.000,0.000,0.000,-5857.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,-7.440,0.000,0.000,0.000,0.000,-6002.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,-7.050,0.000,0.000,0.000,0.000,-6118.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,-6.661,0.000,0.000,0.000,0.000,-6131.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,-6.272,0.000,0.000,0.000,0.000,-6274.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,-5.883,0.000,0.000,0.000,0.000,-6402.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,-5.494,0.000,0.000,0.000,0.000,-6574.926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,-5.105,0.000,0.000,0.000,0.000,-6706.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,-4.716,0.000,0.000,0.000,0.000,-6746.732,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,-4.327,0.000,0.000,0.000,0.000,-6868.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,-3.938,0.000,0.000,0.000,0.000,-6988.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,-3.549,0.000,0.000,0.000,0.000,-7090.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,-3.160,0.000,0.000,0.000,0.000,-7251.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,-2.771,0.000,0.000,0.000,0.000,-7359.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,-2.382,0.000,0.000,0.000,0.000,-7434.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,-1.994,0.000,0.000,0.000,0.000,-7562.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,-1.605,0.000,0.000,0.000,0.000,-7699.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,-1.217,0.000,0.000,0.000,0.000,-7779.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,-0.828,0.000,0.000,0.000,0.000,-7907.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,-0.439,0.000,0.000,0.000,0.000,-8026.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,-0.051,0.000,0.000,0.000,0.000,-8194.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0.337,0.000,0.000,0.000,0.000,-8301.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0.726,0.000,0.000,0.000,0.000,-8431.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,1.114,0.000,0.000,0.000,0.000,-8522.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,1.502,0.000,0.000,0.000,0.000,-8711.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,1.891,0.000,0.000,0.000,0.000,-8792.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,2.279,0.000,0.000,0.000,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,0.000,0.000,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,0.000,0.000,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,0.000,0.000,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,0.000,0.000,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,0.000,0.000,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,0.000,0.000,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,0.000,0.000,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,0.000,0.000,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,0.000,0.000,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,0.000,0.000,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,0.000,0.000,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,0.000,0.000,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,0.000,0.000,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,0.000,0.000,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,0.000,0.000,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,0.000,0.000,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,0.000,0.000,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,0.000,0.000,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,0.000,0.000,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,0.000,0.000,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,0.000,0.000,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,0.000,0.000,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,0.000,0.000,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,0.000,0.000,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,0.000,0.000,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,0.000,0.000,0.000,-2422.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,0.000,0.000,0.000,-2487.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,0.000,0.000,0.000,-2324.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,0.000,0.000,0.000,-2295.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,0.000,0.000,0.000,-2427.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,0.000,0.000,0.000,-2181.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,0.000,0.000,0.000,-2401.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,0.000,0.000,0.000,-2347.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,0.001,0.000,0.000,-1907.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,0.003,0.000,0.000,-2159.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,0.011,0.000,0.000,-2056.899,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,0.033,0.000,0.000,-2223.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,0.097,0.000,0.000,-2058.834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,0.269,0.000,0.000,-2085.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,0.708,0.000,0.000,-2172.321,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,1.774,0.000,0.000,-1922.923,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,4.225,0.000,0.000,-1798.196,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,9.572,0.000,0.000,-1798.212,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,20.623,0.000,0.000,-1885.015,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,42.264,0.000,0.000,-1909.384,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,82.399,0.000,0.000,-1824.263,0.000,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,152.861,0.000,0.000,-1953.322,0.000,0.000,0.000,0.000,0.192,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,269.903,0.000,0.000,-1932.204,0.000,0.000,0.000,0.000,0.338,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,453.729,0.000,0.000,-1644.467,0.000,0.000,0.000,0.000,0.569,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,726.521,0.000,0.000,-1552.693,0.000,0.000,0.000,0.000,0.911,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,1108.651,0.000,0.000,-1501.456,0.000,0.000,0.000,0.000,1.389,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,1613.379,0.000,0.000,-1753.683,0.000,0.000,0.000,0.000,2.021,0.000,0.000,0.000,0.000,0.000
98,22.793,0.000,2241.072,0.000,0.000,-1416.211,0.000,0.000,0.000,0.000,2.806,0.000,0.000,0.000,0.000,0.000
99,23.179,0.000,2974.675,0.000,0.000,-1227.449,0.000,0.000,0.000,0.000,3.722,0.000,0.000,0.000,0.000,0.000
100,23.565,0.000,3778.362,0.000,0.000,-1316.770,0.000,0.000,0.000,0.000,4.724,0.000,0.000,0.000,0.000,0.000
101,23.951,0.000,4600.666,0.000,0.000,-1261.371,0.000,0.000,0.000,0.000,5.746,0.000,0.000,0.000,0.000,0.000
102,24.336,0.000,5382.051,0.000,0.000,-1091.989,0.000,0.000,0.000,0.000,6.712,0.000,0.000,0.000,0.000,0.000
103,24.722,0.000,6065.286,0.000,0.000,-1319.570,0.000,0.000,0.000,0.000,7.549,0.000,0.000,0.000,0.000,0.000
104,25.108,0.000,6605.745,0.000,0.000,-1158.756,0.000,0.000,0.000,0.000,8.200,0.000,0.000,0.000,0.000,0.000
105,25.494,0.000,6978.659,0.000,0.000,-1080.561,0.000,0.000,0.000,0.000,8.633,0.000,0.000,0.000,0.000,0.000
106,25.879,0.000,7181.382,0.000,0.000,-1312.719,0.000,0.000,0.000,0.000,8.843,0.000,0.000,0.000,0.000,0.000
107,26.265,0.000,7230.542,0.000,0.000,-1113.398,0.000,0.000,0.000,0.000,8.848,0.000,0.000,0.000,0.000,0.000
108,26.650,0.000,7155.613,0.000,0.000,-1041.805,0.000,0.000,0.000,0.000,8.686,0.000,0.000,0.000,0.000,0.000
109,27.036,0.000,6991.365,0.000,0.000,-1017.438,0.000,0.000,0.000,0.000,8.396,0.000,0.000,0.000,0.000,0.000
110,27.421,0.000,6771.408,0.000,0.000,-1008.363,0.000,0.000,0.000,0.000,8.020,0.000,0.000,0.000,0.000,0.000
111,27.807,0.000,6524.063,0.000,0.000,-991.555,0.000,0.000,0.000,0.000,7.590,0.000,0.000,0.000,0.000,0.000
112,28.192,0.000,6270.690,0.000,0.000,-1049.298,0.000,0.000,0.000,0.000,7.133,0.000,0.000,0.000,0.000,0.000
113,28.578,0.000,6025.789,0.000,0.000,-939.075,0.000,0.000,0.000,0.000,6.664,0.000,0.000,0.000,0.000,0.000
114,28.963,0.000,5798.021,0.000,0.000,-1145.481,0.000,0.000,0.000,0.000,6.195,0.000,0.000,0.000,0.000,0.000
115,29.348,0.000,5591.482,0.000,0.000,-906.309,0.000,0.000,0.000,0.000,5.734,0.000,0.000,0.000,0.000,0.000
116,29.733,0.000,5406.932,0.000,0.000,-829.526,0.000,0.000,0.000,0.000,5.286,0.000,0.000,0.000,0.000,0.000
117,30.119,0.000,5242.886,0.000,0.000,-816.603,0.000,0.000,0.000,0.000,4.859,0.000,0.000,0.000,0.000,0.000
118,30.504,0.000,5096.592,0.000,0.000,-476.254,0.000,0.000,0.000,0.000,4.458,0.000,0.000,0.000,0.000,0.000
119,30.889,0.000,4964.870,0.000,0.000,-294.216,0.000,0.000,0.000,0.000,4.092,0.000,0.000,0.000,0.000,0.000
120,31.274,0.000,4844.785,0.000,0.000,-275.857,0.000,0.000,0.000,0.000,3.769,0.000,0.000,0.000,0.000,0.000
121,31.659,3.034,4734.087,0.000,0.000,3.034,0.000,0.001,0.000,0.000,3.496,0.000,0.000,0.000,0.000,0.000
122,32.044,67.807,4631.433,0.000,0.000,67.807,0.000,0.001,0.000,0.000,3.279,0.000,0.000,0.000,0.000,0.000
123,32.429,216.696,4536.395,0.000,0.000,216.696,0.000,0.002,0.000,0.000,3.122,0.000,0.000,0.000,0.000,0.000
124,32.814,301.674,4449.322,0.000,0.000,301.674,0.000,0.004,0.000,0.000,3.025,0.000,0.000,0.000,0.000,0.000
125,33.199,848.303,4371.106,0.000,0.000,848.303,0.000,0.007,0.000,0.000,2.988,0.000,0.000,0.000,0.000,0.000
126,33.584,893.053,4302.916,0.000,0.000,893.053,0.000,0.012,0.000,0.000,3.008,0.000,0.000,0.000,0.000,0.000
127,33.968,1267.492,4438.985,193.043,0.000,1267.492,0.000,0.021,0.000,0.000,3.078,0.000,0.000,0.000,0.000,0.000
128,34.353,1352.872,4587.271,386.085,0.000,1352.872,0.000,0.036,0.000,0.000,3.191,0.000,0.000,0.000,0.000,0.000
129,34.738,1740.499,4748.423,579.128,0.000,1740.499,0.000,0.060,0.000,0.000,3.336,0.000,0.000,0.000,0.000,0.000
130,35.122,1706.873,4922.642,772.171,0.000,1706.873,0.000,0.099,0.000,0.000,3.494,0.000,0.000,0.000,0.000,0.000
131,35.507,1934.788,5109.646,965.214,0.000,1934.788,0.000,0.157,0.000,0.000,3.641,0.000,0.000,0.000,0.000,0.000
132,35.892,2416.148,5308.677,1158.256,0.000,2416.148,0.000,0.241,0.000,0.000,3.750,0.000,0.000,0.000,0.000,0.000
133,36.276,2534.454,5518.565,1351.299,0.000,2534.454,0.000,0.354,0.000,0.000,3.788,0.000,0.000,0.000,0.000,0.000
134,36.661,3005.093,5737.813,1544.342,0.000,3005.093,0.000,0.499,0.000,0.000,3.733,0.000,0.000,0.000,0.000,0.000
135,37.045,3264.332,5964.704,1737.384,0.000,3264.332,0.000,0.670,0.000,0.000,3.576,0.000,0.000,0.000,0.000,0.000
136,37.430,3502.437,6197.406,1930.427,0.000,3502.437,0.000,0.859,0.000,0.000,3.328,0.000,0.000,0.000,0.000,0.000
137,37.814,3619.769,6434.049,2123.470,0.000,3619.769,0.000,1.053,0.000,0.000,3.017,0.000,0.000,0.000,0.000,0.000
138,38.198,3743.749,6672.785,2316.513,0.000,3743.749,0.000,1.242,0.000,0.000,2.677,0.000,0.000,0.000,0.000,0.000
139,38.583,3821.573,6911.804,2509.555,0.000,3821.573,0.000,1.418,0.000,0.000,2.339,0.000,0.000,0.000,0.000,0.000
140,38.967,3818.557,7149.342,2702.598,0.000,3818.557,0.000,1.577,0.000,0.000,2.025,0.000,0.000,0.000,0.000,0.000
141,39.351,4057.047,7383.675,2895.641,0.000,4057.047,0.000,1.717,0.000,0.000,1.746,0.000,0.000,0.000,0.000,0.000
142,39.736,3952.096,7613.123,3088.683,0.000,3952.096,0.000,1.840,0.000,0.000,1.506,0.000,0.000,0.000,0.000,0.000
143,40.120,3799.846,7836.078,3281.726,0.000,3799.846,0.000,1.948,0.000,0.000,1.303,0.000,0.000,0.000,0.000,0.000
144,40.504,3551.352,8051.058,3474.769,0.000,3551.352,0.000,2.041,0.000,0.000,1.133,0.000,0.000,0.000,0.000,0.000
145,40.888,3630.415,8256.787,3667.811,0.000,3630.415,0.000,2.121,0.000,0.000,0.991,0.000,0.000,0.000,0.000,0.000
146,41.272,3310.747,8452.290,3860.854,0.000,3310.747,0.000,2.189,0.001,0.000,0.872,0.000,0.000,0.000,0.000,0.000
147,41.656,3142.010,8636.991,4053.897,0.000,3142.010,0.000,2.247,0.001,0.000,0.772,0.000,0.000,0.000,0.000,0.000
148,42.040,2946.720,8810.791,4246.940,0.000,2946.720,0.000,2.294,0.002,0.000,0.685,0.000,0.000,0.000,0.000,0.000
149,42.424,3332.288,8974.123,4439.982,0.000,3332.288,0.000,2.333,0.003,0.000,0.610,0.000,0.000,0.000,0.000,0.000
150,42.808,2795.902,9127.956,4633.025,0.000,2795.902,0.000,2.362,0.005,0.000,0.543,0.000,0.000,0.000,0.000,0.000
151,43.192,2942.995,9273.759,4826.068,0.000,2942.995,0.000,2.383,0.009,0.000,0.482,0.000,0.000,0.000,0.000,0.000
152,43.575,3026.753,9413.426,5019.110,0.000,3026.753,0.000,2.396,0.014,0.000,0.426,0.000,0.000,0.000,0.000,0.000
153,43.959,3083.368,9549.151,5212.153,0.000,3083.368,0.000,2.403,0.024,0.000,0.374,0.000,0.000,0.000,0.000,0.000
154,44.343,3140.461,9683.299,5405.196,0.000,3140.461,0.000,2.404,0.039,0.000,0.325,0.000,0.000,0.000,0.000,0.000
155,44.727,3318.973,9818.250,5598.239,0.000,3318.973,0.000,2.399,0.064,0.000,0.279,0.000,0.000,0.000,0.000,0.000
156,45.110,3728.918,9956.263,5791.281,0.000,3728.918,0.000,2.389,0.101,0.000,0.237,0.000,0.000,0.000,0.000,0.000
157,45.494,3680.176,10099.342,5984.324,0.000,3680.176,0.000,2.375,0.158,0.000,0.198,0.000,0.000,0.000,0.000,0.000
158,45.878,3947.133,10249.149,6177.367,0.000,3947.133,0.000,2.357,0.242,0.000,0.163,0.000,0.000,0.000,0.000,0.000
159,46.261,4450.820,10406.936,6370.409,0.000,4450.820,0.000,2.334,0.366,0.000,0.133,0.000,0.000,0.000,0.000,0.000
160,46.645,4490.548,10573.517,6563.452,0.000,4490.548,0.000,2.305,0.541,0.000,0.106,0.000,0.000,0.000,0.000,0.000
161,47.028,5143.988,10749.282,6756.495,0.000,5143.988,0.000,2.271,0.787,0.000,0.085,0.000,0.000,0.000,0.000,0.000
162,47.412,5496.743,10934.232,6949.538,0.000,5496.743,0.000,2.230,1.122,0.000,0.068,0.000,0.000,0.000,0.000,0.000
163,47.795,5880.886,11128.040,7142.580,0.000,5880.886,0.000,2.181,1.568,0.000,0.056,0.000,0.000,0.000,0.000,0.000
164,48.178,6192.559,11330.118,7335.623,0.000,6192.559,0.000,2.124,2.147,0.000,0.049,0.000,0.000,0.000,0.000,0.000
165,48.562,6437.436,11539.697,7528.666,0.000,6437.436,0.000,2.059,2.879,0.000,0.045,0.000,0.000,0.000,0.000,0.000
166,48.945,7298.560,11755.891,7721.708,0.000,7298.560,0.000,1.987,3.777,0.000,0.046,0.000,0.000,0.000,0.000,0.000
167,49.328,7741.641,11977.754,7914.751,0.000,7741.641,0.000,1.907,4.847,0.000,0.049,0.000,0.000,0.000,0.000,0.000
168,49.711,7851.541,12204.322,8107.794,0.000,7851.541,0.000,1.822,6.086,0.000,0.056,0.000,0.000,0.000,0.000,0.000
169,50.094,8457.990,12434.635,8300.837,0.000,8457.990,0.000,1.734,7.476,0.000,0.066,0.000,0.000,0.000,0.000,0.000
170,50.478,8715.738,12667.754,8493.879,0.000,8715.738,0.000,1.646,8.988,0.000,0.077,0.000,0.000,0.000,0.000,0.000
171,50.861,9332.608,12902.759,8686.922,0.000,9332.608,0.000,1.558,10.585,0.000,0.090,0.000,0.000,0.000,0.000,0.000
172,51.244,9926.805,13138.753,8879.965,0.000,9926.805,0.000,1.474,12.222,0.000,0.103,0.000,0.000,0.000,0.000,0.000
173,51.627,10303.127,13374.860,9073.007,0.000,10303.127,0.000,1.396,13.852,0.000,0.118,0.000,0.000,0.000,0.000,0.000
174,52.010,10743.895,13610.234,9266.050,0.000,10743.895,0.000,1.324,15.432,0.000,0.132,0.000,0.000,0.000,0.000,0.000
175,52.393,11299.714,13844.069,9459.093,0.000,11299.714,0.000,1.261,16.922,0.000,0.146,0.000,0.000,0.000,0.000,0.000
176,52.776,11436.225,14075.631,9652.135,0.000,11436.225,0.000,1.205,18.293,0.000,0.159,0.000,0.000,0.000,0.000,0.000
177,53.159,11932.590,14304.277,9845.178,0.000,11932.590,0.000,1.158,19.523,0.000,0.172,0.000,0.000,0.000,0.000,0.000
178,53.541,12568.731,14529.491,10038.221,0.000,12568.731,0.000,1.119,20.600,0.000,0.183,0.000,0.000,0.000,0.000,0.000
179,53.924,12740.275,14750.906,10231.264,0.000,12740.275,0.000,1.087,21.520,0.000,0.194,0.000,0.000,0.000,0.000,0.000
180,54.307,12955.323,14968.325,10424.306,0.000,12955.323,0.000,1.063,22.287,0.000,0.204,0.000,0.000,0.000,0.000,0.000
181,54.690,13469.191,15181.724,10617.349,0.000,13469.191,0.000,1.045,22.912,0.000,0.212,0.000,0.000,0.000,0.000,0.000
182,55.072,13892.829,15391.243,10810.392,0.000,13892.829,0.000,1.033,23.408,0.000,0.220,0.000,0.000,0.000,0.000,0.000
183,55.455,14537.975,15597.166,11003.434,0.000,14537.975,0.000,1.025,23.794,0.000,0.227,0.000,0.000,0.000,0.000,0.000
184,55.838,14705.541,15799.887,11196.477,0.000,14705.541,0.000,1.021,24.089,0.000,0.233,0.000,0.000,0.000,0.000,0.000
185,56.220,14612.969,15999.876,11389.520,0.000,14612.969,0.000,1.020,24.310,0.000,0.238,0.000,0.000,0.000,0.000,0.000
186,56.603,15237.036,16197.643,11582.563,0.000,15237.036,0.000,1.021,24.477,0.000,0.242,0.000,0.000,0.000,0.000,0.000
187,56.985,15844.496,16393.710,11775.605,0.000,15844.496,0.000,1.022,24.605,0.000,0.246,0.000,0.000,0.000,0.000,0.000
188,57.368,15949.013,16588.603,11968.648,0.000,15949.013,0.000,1.024,24.707,0.000,0.249,0.000,0.000,0.000,0.000,0.000
189,57.750,16648.771,16782.845,12161.691,0.000,16648.771,0.000,1.025,24.795,0.000,0.251,0.000,0.000,0.000,0.000,0.000
190,58.132,16327.654,17038.606,12416.357,0.000,16327.654,0.000,1.025,24.874,0.000,0.252,0.000,0.000,0.000,0.000,0.000
191,58.515,17093.359,17294.858,12671.024,0.000,17093.359,0.000,1.023,24.949,0.000,0.253,0.000,0.000,0.000,0.000,0.000
192,58.897,17809.720,17552.296,12925.691,0.000,17809.720,0.000,1.020,25.021,0.000,0.252,0.000,0.000,0.000,0.000,0.000
193,59.279,18337.189,17811.763,13180.357,0.000,18337.189,0.000,1.014,25.088,0.000,0.252,0.000,0.000,0.000,0.000,0.000
194,59.662,18401.833,18074.303,13435.024,0.000,18401.833,0.000,1.006,25.148,0.000,0.250,0.000,0.000,0.000,0.000,0.000
195,60.044,19061.670,18341.209,13689.691,0.000,19061.670,0.000,0.997,25.197,0.000,0.248,0.000,0.000,0.000,0.000,0.000
196,60.426,19463.773,18614.061,13944.357,0.000,19463.773,0.000,0.985,25.229,0.000,0.246,0.000,0.000,0.000,0.000,0.000
197,60.808,20064.542,18894.751,14199.024,0.000,20064.542,0.000,0.973,25.240,0.000,0.243,0.000,0.000,0.000,0.000,0.000
198,61.190,20286.434,19185.492,14453.691,0.000,20286.434,0.000,0.959,25.225,0.000,0.240,0.000,0.000,0.000,0.000,0.000
199,61.572,21173.784,19488.806,14708.357,0.000,21173.784,0.000,0.945,25.183,0.000,0.237,0.000,0.000,0.000,0.000,0.000
