спектр                     что изменилось против HEAD
G1S24_Bi207_P5             кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 16.09 → 16.09 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Cd109_P5             кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 15.50 → 15.50 кан (+0.0 %)
G1S24_Co60_P5              кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 16.21 → 16.13 кан (-0.5 %); энергокалибровка: 662 кэВ HEAD → 659.44 кэВ новой шкалой; фон
G1S24_Cs137_Denta120       узел ПШПВ на 662: 15.64 → 15.64 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Cs137_Denta120_2     узел ПШПВ на 662: 15.64 → 15.65 кан (+0.0 %)
G1S24_Cs137_Mar            узел ПШПВ на 662: 15.72 → 15.73 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Cs137_Mar_2          узел ПШПВ на 662: 15.58 → 15.58 кан (+0.0 %)
G1S24_Cs137_P25            кривая: G1S_point25→G1S_point25, ε(662) ×0.9507; узел ПШПВ на 662: 15.67 → 15.68 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Cs137_P5             кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 16.01 → 16.02 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Cs137_Petri          узел ПШПВ на 662: 15.65 → 15.65 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Cs137_Petri_2        узел ПШПВ на 662: 15.47 → 15.47 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Eu152_P5             кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 15.81 → 15.82 кан (+0.0 %)
G1S24_K40_Denta120         узел ПШПВ на 662: 15.41 → 15.41 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_K40_Denta120_2       узел ПШПВ на 662: 15.45 → 15.45 кан (+0.0 %)
G1S24_K40_Mar              узел ПШПВ на 662: 15.55 → 15.55 кан (+0.0 %)
G1S24_K40_Mar_2            узел ПШПВ на 662: 15.49 → 15.49 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_K40_Petri            узел ПШПВ на 662: 15.38 → 15.39 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_K40_Petri_2          узел ПШПВ на 662: 15.41 → 15.42 кан (+0.0 %)
G1S24_Na22_P25             кривая: G1S_point25→G1S_point25, ε(662) ×0.9507; узел ПШПВ на 662: 15.64 → 15.65 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Na22_P5              кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 17.08 → 17.08 кан (+0.0 %)
G1S24_Ra226_Denta120       узел ПШПВ на 662: 15.71 → 15.72 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Ra226_Denta120_2     узел ПШПВ на 662: 15.68 → 15.68 кан (+0.0 %)
G1S24_Ra226_Mar            узел ПШПВ на 662: 15.63 → 15.63 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Ra226_Mar_2          узел ПШПВ на 662: 15.62 → 15.62 кан (+0.0 %)
G1S24_Ra226_Petri          узел ПШПВ на 662: 15.55 → 15.56 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Ra226_Petri_2        узел ПШПВ на 662: 15.68 → 15.69 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Rn222Coal_Mar_20m    узел ПШПВ на 662: 15.05 → 15.05 кан (+0.0 %)
G1S24_Rn222Coal_Mar_2h     узел ПШПВ на 662: 15.72 → 15.15 кан (-3.6 %); энергокалибровка: 662 кэВ HEAD → 675.26 кэВ новой шкалой; фон
G1S24_Rn222Coal_Mar_3h     узел ПШПВ на 662: 14.94 → 14.95 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Rn222Coal_Mar_eq01   узел ПШПВ на 662: 15.16 → 15.17 кан (+0.0 %)
G1S24_Th228_P25            кривая: G1S_point25→G1S_point25, ε(662) ×0.9507; узел ПШПВ на 662: 15.66 → 15.66 кан (+0.0 %)
G1S24_Th228_P5             кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 15.36 → 15.37 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Th232_Denta120       узел ПШПВ на 662: 15.52 → 15.53 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Th232_Denta120_2     узел ПШПВ на 662: 15.45 → 15.46 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Th232_Mar            узел ПШПВ на 662: 15.37 → 15.37 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
G1S24_Th232_Mar_2          узел ПШПВ на 662: 15.61 → 15.62 кан (+0.0 %); энергокалибровка: 662 кэВ HEAD → 661.69 кэВ новой шкалой; фон
G1S24_Th232_Petri          узел ПШПВ на 662: 15.41 → 15.41 кан (+0.0 %)
G1S24_Th232_Petri_2        узел ПШПВ на 662: 15.43 → 15.43 кан (+0.0 %)
G1S24_Y88_P25              кривая: G1S_point25→G1S_point25, ε(662) ×0.9507; узел ПШПВ на 662: 15.68 → 15.69 кан (+0.0 %)
G1S24_Y88_P5               кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 15.36 → 15.37 кан (+0.0 %)
G1S24_Zn65_P5              кривая: G1S_point5→G1S_point5, ε(662) ×0.8464; узел ПШПВ на 662: 15.64 → 15.64 кан (+0.0 %)
RC103_Charoite             узел ПШПВ на 662: 19.63 → 19.61 кан (-0.1 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
RC103_Cs137_0cm            узел ПШПВ на 662: 20.46 → 20.44 кан (-0.1 %); энергокалибровка: 662 кэВ HEAD → 661.65 кэВ новой шкалой
RC103_Cs137_50mm           НОВЫЙ СПЕКТР
RC103_K40                  узел ПШПВ на 662: 19.87 → 20.15 кан (+1.4 %); энергокалибровка: 662 кэВ HEAD → 666.42 кэВ новой шкалой; фон
RC103_K40Village           узел ПШПВ на 662: 19.82 → 19.83 кан (+0.1 %); энергокалибровка: 662 кэВ HEAD → 659.49 кэВ новой шкалой; фон
RC103_Lu176                узел ПШПВ на 662: 20.87 → 20.85 кан (-0.1 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой; фон
RC103_Th232Village         узел ПШПВ на 662: 19.87 → 19.85 кан (-0.1 %); энергокалибровка: 662 кэВ HEAD → 666.91 кэВ новой шкалой; фон
RC103_Th232WT20            узел ПШПВ на 662: 19.89 → 19.88 кан (-0.1 %); энергокалибровка: 662 кэВ HEAD → 661.66 кэВ новой шкалой

спектров с изменениями по разбору: 76 из 136
