energy_kev,eff_preset,eff_scene,delta_pct,eff_control,scene_over_control
5,1.4282791165744488E-33,1.4282860722706364E-33,0.00048699838196290688,1.0312255268027886E-33,1.3850375452776991
10,4.93678265423065E-07,4.93678571128336E-07,6.1923988239125471E-05,5.7336049367586711E-07,0.86102648608263377
20,0.00088117701944674242,0.000881177091289275,8.15301931263736E-06,0.001001074707300793,0.88023110049918341
30,0.0018765754755344162,0.0018765755254567505,2.66028917725302E-06,0.0021242425658246173,0.88340924697000223
40,0.0017703019887330752,0.0017703020083967649,1.1107534113086568E-06,0.0020281646110253608,0.87285913518714309
50,0.0019884996748865224,0.0019884996853667281,5.2704085453667855E-07,0.0022744051404122272,0.87429440341764275
60,0.0021142750891211181,0.0021142750948009575,2.6864240327685805E-07,0.002408116655236844,0.87797868521158229
70,0.0021839102187179004,0.0021839102222019086,1.5953074402739442E-07,0.0024794818747513022,0.88079297712993365
80,0.0022150291552741727,0.0022150291570140145,7.8547127628093081E-08,0.0025111073828798479,0.8820925668553935
90,0.0022407749393778152,0.002240774940327591,4.2386043843857305E-08,0.0025274791863723082,0.88656514063871528
100,0.0022359516798833639,0.002235951680186189,1.3543451858752638E-08,0.002514487253506799,0.88922768531351515
120,0.0021657428965999518,0.002165742896396199,-9.4079871416163928E-09,0.002456423575055751,0.88166508349320227
150,0.00197147187995728,0.0019714718793210051,-3.2274104105336291E-08,0.0022286051265277586,0.88462144139129051
186,0.0015997423957404471,0.0015997423951027837,-3.9860374891907715E-08,0.001818209873260002,0.87984474104438126
240,0.0011020157650958439,0.0011020157646107207,-4.4021441587123223E-08,0.0012449990852727026,0.88515387492781727
300,0.00072371516384697428,0.000723715163518644,-4.5367329764257361E-08,0.00083448342142691248,0.8672612839703131
352,0.00053318690545827872,0.00053318690522008894,-4.4672849670124313E-08,0.00060337056873678433,0.88368066466411876
400,0.00040918986750042351,0.00040918986732149784,-4.37268079920535E-08,0.00046112752701725414,0.88736812128369658
460,0.00030657555058745634,0.00030657555045587913,-4.2918361659161688E-08,0.00034977769312879048,0.8764868557326666
510,0.000256218287190164,0.00025621828708229419,-4.21007505743053E-08,0.00028680676085847726,0.893348142545089
583,0.00019247370152204347,0.00019247370144448523,-4.0295499678714373E-08,0.00022208343780813437,0.86667291962028248
609,0.0001834124052059369,0.0001834124051338669,-3.9293966130798123E-08,0.00020599688126938205,0.89036496088510464
662,0.00015175985966200476,0.00015175985960410148,-3.815454285703859E-08,0.00017214811834199796,0.88156560214389235
720,0.00013610117579350182,0.00013610117574305798,-3.70634815815881E-08,0.00015216722334712127,0.89441847428986931
800,0.00011091692757436578,0.00011091692753441017,-3.6023008972045217E-08,0.00012383081450483211,0.89571346177394306
900,9.3931680362523744E-05,9.393168033046352E-05,-3.4131428326305937E-08,0.00010149286223158223,0.92550035800679342
1000,7.869998910089674E-05,7.8699989075291E-05,-3.2535885360840483E-08,8.725621565389339E-05,0.90194135151882893
1120,5.9914062065436513E-05,5.9914062047008532E-05,-3.0757355456390583E-08,7.024884032256809E-05,0.85288328991476015
1250,4.751282033446144E-05,4.7512820320398904E-05,-2.9597350270967421E-08,5.8058182155479535E-05,0.81836562145814007
1461,3.9902868855761167E-05,3.9902868844697433E-05,-2.772666379667429E-08,4.5019574270693116E-05,0.88634487311608012
1600,3.2051558641469051E-05,3.205155863320478E-05,-2.5784300120450462E-08,3.4492825032185183E-05,0.92922393579817075
1765,2.9747981602044678E-05,2.9747981594810956E-05,-2.4316682902031676E-08,3.0048421336039687E-05,0.99000148001557775
2000,2.2928424773489902E-05,2.2928424768425049E-05,-2.2089846498106852E-08,2.5929200396077877E-05,0.884270413980574
2200,1.8131940610017453E-05,1.8131940606351274E-05,-2.021945087475868E-08,2.0503386205143559E-05,0.88433883188537044
2450,1.6302985615780381E-05,1.6302985612781248E-05,-1.8396223076793764E-08,1.708984666729428E-05,0.95395739529840906
2615,1.3552208936595251E-05,1.3552208934326757E-05,-1.6738918037374094E-08,1.4794342041430761E-05,0.91603998990793389
2800,1.1146366772004606E-05,1.1146366770271829E-05,-1.5545666401504812E-08,1.171007695733029E-05,0.95186110312404149
3000,9.944645277834592E-06,9.9446452763824167E-06,-1.4602585281408917E-08,1.1610134161850419E-05,0.85654869597109307
