scene,stamp_live_in,stamp_generated_in,stamp_rmx,verdict
AS80_lu_front,phys=19;dbe8088d71efa8cce427d81d524c92db7d62701ab9f38e9b0f6f7cf102ffdbd1,phys=19;dbe8088d71efa8cce427d81d524c92db7d62701ab9f38e9b0f6f7cf102ffdbd1,phys=19;dbe8088d71efa8cce427d81d524c92db7d62701ab9f38e9b0f6f7cf102ffdbd1,СОШЛОСЬ
AS80_point0,phys=19;3a98cd7b7dc1d679eaec8c6c87473211e9b5e1e7b310e98d8917b2ffc45d9ab8,phys=19;3a98cd7b7dc1d679eaec8c6c87473211e9b5e1e7b310e98d8917b2ffc45d9ab8,phys=19;3a98cd7b7dc1d679eaec8c6c87473211e9b5e1e7b310e98d8917b2ffc45d9ab8,СОШЛОСЬ
AS80_th_disk,phys=19;77b910474a164e8c7fa8360f43bc25a28caafdbe1919943a1e22ac9f05e61f44,phys=19;77b910474a164e8c7fa8360f43bc25a28caafdbe1919943a1e22ac9f05e61f44,phys=19;77b910474a164e8c7fa8360f43bc25a28caafdbe1919943a1e22ac9f05e61f44,СОШЛОСЬ
ASN16_lu_side,phys=19;468681dfdea4d4a1fd43fac2506b08f5b06ed32ed5d30d2e1f837430cca9d343,phys=19;468681dfdea4d4a1fd43fac2506b08f5b06ed32ed5d30d2e1f837430cca9d343,phys=19;468681dfdea4d4a1fd43fac2506b08f5b06ed32ed5d30d2e1f837430cca9d343,СОШЛОСЬ
G1S_denta100_oisn10_100_p16,phys=19;67063c0f0c402daecaafe3572e933d98ee538621885b9d9fa5f1aaedefb1c6aa,phys=19;67063c0f0c402daecaafe3572e933d98ee538621885b9d9fa5f1aaedefb1c6aa,phys=19;67063c0f0c402daecaafe3572e933d98ee538621885b9d9fa5f1aaedefb1c6aa,СОШЛОСЬ
G1S_denta100_risn379_100_p16,phys=19;a4592d6e109faa620cb9095d11746f981cb2eb43ad49eb98127b2846f0278ea4,phys=19;a4592d6e109faa620cb9095d11746f981cb2eb43ad49eb98127b2846f0278ea4,phys=19;a4592d6e109faa620cb9095d11746f981cb2eb43ad49eb98127b2846f0278ea4,СОШЛОСЬ
G1S_denta120_oisn06_057_p24,phys=19;c4459cdd753f2ab8ab79f62d752c8390e791537c6f71a3bd7b12ddf4b36a81d6,phys=19;c4459cdd753f2ab8ab79f62d752c8390e791537c6f71a3bd7b12ddf4b36a81d6,phys=19;c4459cdd753f2ab8ab79f62d752c8390e791537c6f71a3bd7b12ddf4b36a81d6,СОШЛОСЬ
G1S_denta120_oisn06_062_p24,phys=19;e73e6b5d8c54f7b5240c7ef854d71193c78ce474738db19f790be7c7325e195c,phys=19;e73e6b5d8c54f7b5240c7ef854d71193c78ce474738db19f790be7c7325e195c,phys=19;e73e6b5d8c54f7b5240c7ef854d71193c78ce474738db19f790be7c7325e195c,СОШЛОСЬ
G1S_denta120_oisn06_064_p24,phys=19;b9aa2596233b0e17cbd9758fbfb31e5fb809ac855d8abfaddb1decfd3a3199b0,phys=19;b9aa2596233b0e17cbd9758fbfb31e5fb809ac855d8abfaddb1decfd3a3199b0,phys=19;b9aa2596233b0e17cbd9758fbfb31e5fb809ac855d8abfaddb1decfd3a3199b0,СОШЛОСЬ
G1S_denta120_oisn06_066_p24,phys=19;6f77fea07624732dfcedf9ce1ddebdb6c6d41a337a9a18301c0c079355754ba5,phys=19;6f77fea07624732dfcedf9ce1ddebdb6c6d41a337a9a18301c0c079355754ba5,phys=19;6f77fea07624732dfcedf9ce1ddebdb6c6d41a337a9a18301c0c079355754ba5,СОШЛОСЬ
G1S_denta120_oisn16_155_p24,phys=19;e3ed12fadc23b39e53b0a3fff35fc7c7995b21ae44489588b1f47d559cf719fb,phys=19;e3ed12fadc23b39e53b0a3fff35fc7c7995b21ae44489588b1f47d559cf719fb,phys=19;e3ed12fadc23b39e53b0a3fff35fc7c7995b21ae44489588b1f47d559cf719fb,СОШЛОСЬ
