спектр             нуклид     паспорт      rev28      rev29      r28      r29
G1S16_Am241_P25    Am-241    117537.1   116040.0   122780.0    0.987    1.045
G1S16_Am241_P5     Am-241    117537.1    91453.0   111640.0    0.778    0.950
G1S16_Ba133_P25    Ba-133     26718.6    24831.0    26149.0    0.929    0.979
G1S16_Ba133_P5     Ba-133     26723.5    20864.0    24928.0    0.781    0.933
G1S16_Ce139_P25    Ce-139      2058.8     1854.2     1956.6    0.901    0.950
G1S16_Ce139_P5     Ce-139      2069.2     1537.1     1869.8    0.743    0.904
G1S16_Co57_P5      Co-57         82.1       63.1       76.7    0.768    0.935
G1S16_Co60_P25     Co-60      39539.6    36935.0    38690.0    0.934    0.979
G1S16_Co60_P5      Co-60      39553.8    32033.0    37845.0    0.810    0.957
G1S16_Cs137_P25    Cs-137     79026.2    74538.0    78334.0    0.943    0.991
G1S16_Cs137_P5     Cs-137     79026.2    64197.0    76300.0    0.812    0.966
G1S16_Eu152_P25    Eu-152     31582.4    28721.0    30244.0    0.909    0.958
G1S16_Eu152_P5     Eu-152     31586.9    23283.0    27864.0    0.737    0.882
G1S16_Mn54_P25     Mn-54      30490.6    28299.0    29657.0    0.928    0.973
G1S16_Mn54_P5      Mn-54      30626.1    24733.0    29437.0    0.808    0.961
G1S16_Na22_P25     Na-22      69035.8    65969.0    69002.0    0.956    1.000
G1S16_Na22_P5      Na-22      69136.6    55575.0    65301.0    0.804    0.945
G1S16_Th228_P25    Th-228      2372.3     2310.9     2437.2    0.974    1.027
G1S16_Th228_P5     Th-228      2377.0     1899.0     2278.4    0.799    0.959
G1S16_Y88_P25      Y-88         681.9      601.6      629.2    0.882    0.923
G1S16_Y88_P5       Y-88         686.4      559.5      660.9    0.815    0.963
G1S24_Am241_P5     Am-241    102513.3    77139.0    94363.0    0.752    0.920
G1S24_Ba133_P5     Ba-133     15356.9    10782.0    12965.0    0.702    0.844
G1S24_Bi207_P5     Bi-207     82424.7    63677.0    76164.0    0.773    0.924
G1S24_Cd109_P5     Cd-109      6808.7     1259.3     1508.7    0.185    0.222
G1S24_Co60_P5      Co-60      49908.4    38937.0    45987.0    0.780    0.921
G1S24_Cs137_P25    Cs-137     89324.6    80057.0    84312.0    0.896    0.944
G1S24_Cs137_P5     Cs-137     89330.3    70331.0    83651.0    0.787    0.936
G1S24_Eu152_P5     Eu-152    120540.4    94766.0   113030.0    0.786    0.938
G1S24_Na22_P25     Na-22     136634.9   125440.0   131380.0    0.918    0.962
G1S24_Na22_P5      Na-22     136734.6   104060.0   123720.0    0.761    0.905
G1S24_Th228_P25    Th-228     28146.8    27258.0    28757.0    0.968    1.022
G1S24_Th228_P5     Th-228     88637.4    71403.0    85914.0    0.806    0.969
G1S24_Y88_P25      Y-88       29782.9    26748.0    28128.0    0.898    0.944
G1S24_Y88_P5       Y-88       29977.2    23608.0    27923.0    0.788    0.931
G1S24_Zn65_P5      Zn-65        871.0      690.3      821.6    0.793    0.943
медиана _P5  rev28 0.786 -> rev29 0.936 (n=22)
медиана _P25 rev28 0.929 -> rev29 0.979 (n=14)

спектр             нуклид     паспорт      rev28      rev29      r28      r29
ASN16_Cs137        Cs-137      5715.5     6728.7     6685.6    1.177    1.170
ASN16_Cs137_10cm   Cs-137      5712.3          -     5518.4        -    0.966
RC103_Cs137_0cm    Cs-137      5564.3     5546.2     5510.1    0.997    0.990
RC103_Cs137_50mm   Cs-137      5235.6          -     6228.8        -    1.190
