спектр               геом        ρ кольцо пл       |   Ac-228   Pb-212   Tl-208  Pb/Tl |   Pb-214   Bi-214 |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн
contact52k           contact  3.30 Al1.0  noeqasis |    665.3    899.4    839.7  1.071 |    118.3      nan |  11.205  53.29  15.0% |   +1.2%   -4.5%   -8.6%  -17.2%   -1.3% |  34.6%
contact52k           contact  2.80 Fe1.0  noeqasis |    668.0    863.9    832.7  1.037 |    121.7      nan |  10.238  38.78  12.7% |   +0.6%   -4.2%   -8.8%  -17.1%   -0.2% |  34.6%
contact52k           contact  3.30 Fe1.0  noeqasis |    662.9    898.1    836.7  1.073 |    118.2      nan |  11.233  53.85  15.0% |   +1.2%   -4.6%   -8.6%  -17.3%   -1.3% |  34.6%
contact52k           contact  3.80 Fe1.0  noeqasis |    668.2    910.8    844.1  1.079 |    129.1      nan |  11.692  64.85  16.5% |   +0.3%   -4.8%   -8.9%  -17.2%   -0.8% |  34.7%
contact52k           contact  4.20 Fe1.0  noeqasis |    671.7    931.3    848.5  1.098 |    130.9      nan |  11.884  70.37  17.2% |   +0.0%   -5.1%   -9.1%  -17.4%   -1.0% |  34.6%
contact52k           contact  4.34 Fe1.0  noeqasis |    666.1   1001.4    840.6  1.191 |    132.5      nan |  12.079  75.29  17.8% |   +0.2%   -5.7%   -9.9%  -17.4%   -0.4% |  35.8%
contact_cal0809      contact  3.30 Al1.0  noeqasis |    891.6   1027.2    898.5  1.143 |    147.3    126.4 |   1.520   2.65  10.7% |   +1.9%   +0.2%   -2.4%   +0.3%   +2.0% |  11.5%
contact_cal0809      contact  2.80 Fe1.0  noeqasis |    889.9    975.1    886.9  1.099 |    143.2    128.6 |   1.334   1.79   7.4% |   +1.2%   +0.2%   -2.5%   +0.3%   +3.1% |  12.4%
contact_cal0809      contact  3.30 Fe1.0  noeqasis |    888.5   1024.4    895.3  1.144 |    148.1    127.0 |   1.526   2.69  10.8% |   +2.0%   +0.2%   -2.3%   +0.2%   +2.1% |  11.4%
contact_cal0809      contact  3.80 Fe1.0  noeqasis |    901.4   1023.4    906.5  1.129 |    137.7    119.2 |   2.037   4.87  16.4% |   +3.4%   -1.2%   -2.9%   +0.9%   +2.8% |  12.9%
contact_cal0809      contact  4.20 Fe1.0  noeqasis |    911.5   1043.1    911.8  1.144 |    137.1    117.5 |   2.184   5.45  17.6% |   +3.4%   -1.4%   -3.2%   +0.9%   +2.6% |  12.8%
contact_cal0809      contact  4.34 Fe1.0  noeqasis |    919.1   1130.8    906.3  1.248 |    156.1    133.7 |   1.999   5.16  17.0% |   +2.3%   -1.0%   -3.3%   +1.4%   +3.2% |  12.7%
contact_cal0809_s1   contact  3.30 Al1.0  noeqasis |    750.6   1017.8    893.6  1.139 |    192.8     54.5 |   3.054  11.54  26.5% |   +1.8%   -0.5%   -4.8%  -12.3%   -4.2% |  20.6%
contact_cal0809_s1   contact  2.80 Fe1.0  noeqasis |    750.9    966.9    885.7  1.092 |    175.6     54.5 |   2.745  10.19  24.7% |   +1.4%   -1.0%   -5.0%  -12.2%   -2.8% |  20.6%
contact_cal0809_s1   contact  3.30 Fe1.0  noeqasis |    749.2   1017.4    890.9  1.142 |    193.8     55.9 |   3.059  11.57  26.5% |   +1.8%   -0.5%   -4.8%  -12.3%   -4.2% |  20.3%
contact_cal0809_s1   contact  3.80 Fe1.0  noeqasis |    744.5   1012.2    898.8  1.126 |    187.2     45.6 |   3.309  12.98  28.2% |   +2.4%   -1.7%   -5.3%  -12.6%   -3.3% |  21.8%
contact_cal0809_s1   contact  4.20 Fe1.0  noeqasis |    750.3   1034.9    903.6  1.145 |    189.2     44.3 |   3.419  13.48  28.8% |   +2.3%   -1.9%   -5.6%  -12.6%   -3.5% |  21.7%
contact_cal0809_s1   contact  4.34 Fe1.0  noeqasis |    760.1   1118.6    910.8  1.228 |    190.2     46.3 |   3.425  13.60  29.0% |   +2.2%   -2.2%   -5.8%  -12.2%   -2.2% |  22.1%
edge1709             edge93   2.80 Al1.0  noeqasis |    920.1    950.5    903.2  1.052 |    136.7    122.7 |   1.438   1.57   6.2% |   +1.3%   -1.2%   -4.0%   +0.0%   +3.7% |  20.9%
edge1709             edge93   3.30 Al1.0  noeqasis |    943.5   1046.5    919.9  1.138 |    142.8    120.8 |   1.633   2.04   8.4% |   +1.1%   -1.7%   -4.3%   +0.4%   +3.7% |  21.3%
edge1709             edge93   3.80 Al1.0  noeqasis |    974.9   1172.2    943.8  1.242 |    158.9    133.0 |   1.603   2.13   8.7% |   +1.0%   -1.7%   -4.2%   +0.3%   +4.0% |  20.7%
edge1709             edge93   3.30 Fe0.5  noeqasis |    949.9   1061.3    921.3  1.152 |    143.0    125.7 |   1.681   2.15   8.8% |   +1.1%   -1.8%   -4.4%   +0.4%   +3.7% |  21.3%
