spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact_cal0809_s1,contact,4.345,Fe1.0,asis,953.896,172.79,114.375,24.3754,953.896,953.896,953.896,114.375,114.375,3.70397,14.5596,0.300616,-0.0445483,-0.0121512,-0.0289487,-0.0405678,0.0212409,14.8837,1.00677,-17.0513,2717.83,-4418.23,36.5998,3546.9,contact_cal0809_s1__AS80_p67_contact_p13__asis
edge1709,edge93,2.8,Al1.0,asis,930.673,302.458,134.214,43.2442,930.673,930.673,930.673,134.214,134.214,1.40962,1.54843,0.0607693,0.00355748,-0.00654691,-0.0246379,0.00800231,0.0585427,19.8594,1.00712,-26.8667,-641.563,-1601.09,20.5813,80070.6,edge1709__AS80_p88_edge93_r28_al__asis
edge1709,edge93,3.3,Al1.0,asis,977.736,278.572,135.043,38.8754,977.736,977.736,977.736,135.043,135.043,1.60841,2.06479,0.0846751,-0.0101503,-0.00529202,-0.0158344,0.0241179,0.081766,19.7541,1.00717,-27.2996,-968.084,-2176.1,20.7853,80070.6,edge1709__AS80_p88_edge93_r33_al__asis
edge1709,edge93,3.8,Al1.0,asis,1015.3,275.881,150.779,40.3714,1015.3,1015.3,1015.3,150.779,150.779,1.71148,2.38973,0.0967425,-0.0335605,-0.00168645,-0.0104052,0.0260603,0.0939541,19.2506,1.00812,-30.36,-976.907,-1915.43,20.8492,80070.6,edge1709__AS80_p88_edge93_r38_al__asis
edge1709,edge93,3.3,Fe0.5,asis,983.599,291.67,138.948,39.1196,983.599,983.599,983.599,138.948,138.948,1.64667,2.16553,0.0885959,-0.0125288,-0.00453991,-0.0151804,0.0237158,0.0851191,19.6795,1.00718,-27.2976,-1015.41,-2017.54,20.7769,80070.6,edge1709__AS80_p67_edge93_r33_ring05__asis
edge1709,edge93,2.8,Fe1.0,asis,960.9,293.446,138.29,41.9389,960.9,960.9,960.9,138.29,138.29,1.47973,1.73379,0.0702923,-0.000266737,-0.00629387,-0.0236178,0.0132248,0.0717621,19.189,1.00706,-27.0425,-466.844,-1429.74,20.6423,80070.6,edge1709__AS80_p67_edge93_r28__asis
edge1709,edge93,3.3,Fe1.0,asis,1010.2,271.27,143.806,39.3486,1010.2,1010.2,1010.2,143.806,143.806,1.66156,2.23424,0.0911645,-0.0149305,-0.00280599,-0.0189841,0.0227892,0.0940092,18.7017,1.00704,-27.1518,-726.127,-1528.57,20.6191,80070.6,edge1709__AS80_p67_edge93_r33__asis
edge1709,edge93,3.8,Fe1.0,asis,1040.68,249.545,157.534,40.218,1040.68,1040.68,1040.68,157.534,157.534,1.76299,2.56659,0.102708,-0.0395515,-0.00102957,-0.0126653,0.0257072,0.101961,18.8553,1.00828,-30.7034,-704.422,-1641.94,20.8392,80070.6,edge1709__AS80_p67_edge93_r38__asis
edge1709,edge93,4.2,Fe1.0,asis,1028.84,226.815,203.572,48.2355,1028.84,1028.84,1028.84,203.572,203.572,1.89727,3.38428,0.126725,-0.0893232,0.000816746,-0.00639909,0.0150582,0.0764924,18.8591,1.00989,-38.8735,-1366.51,-1937.28,21.0979,80070.6,edge1709__AS80_p67_edge93_r42__asis
edge1709,edge93,4.345,Fe1.0,asis,1047.66,232.711,221.818,49.2882,1047.66,1047.66,1047.66,221.818,221.818,1.9553,3.83181,0.138107,-0.130758,-0.011327,-0.0107934,0.0212119,0.0892853,20.6108,1.00996,-39.745,-1124.19,-1500.73,21.1502,80070.6,edge1709__AS80_p67_edge93_p13__asis
edge1709,edge93,3.3,Fe2.0,asis,1042.68,278.648,155.002,39.6657,1042.68,1042.68,1042.68,155.002,155.002,1.73906,2.40941,0.0974251,-0.020525,-0.00625451,-0.0150415,0.0239896,0.103867,18.1607,1.0072,-27.7743,-1256.38,-1784.53,20.8071,80070.6,edge1709__AS80_p67_edge93_r33_ring20__asis
edge1709_s1,edge93,2.8,Al1.0,asis,849.239,127.436,50.1842,7.22981,849.239,849.239,849.239,50.1842,50.1842,7.45286,42.4915,0.474734,-0.012477,-0.0495545,-0.0946346,-0.119374,0.0437753,31.6667,1.00711,-16.4116,64831,-112093,76.9276,80070.6,edge1709_s1__AS80_p88_edge93_r28_al__asis
edge1709_s1,edge93,3.3,Al1.0,asis,883.665,136.022,,,883.665,883.665,883.665,,,7.71816,43.1258,0.478409,-0.0301185,-0.0711243,-0.107027,-0.111116,0.061649,34.5838,1.00706,-16.3381,65327.6,-112254,77.0468,80070.6,edge1709_s1__AS80_p88_edge93_r33_al__asis
edge1709_s1,edge93,3.8,Al1.0,asis,881.517,123.438,67.9516,8.63308,881.517,881.517,881.517,67.9516,67.9516,7.76518,43.6471,0.481276,-0.082323,-0.0554533,-0.0898714,-0.11718,0.0403652,33.259,1.00841,-22.7558,64575.3,-112266,77.3894,80070.6,edge1709_s1__AS80_p88_edge93_r38_al__asis
edge1709_s1,edge93,3.3,Fe0.5,asis,870.964,127.678,50.2475,6.69162,870.964,870.964,870.964,50.2475,50.2475,7.69521,43.1854,0.478661,-0.0459602,-0.0539739,-0.0934315,-0.11606,0.0433619,33.1549,1.00785,-18.6214,64739.6,-112153,77.4305,80070.6,edge1709_s1__AS80_p67_edge93_r33_ring05__asis
edge1709_s1,edge93,2.8,Fe1.0,asis,874.511,124.727,51.024,7.05253,874.511,874.511,874.511,51.024,51.024,7.51871,42.6251,0.475469,-0.0174303,-0.0504244,-0.0946202,-0.115518,0.0491501,31.2622,1.007,-16.4853,65193.5,-111808,77.033,80070.6,edge1709_s1__AS80_p67_edge93_r28__asis
edge1709_s1,edge93,3.3,Fe1.0,asis,879.317,113.146,75.7642,9.69884,879.317,879.317,879.317,75.7642,75.7642,7.73424,43.4258,0.479995,-0.0705018,-0.0504542,-0.0912409,-0.116649,0.0333349,31.9438,1.00824,-23.1206,64686.5,-111956,77.4503,80070.6,edge1709_s1__AS80_p67_edge93_r33__asis
edge1709_s1,edge93,3.8,Fe1.0,asis,904.222,122.119,69.6617,8.56861,904.222,904.222,904.222,69.6617,69.6617,7.79526,43.7178,0.481675,-0.0874873,-0.0551697,-0.0928216,-0.116166,0.0462623,32.9975,1.00843,-22.8753,65146.6,-111778,77.4965,80070.6,edge1709_s1__AS80_p67_edge93_r38__asis
edge1709_s1,edge93,4.2,Fe1.0,asis,935.151,125.511,,,935.151,935.151,935.151,,,7.96746,44.0232,0.483453,-0.0951701,-0.0790769,-0.116426,-0.116034,0.058625,36.1892,1.00831,-22.3134,65571.7,-111839,76.6072,80070.6,edge1709_s1__AS80_p67_edge93_r42__asis
edge1709_s1,edge93,4.345,Fe1.0,asis,939.629,120.571,,,939.629,939.629,939.629,,,8.10026,44.668,0.487033,-0.136347,-0.0919004,-0.128726,-0.114376,0.0627507,39.0046,1.00826,-22.3033,65409.5,-111945,76.4446,80070.6,edge1709_s1__AS80_p67_edge93_p13__asis
edge1709_s1,edge93,3.3,Fe2.0,asis,905.892,124.362,77.3546,9.54491,905.892,905.892,905.892,77.3546,77.3546,7.72124,43.4663,0.480254,-0.0767454,-0.0558278,-0.0909888,-0.116911,0.0456318,31.9238,1.00837,-23.2263,64212.5,-112102,77.1251,80070.6,edge1709_s1__AS80_p67_edge93_r33_ring20__asis
edge93,edge93,2.8,Al1.0,asis,832.095,185.732,104.016,23.3434,832.095,832.095,832.095,104.016,104.016,1.1007,1.13673,0.0550131,0.00879438,-0.00318779,-0.0340212,-0.000321963,0.0290431,21.9551,1.00689,-26.1718,-93.027,-307.554,36.9182,23492.2,edge93__AS80_p88_edge93_r28_al__asis
edge93,edge93,3.3,Al1.0,asis,879.246,178.816,105.287,22.0301,879.246,879.246,879.246,105.287,105.287,1.16013,1.21773,0.0694142,-0.00326963,-0.000729642,-0.0230303,0.0180931,0.055707,21.413,1.00688,-26.4629,-175.819,-442.064,37.1055,23492.2,edge93__AS80_p88_edge93_r33_al__asis
edge93,edge93,3.8,Al1.0,asis,926.603,173.674,110.956,21.7738,926.603,926.603,926.603,110.956,110.956,1.2099,1.28863,0.0799209,-0.0145179,0.00183636,-0.017064,0.0268119,0.0782966,20.4888,1.00673,-26.6541,-148.45,-373.582,37.1232,23492.2,edge93__AS80_p88_edge93_r38_al__asis
edge93,edge93,3.3,Fe0.5,asis,886.213,177.357,108.514,22.3327,886.213,886.213,886.213,108.514,108.514,1.17379,1.23884,0.0727008,-0.00497302,0.000239443,-0.0219592,0.0185632,0.0608348,21.2282,1.00687,-26.5261,-185.657,-398.61,37.0875,23492.2,edge93__AS80_p67_edge93_r33_ring05__asis
edge93,edge93,2.8,Fe1.0,asis,863.851,182.212,108.519,23.091,863.851,863.851,863.851,108.519,108.519,1.13737,1.18009,0.0631365,0.00659657,-0.00216266,-0.0308639,0.00719656,0.0454246,20.8654,1.0068,-26.3027,-47.477,-258.003,36.9763,23492.2,edge93__AS80_p67_edge93_r28__asis
edge93,edge93,3.3,Fe1.0,asis,910.921,176.65,112.521,22.55,910.921,910.921,910.921,112.521,112.521,1.18041,1.25122,0.0745665,-0.00690822,0.00213425,-0.0256255,0.0180128,0.0678795,20.2221,1.00673,-26.4158,-112.195,-272.596,36.9918,23492.2,edge93__AS80_p67_edge93_r33__asis
edge93,edge93,3.8,Fe1.0,asis,953.598,171.247,121.833,22.9427,953.598,953.598,953.598,121.833,121.833,1.22648,1.32243,0.0844704,-0.0213971,0.00769188,-0.0158798,0.0280312,0.0884541,19.681,1.00779,-29.5245,-88.329,-294.781,37.1228,23492.2,edge93__AS80_p67_edge93_r38__asis
edge93,edge93,4.2,Fe1.0,asis,956.556,156.998,158.525,27.7519,956.556,956.556,956.556,158.525,158.525,1.31273,1.50215,0.105429,-0.0592098,0.0155999,-0.00795394,0.0231092,0.075005,19.3793,1.0094,-37.5258,-240.346,-351.163,37.2159,23492.2,edge93__AS80_p67_edge93_r42__asis
edge93,edge93,4.345,Fe1.0,asis,982.208,160.576,172.854,28.397,982.208,982.208,982.208,172.854,172.854,1.35323,1.61868,0.117024,-0.094584,0.00471518,-0.0109218,0.0330063,0.09419,20.853,1.00939,-38.3106,-158.726,-218.425,37.2623,23492.2,edge93__AS80_p67_edge93_p13__asis
edge93,edge93,3.3,Fe2.0,asis,945.313,174.045,121.081,22.9726,945.313,945.313,945.313,121.081,121.081,1.2051,1.29025,0.0801439,-0.0103273,-0.000629297,-0.0204546,0.021461,0.082335,19.4084,1.00687,-26.9426,-242.035,-328.258,37.0375,23492.2,edge93__AS80_p67_edge93_r33_ring20__asis
edge93_s1,edge93,2.8,Al1.0,asis,765.294,95.9968,,,765.294,765.294,765.294,,,4.24466,30.433,0.640061,-0.00499484,-0.05415,-0.113807,-0.118714,0.0155141,35.0977,1.00437,-14.4409,18532.6,-33583.8,80.7943,23492.2,edge93_s1__AS80_p88_edge93_r28_al__asis
edge93_s1,edge93,3.3,Al1.0,asis,803.777,93.9108,,,803.777,803.777,803.777,,,4.31945,30.5484,0.641315,-0.0160575,-0.0518315,-0.105179,-0.106245,0.0438227,34.85,1.00436,-14.4264,18564.1,-33589.3,81.509,23492.2,edge93_s1__AS80_p88_edge93_r33_al__asis
edge93_s1,edge93,3.8,Al1.0,asis,835.781,90.8229,,,835.781,835.781,835.781,,,4.37909,30.5855,0.641718,-0.0394675,-0.0496921,-0.105104,-0.103402,0.0663042,34.9435,1.00525,-18.6579,18686.3,-33450.2,81.4207,23492.2,edge93_s1__AS80_p88_edge93_r38_al__asis
edge93_s1,edge93,3.3,Fe0.5,asis,812.869,93.7229,,,812.869,812.869,812.869,,,4.32374,30.509,0.640888,-0.0169607,-0.0513756,-0.104167,-0.104911,0.05067,34.5975,1.00435,-14.4398,18618.2,-33479.4,81.502,23492.2,edge93_s1__AS80_p67_edge93_r33_ring05__asis
edge93_s1,edge93,2.8,Fe1.0,asis,795.174,95.6737,,,795.174,795.174,795.174,,,4.25334,30.4154,0.63987,-0.006684,-0.0535255,-0.111398,-0.11212,0.0306784,34.1688,1.00421,-14.3626,18661.6,-33475.4,80.9338,23492.2,edge93_s1__AS80_p67_edge93_r28__asis
edge93_s1,edge93,3.3,Fe1.0,asis,831.194,92.9782,,,831.194,831.194,831.194,,,4.35023,30.4961,0.640748,-0.0212308,-0.0495104,-0.109446,-0.107087,0.0548695,34.1689,1.00467,-15.5275,18727.3,-33348.6,81.3725,23492.2,edge93_s1__AS80_p67_edge93_r33__asis
edge93_s1,edge93,3.8,Fe1.0,asis,859.727,89.8774,,,859.727,859.727,859.727,,,4.39733,30.5704,0.641515,-0.0431261,-0.0487131,-0.107051,-0.101661,0.0752951,34.5635,1.00527,-18.735,18840.7,-33314.7,81.5286,23492.2,edge93_s1__AS80_p67_edge93_r38__asis
edge93_s1,edge93,4.2,Fe1.0,asis,879.856,87.662,,,879.856,879.856,879.856,,,4.43636,30.6393,0.642263,-0.057355,-0.0478266,-0.107178,-0.102661,0.0774517,34.8311,1.00524,-18.5122,18790.2,-33322.2,81.3953,23492.2,edge93_s1__AS80_p67_edge93_r42__asis
edge93_s1,edge93,4.345,Fe1.0,asis,889.901,83.0893,,,889.901,889.901,889.901,,,4.51029,30.7755,0.643738,-0.0939918,-0.0591125,-0.116909,-0.0992502,0.0857774,37.4895,1.00524,-18.7787,18813,-33282.3,81.268,23492.2,edge93_s1__AS80_p67_edge93_p13__asis
edge93_s1,edge93,3.3,Fe2.0,asis,862.281,91.5747,,,862.281,862.281,862.281,,,4.35973,30.5085,0.640844,-0.0324546,-0.0519503,-0.107505,-0.102443,0.0755983,33.7459,1.00513,-18.6405,18623,-33374.2,81.1423,23492.2,edge93_s1__AS80_p67_edge93_r33_ring20__asis
