spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact52k,contact,3.3,Al1.0,eq,843.6,379.104,157.508,89.9766,843.6,843.6,843.6,157.508,157.508,6.98649,84.5803,0.188021,-0.0186465,-0.00998404,-0.0164085,-0.0258069,-0.0604454,22.6661,1.00735,-7.14971,10333.6,7129.89,7.90175,52742.3,contact52k__AS80_p88_contact_r33_al__eq
contact52k,contact,2.8,Fe1.0,eq,827.849,406.248,155.788,96.5215,827.849,827.849,827.849,155.788,155.788,6.20158,75.1999,0.177151,-0.0109806,-0.00921901,-0.0202125,-0.0307637,-0.0540586,23.1269,1.00721,-8.03984,10234.8,6602.05,7.8351,52742.3,contact52k__AS80_p67_contact_r28__eq
contact52k,contact,3.3,Fe1.0,eq,843.255,384.027,163.918,94.9406,843.255,843.255,843.255,163.918,163.918,6.83328,84.2334,0.18763,-0.0207195,-0.00925691,-0.0114054,-0.0218561,-0.0546757,22.0156,1.00645,-7.05209,10817.9,7239.35,7.68475,52742.3,contact52k__AS80_p67_contact_r33__eq
contact52k,contact,3.8,Fe1.0,eq,861.888,387.021,162.559,91.4406,861.888,861.888,861.888,162.559,162.559,7.11152,89.7536,0.193756,-0.0199635,-0.00961419,-0.0117822,-0.0123895,-0.0424016,21.2118,1.00654,-16.4578,10863.3,7355.47,7.53992,52742.3,contact52k__AS80_p67_contact_r38__eq
contact52k,contact,4.2,Fe1.0,eq,876.894,385.133,165.162,90.365,876.894,876.894,876.894,165.162,165.162,7.29988,91.991,0.196184,-0.022785,-0.0102767,-0.0109821,-0.00998647,-0.0367363,20.498,1.00655,-16.4349,10920.2,7060.5,7.55308,52742.3,contact52k__AS80_p67_contact_r42__eq
contact52k,contact,4.345,Fe1.0,eq,905.251,393.928,168.079,88.0876,905.251,905.251,905.251,168.079,168.079,7.57582,92.6783,0.196942,-0.0284505,-0.0117388,-0.00707628,0.00271169,-0.00925284,20.5922,1.00643,-16.3966,11599,7365.59,7.58633,52742.3,contact52k__AS80_p67_contact_p13__eq
contact_cal0809,contact,3.3,Al1.0,eq,945.353,268.285,154.129,46.5625,945.353,945.353,945.353,154.129,154.129,1.75178,3.57833,0.134135,-0.00179873,0.0121732,0.00804091,0.0285068,0.0362821,9.78522,1.00638,-11.6899,222.872,-30.059,18.6201,3546.9,contact_cal0809__AS80_p88_contact_r33_al__eq
contact_cal0809,contact,2.8,Fe1.0,eq,922.352,304.511,153.315,51.9297,922.352,922.352,922.352,153.315,153.315,1.4481,2.0718,0.0864815,0.00289098,0.0109709,0.00161151,0.0185766,0.0431988,10.6358,1.00653,-11.2201,210.988,-55.582,18.5443,3546.9,contact_cal0809__AS80_p67_contact_r28__eq
contact_cal0809,contact,3.3,Fe1.0,eq,944.239,267.644,154.627,46.5808,944.239,944.239,944.239,154.627,154.627,1.75871,3.6196,0.135204,-0.00178548,0.0119155,0.00881555,0.0289224,0.0389608,9.47591,1.00637,-11.6435,247.759,-15.934,18.636,3546.9,contact_cal0809__AS80_p67_contact_r33__eq
contact_cal0809,contact,3.8,Fe1.0,eq,963.185,250.529,145.443,41.1679,963.185,963.185,963.185,145.443,145.443,1.95954,4.9078,0.165127,-0.00342404,0.00877098,0.0048007,0.038586,0.0520004,9.0299,1.00723,-22.087,261.832,-11.428,18.6922,3546.9,contact_cal0809__AS80_p67_contact_r38__eq
