spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,A_Ac-228,A_Pb-212,A_Tl-208,A_Pb-214,A_Bi-214,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,res1394,res1461,band1000,live,key
contact52k,contact,3.3,Al1.0,noeqasis,,,,,665.26,899.353,839.748,118.295,,11.205,53.2855,0.149637,0.0122013,-0.0452231,-0.0862451,-0.172308,-0.0129346,34.6442,1.02821,2.93364,401.908,6000.65,16.9135,52742.3,contact52k__AS80_p88_contact_r33_al__noeqasis
contact52k,contact,2.8,Fe1.0,noeqasis,,,204.113,8.8258,667.967,863.855,832.748,121.737,,10.2378,38.7768,0.127174,0.00621949,-0.0423429,-0.0880626,-0.171146,-0.00164934,34.5554,1.02924,0,172.18,5507.91,16.9772,52742.3,contact52k__AS80_p67_contact_r28__noeqasis
contact52k,contact,3.3,Fe1.0,noeqasis,,,,,662.93,898.084,836.718,118.211,,11.2331,53.8455,0.150437,0.012229,-0.0460035,-0.0858304,-0.172647,-0.0130181,34.5668,1.02838,2.90851,671.614,6205.14,16.9918,52742.3,contact52k__AS80_p67_contact_r33__noeqasis
contact52k,contact,3.8,Fe1.0,noeqasis,,,,,668.219,910.778,844.052,129.091,,11.6918,64.8527,0.165375,0.00321307,-0.0484931,-0.088776,-0.172254,-0.00848319,34.6544,1.02976,-2.91359,446.403,5946.4,17.1271,52742.3,contact52k__AS80_p67_contact_r38__noeqasis
contact52k,contact,4.2,Fe1.0,noeqasis,,,,,671.722,931.326,848.452,130.86,,11.8835,70.3654,0.172367,0.000179447,-0.0505681,-0.0909506,-0.173742,-0.0101085,34.5691,1.02979,-2.90327,437.919,5762.53,17.0601,52742.3,contact52k__AS80_p67_contact_r42__noeqasis
contact52k,contact,4.345,Fe1.0,noeqasis,,,,,666.107,1001.43,840.565,132.519,,12.0789,75.2888,0.178381,0.00167488,-0.0571207,-0.0993196,-0.173967,-0.00420808,35.8221,1.02972,-3.12736,740.572,6196.15,17.0379,52742.3,contact52k__AS80_p67_contact_p13__noeqasis
contact_cal0809,contact,3.3,Al1.0,noeqasis,,,965.612,29.5909,891.57,1027.25,898.52,147.262,126.363,1.51988,2.65428,0.107298,0.0188963,0.00244749,-0.0235232,0.00256015,0.0197963,11.5202,1.0081,-9.5626,-16.514,25.971,18.2787,3546.9,contact_cal0809__AS80_p88_contact_r33_al__noeqasis
contact_cal0809,contact,2.8,Fe1.0,noeqasis,,,710.619,20.2293,889.915,975.079,886.854,143.188,128.617,1.33382,1.79232,0.0742522,0.0119773,0.00152966,-0.0246441,0.00344558,0.0310787,12.3587,1.00818,-11.639,-33.086,13.297,18.275,3546.9,contact_cal0809__AS80_p67_contact_r28__noeqasis
contact_cal0809,contact,3.3,Fe1.0,noeqasis,,,939.556,28.6898,888.496,1024.44,895.311,148.137,127.005,1.52588,2.68822,0.108393,0.0198684,0.00178869,-0.0233502,0.00217422,0.021036,11.4092,1.00805,-9.43761,6.018,37.491,18.2794,3546.9,contact_cal0809__AS80_p67_contact_r33__noeqasis
contact_cal0809,contact,3.8,Fe1.0,noeqasis,,,,,901.413,1023.39,906.527,137.706,119.191,2.03695,4.86951,0.164136,0.033609,-0.0123557,-0.0289513,0.00913736,0.0282811,12.8625,1.00873,-24.7356,14.278,38.398,18.3413,3546.9,contact_cal0809__AS80_p67_contact_r38__noeqasis
