спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
contact52k           contact  3.30 Al1.0  eq       |    843.6  379.1    157.5   90.0 |   6.986  84.58  18.8% |   -1.9%   -1.0%   -1.6%   -2.6%   -6.0% |  22.7% |  1.0074   -7.15 |    10334     7130   7.9%
contact52k           contact  2.80 Fe1.0  eq       |    827.8  406.2    155.8   96.5 |   6.202  75.20  17.7% |   -1.1%   -0.9%   -2.0%   -3.1%   -5.4% |  23.1% |  1.0072   -8.04 |    10235     6602   7.8%
contact52k           contact  3.30 Fe1.0  eq       |    843.3  384.0    163.9   94.9 |   6.833  84.23  18.8% |   -2.1%   -0.9%   -1.1%   -2.2%   -5.5% |  22.0% |  1.0065   -7.05 |    10818     7239   7.7%
contact52k           contact  3.80 Fe1.0  eq       |    861.9  387.0    162.6   91.4 |   7.112  89.75  19.4% |   -2.0%   -1.0%   -1.2%   -1.2%   -4.2% |  21.2% |  1.0065  -16.46 |    10863     7355   7.5%
contact52k           contact  4.20 Fe1.0  eq       |    876.9  385.1    165.2   90.4 |   7.300  91.99  19.6% |   -2.3%   -1.0%   -1.1%   -1.0%   -3.7% |  20.5% |  1.0066  -16.43 |    10920     7060   7.6%
contact52k           contact  4.34 Fe1.0  eq       |    905.3  393.9    168.1   88.1 |   7.576  92.68  19.7% |   -2.8%   -1.2%   -0.7%   +0.3%   -0.9% |  20.6% |  1.0064  -16.40 |    11599     7366   7.6%
contact_cal0809      contact  3.30 Al1.0  eq       |    945.4  268.3    154.1   46.6 |   1.752   3.58  13.4% |   -0.2%   +1.2%   +0.8%   +2.9%   +3.6% |   9.8% |  1.0064  -11.69 |      223      -30  18.6%
contact_cal0809      contact  2.80 Fe1.0  eq       |    922.4  304.5    153.3   51.9 |   1.448   2.07   8.6% |   +0.3%   +1.1%   +0.2%   +1.9%   +4.3% |  10.6% |  1.0065  -11.22 |      211      -56  18.5%
contact_cal0809      contact  3.30 Fe1.0  eq       |    944.2  267.6    154.6   46.6 |   1.759   3.62  13.5% |   -0.2%   +1.2%   +0.9%   +2.9%   +3.9% |   9.5% |  1.0064  -11.64 |      248      -16  18.6%
contact_cal0809      contact  3.80 Fe1.0  eq       |    963.2  250.5    145.4   41.2 |   1.960   4.91  16.5% |   -0.3%   +0.9%   +0.5%   +3.9%   +5.2% |   9.0% |  1.0072  -22.09 |      262      -11  18.7%
contact_cal0809      contact  4.20 Fe1.0  eq       |    976.3  239.2    148.1   39.8 |   2.111   5.50  17.7% |   -0.5%   +0.8%   +0.6%   +4.0%   +5.5% |   8.5% |  1.0072  -22.24 |      263      -21  18.7%
contact_cal0809      contact  4.34 Fe1.0  eq       |   1009.5  229.9    147.8   38.6 |   2.151   5.74  18.2% |   -2.6%   +1.2%   +1.1%   +5.7%   +8.6% |   8.4% |  1.0071  -22.45 |      308       -6  18.9%
contact_cal0809_s1   contact  3.30 Al1.0  eq       |    931.0  255.6    172.9   50.1 |   1.891  10.23  24.9% |   -0.8%   +1.4%   +1.2%   +1.6%   +2.0% |   9.4% |  1.0063   -6.53 |      488     -196  19.2%
contact_cal0809_s1   contact  2.80 Fe1.0  eq       |    906.7  282.2    168.2   53.6 |   1.625   8.77  22.8% |   -0.4%   +1.2%   +0.3%   +0.5%   +2.6% |  10.6% |  1.0065   -6.25 |      484     -222  19.1%
contact_cal0809_s1   contact  3.30 Fe1.0  eq       |    929.7  255.0    173.8   50.2 |   1.897  10.27  24.9% |   -0.8%   +1.4%   +1.3%   +1.6%   +2.3% |   9.1% |  1.0063   -6.47 |      512     -182  19.2%
