спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
edge1709             edge93   4.34 Fe1.0  asis     |   1047.7  232.7    221.8   49.3 |   1.955   3.83  13.8% |  -13.1%   -1.1%   -1.1%   +2.1%   +8.9% |  20.6% |  1.0100  -39.74 |    -1124    -1501  21.2%
edge1709             edge93   3.30 Fe2.0  asis     |   1042.7  278.6    155.0   39.7 |   1.739   2.41   9.7% |   -2.1%   -0.6%   -1.5%   +2.4%  +10.4% |  18.2% |  1.0072  -27.77 |    -1256    -1785  20.8%
edge1709_s1          edge93   2.80 Al1.0  asis     |    849.2  127.4     50.2    7.2 |   7.453  42.49  47.5% |   -1.2%   -5.0%   -9.5%  -11.9%   +4.4% |  31.7% |  1.0071  -16.41 |    64831  -112093  76.9%
edge1709_s1          edge93   3.30 Al1.0  asis     |    883.7  136.0      nan    nan |   7.718  43.13  47.8% |   -3.0%   -7.1%  -10.7%  -11.1%   +6.2% |  34.6% |  1.0071  -16.34 |    65328  -112254  77.0%
edge1709_s1          edge93   3.80 Al1.0  asis     |    881.5  123.4     68.0    8.6 |   7.765  43.65  48.1% |   -8.2%   -5.5%   -9.0%  -11.7%   +4.0% |  33.3% |  1.0084  -22.76 |    64575  -112266  77.4%
edge1709_s1          edge93   3.30 Fe0.5  asis     |    871.0  127.7     50.2    6.7 |   7.695  43.19  47.9% |   -4.6%   -5.4%   -9.3%  -11.6%   +4.3% |  33.2% |  1.0078  -18.62 |    64740  -112153  77.4%
edge1709_s1          edge93   2.80 Fe1.0  asis     |    874.5  124.7     51.0    7.1 |   7.519  42.63  47.5% |   -1.7%   -5.0%   -9.5%  -11.6%   +4.9% |  31.3% |  1.0070  -16.49 |    65194  -111808  77.0%
edge1709_s1          edge93   3.30 Fe1.0  asis     |    879.3  113.1     75.8    9.7 |   7.734  43.43  48.0% |   -7.1%   -5.0%   -9.1%  -11.7%   +3.3% |  31.9% |  1.0082  -23.12 |    64686  -111956  77.5%
edge1709_s1          edge93   3.80 Fe1.0  asis     |    904.2  122.1     69.7    8.6 |   7.795  43.72  48.2% |   -8.7%   -5.5%   -9.3%  -11.6%   +4.6% |  33.0% |  1.0084  -22.88 |    65147  -111778  77.5%
edge1709_s1          edge93   4.20 Fe1.0  asis     |    935.2  125.5      nan    nan |   7.967  44.02  48.3% |   -9.5%   -7.9%  -11.6%  -11.6%   +5.9% |  36.2% |  1.0083  -22.31 |    65572  -111839  76.6%
edge1709_s1          edge93   4.34 Fe1.0  asis     |    939.6  120.6      nan    nan |   8.100  44.67  48.7% |  -13.6%   -9.2%  -12.9%  -11.4%   +6.3% |  39.0% |  1.0083  -22.30 |    65409  -111945  76.4%
edge1709_s1          edge93   3.30 Fe2.0  asis     |    905.9  124.4     77.4    9.5 |   7.721  43.47  48.0% |   -7.7%   -5.6%   -9.1%  -11.7%   +4.6% |  31.9% |  1.0084  -23.23 |    64212  -112102  77.1%
edge93               edge93   2.80 Al1.0  asis     |    832.1  185.7    104.0   23.3 |   1.101   1.14   5.5% |   +0.9%   -0.3%   -3.4%   -0.0%   +2.9% |  22.0% |  1.0069  -26.17 |      -93     -308  36.9%
edge93               edge93   3.30 Al1.0  asis     |    879.2  178.8    105.3   22.0 |   1.160   1.22   6.9% |   -0.3%   -0.1%   -2.3%   +1.8%   +5.6% |  21.4% |  1.0069  -26.46 |     -176     -442  37.1%
edge93               edge93   3.80 Al1.0  asis     |    926.6  173.7    111.0   21.8 |   1.210   1.29   8.0% |   -1.5%   +0.2%   -1.7%   +2.7%   +7.8% |  20.5% |  1.0067  -26.65 |     -148     -374  37.1%
edge93               edge93   3.30 Fe0.5  asis     |    886.2  177.4    108.5   22.3 |   1.174   1.24   7.3% |   -0.5%   +0.0%   -2.2%   +1.9%   +6.1% |  21.2% |  1.0069  -26.53 |     -186     -399  37.1%
edge93               edge93   2.80 Fe1.0  asis     |    863.9  182.2    108.5   23.1 |   1.137   1.18   6.3% |   +0.7%   -0.2%   -3.1%   +0.7%   +4.5% |  20.9% |  1.0068  -26.30 |      -47     -258  37.0%
edge93               edge93   3.30 Fe1.0  asis     |    910.9  176.6    112.5   22.6 |   1.180   1.25   7.5% |   -0.7%   +0.2%   -2.6%   +1.8%   +6.8% |  20.2% |  1.0067  -26.42 |     -112     -273  37.0%
edge93               edge93   3.80 Fe1.0  asis     |    953.6  171.2    121.8   22.9 |   1.226   1.32   8.4% |   -2.1%   +0.8%   -1.6%   +2.8%   +8.8% |  19.7% |  1.0078  -29.52 |      -88     -295  37.1%
edge93               edge93   4.20 Fe1.0  asis     |    956.6  157.0    158.5   27.8 |   1.313   1.50  10.5% |   -5.9%   +1.6%   -0.8%   +2.3%   +7.5% |  19.4% |  1.0094  -37.53 |     -240     -351  37.2%
edge93               edge93   4.34 Fe1.0  asis     |    982.2  160.6    172.9   28.4 |   1.353   1.62  11.7% |   -9.5%   +0.5%   -1.1%   +3.3%   +9.4% |  20.9% |  1.0094  -38.31 |     -159     -218  37.3%
edge93               edge93   3.30 Fe2.0  asis     |    945.3  174.0    121.1   23.0 |   1.205   1.29   8.0% |   -1.0%   -0.1%   -2.0%   +2.1%   +8.2% |  19.4% |  1.0069  -26.94 |     -242     -328  37.0%
edge93_s1            edge93   2.80 Al1.0  asis     |    765.3   96.0      nan    nan |   4.245  30.43  64.0% |   -0.5%   -5.4%  -11.4%  -11.9%   +1.6% |  35.1% |  1.0044  -14.44 |    18533   -33584  80.8%
edge93_s1            edge93   3.30 Al1.0  asis     |    803.8   93.9      nan    nan |   4.319  30.55  64.1% |   -1.6%   -5.2%  -10.5%  -10.6%   +4.4% |  34.8% |  1.0044  -14.43 |    18564   -33589  81.5%
edge93_s1            edge93   3.80 Al1.0  asis     |    835.8   90.8      nan    nan |   4.379  30.59  64.2% |   -3.9%   -5.0%  -10.5%  -10.3%   +6.6% |  34.9% |  1.0053  -18.66 |    18686   -33450  81.4%
edge93_s1            edge93   3.30 Fe0.5  asis     |    812.9   93.7      nan    nan |   4.324  30.51  64.1% |   -1.7%   -5.1%  -10.4%  -10.5%   +5.1% |  34.6% |  1.0043  -14.44 |    18618   -33479  81.5%
edge93_s1            edge93   2.80 Fe1.0  asis     |    795.2   95.7      nan    nan |   4.253  30.42  64.0% |   -0.7%   -5.4%  -11.1%  -11.2%   +3.1% |  34.2% |  1.0042  -14.36 |    18662   -33475  80.9%
edge93_s1            edge93   3.30 Fe1.0  asis     |    831.2   93.0      nan    nan |   4.350  30.50  64.1% |   -2.1%   -5.0%  -10.9%  -10.7%   +5.5% |  34.2% |  1.0047  -15.53 |    18727   -33349  81.4%
edge93_s1            edge93   3.80 Fe1.0  asis     |    859.7   89.9      nan    nan |   4.397  30.57  64.2% |   -4.3%   -4.9%  -10.7%  -10.2%   +7.5% |  34.6% |  1.0053  -18.74 |    18841   -33315  81.5%
edge93_s1            edge93   4.20 Fe1.0  asis     |    879.9   87.7      nan    nan |   4.436  30.64  64.2% |   -5.7%   -4.8%  -10.7%  -10.3%   +7.7% |  34.8% |  1.0052  -18.51 |    18790   -33322  81.4%
edge93_s1            edge93   4.34 Fe1.0  asis     |    889.9   83.1      nan    nan |   4.510  30.78  64.4% |   -9.4%   -5.9%  -11.7%   -9.9%   +8.6% |  37.5% |  1.0052  -18.78 |    18813   -33282  81.3%
edge93_s1            edge93   3.30 Fe2.0  asis     |    862.3   91.6      nan    nan |   4.360  30.51  64.1% |   -3.2%   -5.2%  -10.8%  -10.2%   +7.6% |  33.7% |  1.0051  -18.64 |    18623   -33374  81.1%
