вещество,Z,доля,плотность
ОИСН-16,1,0.022,1.6
ОИСН-16,6,0.206,1.6
ОИСН-16,7,0.009,1.6
ОИСН-16,8,0.049,1.6
ОИСН-16,26,0.714,1.6
