файл,геометрия,энергия_кэВ,эффективность,погрешность_проц,нуклид
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,338.32,0.07812554,3.747,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,344.279,0.05964747,3.661,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,351.932,0.06250617,3.502,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,583.187,0.04334782,3.272,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,609.32,0.03670985,3.179,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,661.657,0.03544419,2.586,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,778.904,0.0266105,4.849,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,911.204,0.03190514,3.805,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,964.079,0.02174192,5.203,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,1120.294,0.02398277,3.887,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,1408.006,0.01538598,4.61,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,1460.822,0.01984676,4.247,K-40
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,1764.491,0.01331256,4.146,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,2614.511,0.008785778,3.332,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,67.868,0.05899764,10.6201,Ti-44
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,78.36,0.07238008,9.0542,Ti-44
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1157.02,0.01459107,4.0614,Ti-44
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,121.782,0.1080348,5.3785,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,344.279,0.05964747,3.6611,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,778.904,0.0266105,4.8486,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,964.079,0.02174192,5.203,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1085.869,0.01793317,7.1133,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1112.069,0.01874094,6.5215,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1408.006,0.01538598,4.6099,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,238.632,0.09062932,3.5445,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,338.32,0.07812554,3.7471,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,583.187,0.04334782,3.2715,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,911.204,0.03190514,3.8046,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,2614.511,0.008785778,3.3316,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,661.657,0.03544419,2.5856,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1460.822,0.01984676,4.2471,K-40
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,241.995,0.1231789,4.0677,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,295.223,0.06775857,4.038,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,351.932,0.06250617,3.5017,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,609.32,0.03670985,3.1791,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1120.294,0.02398277,3.8867,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,Петри-60,1764.491,0.01331256,4.1465,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,59.541,0.002772444,6.523,Am-241
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,80.997,0.003134299,4.493,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,121.782,0.003067634,2.707,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,238.632,0.002789831,3.265,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,302.851,0.00244027,3.533,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,344.279,0.002208708,2.288,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,356.013,0.002159463,1.499,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,583.187,0.001412106,1.767,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,661.657,0.001221501,1.56,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,834.848,0.0009983515,1.793,Mn-54
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,898.042,0.0009063597,1.629,Y-88
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,964.079,0.0008293017,2.448,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1085.869,0.0007767922,1.698,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1112.069,0.0007767083,1.688,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1173.228,0.0006946485,1.191,Co-60
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1274.537,0.000672327,2.548,Na-22
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1332.492,0.0006198122,1.231,Co-60
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1408.006,0.0006238686,2.088,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,1836.063,0.0004509345,1.678,Y-88
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,Точечная-25см,2614.511,0.0003054126,1.733,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,59.541,0.002772444,6.523,Am-241
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,80.997,0.003134299,4.493,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,302.851,0.00244027,3.533,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,356.013,0.002159463,1.499,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,121.782,0.003067634,2.707,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,344.279,0.002208708,2.288,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,964.079,0.0008293017,2.448,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1085.869,0.0007767922,1.698,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1112.069,0.0007767083,1.688,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1408.006,0.0006238686,2.088,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,834.848,0.0009983515,1.793,Mn-54
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1173.228,0.0006946485,1.191,Co-60
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1332.492,0.0006198122,1.231,Co-60
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,898.042,0.0009063597,1.6288,Y-88
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1836.063,0.0004509345,1.6783,Y-88
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,1274.537,0.000672327,2.5482,Na-22
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,661.657,0.001221501,1.5605,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,238.632,0.002789831,3.2652,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,583.187,0.001412106,1.7667,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,Точечная-25см,2614.511,0.0003054126,1.7327,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,122.061,0.04298577,4.723,Co-57
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,834.848,0.01129982,1.985,Mn-54
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,121.782,0.04137813,2.9845,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,244.697,0.03331484,2.3578,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,344.279,0.02504321,2.4753,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,964.057,0.01023209,2.5585,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,1408.013,0.005909987,2.0815,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,661.657,0.013742,1.5839,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,1173.228,0.006513874,1.9575,Co-60
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,1332.492,0.00590343,1.9296,Co-60
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,898.042,0.009998491,1.5534,Y-88
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,1836.063,0.004787202,1.5698,Y-88
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,1115.539,0.008189508,2.0108,Zn-65
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,238.632,0.02839861,8.2757,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,583.187,0.01471679,1.5888,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,727.33,0.01212129,2.1734,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,860.557,0.01021314,1.9028,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,2614.511,0.003032573,1.5337,Th-228
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,1274.537,0.006655385,2.5178,Na-22
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,80.998,0.04571469,2.323,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,302.851,0.02577367,2.4845,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,356.013,0.02340067,1.5792,Ba-133
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,59.541,0.04462078,4.6313,Am-241
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,Точечная-5см,88.034,0.04273808,3.8751,Cd-109
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,238.632,0.04344207,3.369,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,241.995,0.05053376,3.566,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,295.223,0.03246181,3.973,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,338.32,0.03325384,3.776,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,351.932,0.03228445,3.436,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,463.004,0.02750433,5.286,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,583.187,0.02171222,3.25,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,609.32,0.01982829,3.087,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,661.657,0.018713,2.555,Cs-137
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,768.36,0.01633088,4.331,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,911.204,0.01346059,5.319,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,1120.294,0.01374746,3.341,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,1460.822,0.009742536,3.541,K-40
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,1764.491,0.008106329,3.506,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,Маринелли,2614.511,0.004713864,3.272,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,238.632,0.04344207,3.3692,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,338.32,0.03325384,3.7757,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,463.004,0.02750433,5.2862,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,583.187,0.02171222,3.2502,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,911.204,0.01346059,5.3194,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,2614.511,0.004713864,3.2719,Th-232
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,1460.822,0.009742536,3.5411,K-40
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,661.657,0.018713,2.5549,Cs-137
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,241.995,0.05053376,3.5656,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,295.223,0.03246181,3.9733,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,351.932,0.03228445,3.4362,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,609.32,0.01982829,3.0868,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,768.36,0.01633088,4.3307,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,1120.294,0.01374746,3.341,Ra-226
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,Маринелли,1764.491,0.008106329,3.5062,Ra-226
