файл,геометрия,энергия_кэВ,эффективность,погрешность_проц,нуклид
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,238.632,0.06482699,3.613,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,241.995,0.08536038,4.556,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,295.223,0.04754319,3.849,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,338.32,0.06510581,4.25,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,351.932,0.04406149,3.43,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,583.187,0.02981183,3.461,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,609.32,0.02575861,3.231,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,661.657,0.02443609,2.57,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,911.204,0.02230087,4.384,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,1120.294,0.01668434,3.744,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,1460.822,0.01530646,3.72,K-40
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,1764.491,0.009715169,3.874,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,Дента-120мл,2614.511,0.00694024,3.713,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,661.657,0.02443609,2.5698,Cs-137
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,1460.822,0.01530646,3.7198,K-40
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,241.995,0.08536038,4.5557,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,295.223,0.04754319,3.849,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,351.932,0.04406149,3.43,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,609.32,0.02575861,3.2314,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,1120.294,0.01668434,3.7442,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,1764.491,0.009715169,3.8735,Ra-226
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,238.632,0.06482699,3.6131,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,338.32,0.06510581,4.2501,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,583.187,0.02981183,3.4606,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,911.204,0.02230087,4.3839,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,Дента-120мл,2614.511,0.00694024,3.7126,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,67.868,0.05899764,10.62,Ti-44
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,78.36,0.07238008,9.054,Ti-44
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,121.782,0.1080348,5.379,Eu-152
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,238.632,0.09062932,3.545,Th-232
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,Петри-60,295.223,0.06775857,4.038,Ra-226
