файл,эталон,сосуд,объём_мл,масса_г,плотность,вещество,толщина_мм,дата
Эталон Маринелли (Аспект 2017).src,Маринелли-ППД ОМАНС-960,Маринелли-ППД,1000.0,960.0,0.96,ОИСН-10,23.2,01.08.1999
Эталон Маринелли (Аспект 2017).src,Маринелли-ППД ОМАНС-1750,Маринелли-ППД,1000.0,1750.0,1.75,ОИСН-16,23.2,24.08.1999
Эталон Маринелли (Аспект 2017).src,Маринелли РИСН-379,Маринелли,1000.0,1050.0,1.05,РИСН-379,23.2,31.05.2002
Эталон Маринелли (Аспект 2017).src,Маринелли ОИСН-42280.73585,Маринелли,1000.0,1000.0,1.0,ОИСН-10,23.2,03.09.1997
Эталон Маринелли (Аспект 2017).src,Маринелли05 ОИСН-42280.73585,Маринелли05,500.0,500.0,1.0,ОИСН-10,19.2,03.09.1997
Эталон Маринелли (Аспект 2017).src,Маринелли ИМН-Г-3-Н 420-17031,Маринелли,1000.0,640.0,0.64,ОИСН-06,31.2,05.06.2017
Эталон Петри-60 (Аспект 2017).src,Петри-60 ОИСН №420/7_р16,Петри-60мл,60.0,96.0,1.6,ОИСН-16,10.1,17.09.2007
Эталон Петри-60 (Аспект 2017).src,Петри-60 ОИСН №420-7_р06,Петри-60мл,60.0,36.0,0.6,ОИСН-06,10.1,24.05.2002
Эталон Петри-60 (Аспект 2017).src,Петри-60 РИСН №379,Петри-60мл,60.0,60.0,1.0,РИСН-379,10.1,31.05.2002
Эталон Петри-60 (Аспект 2017).src,Петри-60 ОИСН-42280.73585,Петри-60мл,60.0,60.0,1.0,ОИСН-10,10.1,03.09.1997
Эталон Петри-60 (Аспект 2017).src,Петри-60 ИМН-Г-3-Н 420_17031,Петри-60мл,60.0,38.4,0.64,ОИСН-06,31.0,05.06.2017
