spectrum,E_keV,eps
G1S16_Ba133_P25,59.5410,0.002772444
G1S16_Ba133_P25,80.9970,0.003134299
G1S16_Ba133_P25,121.7820,0.003067634
G1S16_Ba133_P25,238.6320,0.002789831
G1S16_Ba133_P25,302.8510,0.00244027
G1S16_Ba133_P25,344.2790,0.002208708
G1S16_Ba133_P25,356.0130,0.002159463
G1S16_Ba133_P25,583.1870,0.001412106
G1S16_Ba133_P25,661.6570,0.001221501
G1S16_Ba133_P25,834.8480,0.0009983515
G1S16_Ba133_P25,898.0420,0.0009063597
G1S16_Ba133_P25,964.0790,0.0008293017
G1S16_Ba133_P25,1085.8690,0.0007767922
G1S16_Ba133_P25,1112.0690,0.0007767083
G1S16_Ba133_P25,1173.2280,0.0006946485
G1S16_Ba133_P25,1274.5370,0.000672327
G1S16_Ba133_P25,1332.4920,0.0006198122
G1S16_Ba133_P25,1408.0060,0.0006238686
G1S16_Ba133_P25,1836.0630,0.0004509345
G1S16_Ba133_P25,2614.5110,0.0003054126
G1S16_Co60_P25,59.5410,0.002772444
G1S16_Co60_P25,80.9970,0.003134299
G1S16_Co60_P25,121.7820,0.003067634
G1S16_Co60_P25,238.6320,0.002789831
G1S16_Co60_P25,302.8510,0.00244027
G1S16_Co60_P25,344.2790,0.002208708
G1S16_Co60_P25,356.0130,0.002159463
G1S16_Co60_P25,583.1870,0.001412106
G1S16_Co60_P25,661.6570,0.001221501
G1S16_Co60_P25,834.8480,0.0009983515
G1S16_Co60_P25,898.0420,0.0009063597
G1S16_Co60_P25,964.0790,0.0008293017
G1S16_Co60_P25,1085.8690,0.0007767922
G1S16_Co60_P25,1112.0690,0.0007767083
G1S16_Co60_P25,1173.2280,0.0006946485
G1S16_Co60_P25,1274.5370,0.000672327
G1S16_Co60_P25,1332.4920,0.0006198122
G1S16_Co60_P25,1408.0060,0.0006238686
G1S16_Co60_P25,1836.0630,0.0004509345
G1S16_Co60_P25,2614.5110,0.0003054126
G1S16_Eu152_P25,59.5410,0.002772444
G1S16_Eu152_P25,80.9970,0.003134299
G1S16_Eu152_P25,121.7820,0.003067634
G1S16_Eu152_P25,238.6320,0.002789831
G1S16_Eu152_P25,302.8510,0.00244027
G1S16_Eu152_P25,344.2790,0.002208708
G1S16_Eu152_P25,356.0130,0.002159463
G1S16_Eu152_P25,583.1870,0.001412106
G1S16_Eu152_P25,661.6570,0.001221501
G1S16_Eu152_P25,834.8480,0.0009983515
G1S16_Eu152_P25,898.0420,0.0009063597
G1S16_Eu152_P25,964.0790,0.0008293017
G1S16_Eu152_P25,1085.8690,0.0007767922
G1S16_Eu152_P25,1112.0690,0.0007767083
G1S16_Eu152_P25,1173.2280,0.0006946485
G1S16_Eu152_P25,1274.5370,0.000672327
G1S16_Eu152_P25,1332.4920,0.0006198122
G1S16_Eu152_P25,1408.0060,0.0006238686
G1S16_Eu152_P25,1836.0630,0.0004509345
G1S16_Eu152_P25,2614.5110,0.0003054126
G1S16_Eu152_P5,59.5410,0.04462078
G1S16_Eu152_P5,80.9980,0.04571469
G1S16_Eu152_P5,88.0340,0.04273808
G1S16_Eu152_P5,121.7820,0.04137813
G1S16_Eu152_P5,122.0610,0.04298577
G1S16_Eu152_P5,238.6320,0.02839861
G1S16_Eu152_P5,244.6970,0.03331484
G1S16_Eu152_P5,302.8510,0.02577367
G1S16_Eu152_P5,344.2790,0.02504321
G1S16_Eu152_P5,356.0130,0.02340067
G1S16_Eu152_P5,583.1870,0.01471679
G1S16_Eu152_P5,661.6570,0.013742
G1S16_Eu152_P5,727.3300,0.01212129
G1S16_Eu152_P5,834.8480,0.01129982
G1S16_Eu152_P5,860.5570,0.01021314
G1S16_Eu152_P5,898.0420,0.009998491
G1S16_Eu152_P5,964.0570,0.01023209
G1S16_Eu152_P5,1115.5390,0.008189508
G1S16_Eu152_P5,1173.2280,0.006513874
G1S16_Eu152_P5,1274.5370,0.006655385
G1S16_Eu152_P5,1332.4920,0.00590343
G1S16_Eu152_P5,1408.0130,0.005909987
G1S16_Eu152_P5,1836.0630,0.004787202
G1S16_Eu152_P5,2614.5110,0.003032573
G1S24_K40_Denta120,238.6320,0.06482699
G1S24_K40_Denta120,241.9950,0.08536038
G1S24_K40_Denta120,295.2230,0.04754319
G1S24_K40_Denta120,338.3200,0.06510581
G1S24_K40_Denta120,351.9320,0.04406149
G1S24_K40_Denta120,583.1870,0.02981183
G1S24_K40_Denta120,609.3200,0.02575861
G1S24_K40_Denta120,661.6570,0.02443609
G1S24_K40_Denta120,911.2040,0.02230087
G1S24_K40_Denta120,1120.2940,0.01668434
