спектр,сосуд,источник,вещество,плотность_паспорт,масса_г,объём_мл,плотность,расстояние_см,состав_Z_доля,детектор,конфиг,снято,файл
G1S24_Ba133_P5,Точечная-5см,Ba-133 #6649,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Ba-133 #6649_Точечная-5см_5cm.spe
G1S24_Bi207_P5,Точечная-5см,Bi-207 #176 04.2017,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Bi-207 #176 04.2017_Точечная-5см_5cm.spe
G1S24_Cd109_P5,Точечная-5см,Cd-109 #175 04.2017,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Cd-109 #175 04.2017_Точечная-5см_5cm.spe
G1S24_Co60_P5,Точечная-5см,Co-60 №043 02.2019,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Co-60 №043 02.2019_Точечная-5см_5cm.spe
G1S24_Cs137_Denta120,Дента-120мл,Cs137_420-7-14,ОИСН-06,0.6,68.0,120.0,0.5667,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,31-10-24 14:16:05.80,Cs137_420-7-14_Дента-120мл_0cm.spe
G1S24_Cs137_Denta120_2,Дента-120мл,Cs137_420-7-15,ОИСН-16,1.6,199.0,120.0,1.6583,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,31-10-24 14:16:05.80,Cs137_420-7-15_Дента-120мл_0cm.spe
G1S24_Cs137_Mar,Маринелли,Cs137_420-7-14,ОИСН-06,0.6,570.0,1000.0,0.57,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,30-10-24 14:16:05.80,Cs137_420-7-14_Маринелли_0cm.spe
G1S24_Cs137_Mar_2,Маринелли,Cs137_420-7-15,ОИСН-16,1.6,1660.0,1000.0,1.66,0.0,1:0.022 6:0.206 7:0.009 8:0.049 26:0.714,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,25-10-24 14:16:05.80,Cs137_420-7-15_Маринелли_0cm.spe
G1S24_Cs137_P25,Точечная-25см,Cs-137 №163.2017,,,0.0,0.0,,25.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,22-10-24 14:16:05.80,Cs-137 №163.2017_Точечная-25см_25cm.spe
G1S24_Cs137_P5,Точечная-5см,Cs-137 №163.2017_1,,,0.0,0.0,,5.0,,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,21-10-24 14:16:05.80,Cs-137 №163.2017.spe
G1S24_Cs137_Petri,Петри-60,Cs137_420-7-14,ОИСН-06,0.6,34.0,60.0,0.5667,0.0,1:0.064 6:0.612 7:0.021 8:0.151 26:0.151,УДС-ГЦ-63х63-USB №0086-16,Гамма-1С_№0221-16,30-10-24 14:16:05.80,Cs137_420-7-14_Петри-60мл_0cm.spe
