файл,детектор,геометрия,объём_мл,вещество,плотность,толщина_мм,расстояние_см,обвязка,дата
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16,Дента-120мл,120,ОИСН-16,1.6,33,0,"{""Layers"":[{""Material_RU"":""ОИСН-16"",""Material_EN"":""OISN-16"",""Ro"":1.6,""Width"":3.3,""dWidth"":0,""Enable"":true,""Distributed"":true}],""Enable"":true}",05-11-2024
УДС-ГЦ-63х63-USB №0086-16 - Дента.efr,УДС-ГЦ-63х63-USB №0086-16,Дента-120мл,120,ОИСН-16,1.65833333333333,33,0,,05-11-2024
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16,Петри-60,60,ОИСН-16,1.6,10,0,"{""Layers"":[{""Material_RU"":""ОИСН-16"",""Material_EN"":""OISN-16"",""Ro"":1.6,""Width"":1,""dWidth"":0,""Enable"":true,""Distributed"":true}],""Enable"":true}",05-11-2024
УДС-ГЦ-63х63-USB №0086-16 - Петри.efr,УДС-ГЦ-63х63-USB №0086-16,Петри-60,60,ОИСН-16,1.6,10,0,,05-11-2024
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16,Точечная-25см,0,,not essential,0,25,"{""Layers"":[{""Material_RU"":""РИСН-379"",""Material_EN"":""RISN-379"",""Ro"":1,""Width"":2.3,""dWidth"":0,""Enable"":true,""Distributed"":true}],""Enable"":true}",06-11-2024
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efr,УДС-ГЦ-63х63-USB №0086-16,Точечная-25см,0,,not essential,0,25,,06-11-2024
УДС-ГЦ-63х63-USB №0086-16 - Точечная-5см.efr,УДС-ГЦ-63х63-USB №0086-16,Точечная-5см,0,,0,0,5,,06-11-2024
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16,Маринелли,1000,ОИСН-16,1.6,31,0,"{""Layers"":[{""Material_RU"":""ОИСН-16"",""Material_EN"":""OISN-16"",""Ro"":1.6,""Width"":3.1,""dWidth"":0,""Enable"":true,""Distributed"":true}],""Enable"":false}",05-11-2024
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efr,УДС-ГЦ-63х63-USB №0086-16,Маринелли,1000,ОИСН-16,1.6,31,0,,05-11-2024
