geometry,spectrum,preset,vessel
RC103_point0,RC103_Cs137_0cm,RadiaCode-103,"точечный источник, вплотную к торцу"
RC103_lu_front,RC103_Lu176,RadiaCode-103,"банка 50 мл Ø40×h15, ВПРИТЫК к торцу"
