energy_kev,eff_preset,eff_scene,delta_pct,eff_control,scene_over_control
5,6.9783516023606356E-11,6.9783874856290731E-11,0.00051420837587713535,7.1128211944611927E-11,0.98109980482332326
10,1.4334434890615827E-05,1.4334444783194923E-05,6.9012689872118954E-05,1.8138955133895943E-05,0.79025746948391762
20,0.042363959366208584,0.042363963153220129,8.9392294801702368E-06,0.065829622000781074,0.64353951709942181
30,0.099096735870277911,0.099096738544735927,2.6988356303297692E-06,0.19365158686020215,0.51172696362294334
40,0.097092478329507126,0.097092479390587377,1.0928552548015005E-06,0.19802317058809005,0.49030868005113604
50,0.11055939032612225,0.11055939089659057,5.159836027254431E-07,0.22899690517397964,0.48279862477876478
60,0.11603898234064923,0.11603898264016074,2.5811283998874537E-07,0.2468114271156539,0.4701523912253292
70,0.11745415291534492,0.1174541530901974,1.488687078126603E-07,0.25445265302190273,0.46159531722425073
80,0.11839448834789064,0.118394488426763,6.6618275961586119E-08,0.25789420300599053,0.45908161969818634
90,0.11471596451205458,0.11471596454955874,3.2693054293569957E-08,0.25671529499773105,0.44686065374707279
100,0.11125205637873389,0.11125205638334978,4.1490388160047583E-09,0.25136281851987324,0.44259551606895264
120,0.10226296380707232,0.10226296378987232,-1.6819388631610778E-08,0.23344635029578722,0.43805766789800077
150,0.086163623322616914,0.086163623289277833,-3.8692757117082644E-08,0.19463121873267172,0.44270196657209748
186,0.063571209787569222,0.06357120975894949,-4.5019957430840091E-08,0.14714611661937216,0.43202777769114553
240,0.041625823081301049,0.041625823060769764,-4.9323433113511084E-08,0.095627835760067767,0.43528981629585156
300,0.027178462977686869,0.027178462964016603,-5.0298158210982708E-08,0.06106998556218117,0.44503797919427412
352,0.019482682924273444,0.019482682914565081,-4.9830727235076068E-08,0.043703155269280723,0.44579579653965179
400,0.014634323163380286,0.014634323156276184,-4.8544110646962273E-08,0.033836698483542878,0.43249855370475537
460,0.011019388236217061,0.011019388230953824,-4.7763429779059066E-08,0.025879768596896006,0.4257916058907682
510,0.00926534527638432,0.009265345272177164,-4.5407433094487968E-08,0.020449010591675115,0.45309504000888573
583,0.0071717532716256355,0.0071717532684656251,-4.4061895718834978E-08,0.015627402002098355,0.45892166001121903
609,0.0063812180483992405,0.00638121804561361,-4.36535816876676E-08,0.015024080106549823,0.42473269580289885
662,0.0053165586993515548,0.0053165586971174791,-4.2021087284779658E-08,0.0125831747230808,0.42251330162057865
720,0.004771784280991633,0.0047717842790312246,-4.1083340794038993E-08,0.010176757890154858,0.46889041977185264
800,0.0037859414182912143,0.0037859414168162288,-3.8959543620959664E-08,0.0084887891497100534,0.44599310337983161
900,0.0032264996869718066,0.0032264996857739969,-3.7124120961322164E-08,0.0072900070796320616,0.4425921196686744
1000,0.0023874191143791316,0.0023874191135195726,-3.6003688946630359E-08,0.0058105404250977264,0.4108772917588675
1120,0.002071981863930563,0.0020719818632291016,-3.3854613815619248E-08,0.00468096562211763,0.44263983769480331
1250,0.0017107866365488815,0.0017107866360017258,-3.1982692936779089E-08,0.00418653820530452,0.40863991969166485
1461,0.0013340143812329308,0.0013340143808341471,-2.98935048436168E-08,0.0030987901350413355,0.43049523288105873
1600,0.0011456951958408979,0.0011456951955207142,-2.7946679694136945E-08,0.0026372616616116055,0.43442606101534526
1765,0.0010740664418238297,0.0010740664415457618,-2.5889267407926379E-08,0.0023393242720964147,0.45913533850662941
2000,0.00071364366315577468,0.0007136436629848309,-2.3953659244319008E-08,0.0018517844329254366,0.38538160829952622
2200,0.00067047371599659371,0.000670473715852026,-2.1562028618044459E-08,0.0014047432153989948,0.47729272403824258
2450,0.00052879575863017483,0.00052879575852433826,-2.0014639252342542E-08,0.0011869303531389745,0.44551540629648295
2615,0.00045588810699682584,0.00045588810691370044,-1.8233728807117581E-08,0.0010361166637396662,0.4399968872889844
2800,0.00044645655113081337,0.0004464565510563032,-1.6689231642381213E-08,0.00092943989207734049,0.48035010640489345
3000,0.00037308414977333683,0.00037308414971555179,-1.5488475852624227E-08,0.00078857264160973742,0.47311323019520907
