spectrum,energy_kev,eff_before,eff_after,ratio
RC103_Cs137_0cm,5.0,7.112857812008081e-11,6.978387485629073e-11,0.9810947540449927
RC103_Cs137_0cm,10.0,1.8138968339204487e-05,1.4334444783194923e-05,0.7902568941703981
RC103_Cs137_0cm,20.0,0.06582962892271635,0.04236396315322013,0.6435394494317325
RC103_Cs137_0cm,30.0,0.19365159341413665,0.09909673854473593,0.5117269463040826
RC103_Cs137_0cm,40.0,0.19802317333195762,0.09709247939058738,0.4903086732572742
RC103_Cs137_0cm,50.0,0.22899690665178118,0.11055939089659057,0.48279862166308707
RC103_Cs137_0cm,60.0,0.24681142790320726,0.11603898264016074,0.4701523897251147
RC103_Cs137_0cm,70.0,0.25445265348807045,0.1174541530901974,0.46159531637858914
RC103_Cs137_0cm,80.0,0.25789420321577816,0.118394488426763,0.45908161932474
RC103_Cs137_0cm,90.0,0.2567152950960323,0.11471596454955874,0.44686065357596116
RC103_Cs137_0cm,100.0,0.2513628185300395,0.11125205638334978,0.4425955160510521
RC103_Cs137_0cm,120.0,0.23344635024646176,0.10226296378987232,0.43805766799055906
RC103_Cs137_0cm,150.0,0.1946312186407303,0.08616362328927783,0.44270196678122453
RC103_Cs137_0cm,186.0,0.14714611653718693,0.06357120975894949,0.4320277779324452
RC103_Cs137_0cm,240.0,0.0956234157578552,0.041625823060769764,0.4353099367018827
RC103_Cs137_0cm,300.0,0.061069985525147724,0.027178462964016603,0.4450379794641495
RC103_Cs137_0cm,352.0,0.04370315524330869,0.01948268291456508,0.44579579680458054
RC103_Cs137_0cm,400.0,0.033836698463928006,0.014634323156276184,0.43249855395547143
RC103_Cs137_0cm,460.0,0.025879768582335892,0.011019388230953824,0.42579160613032113
RC103_Cs137_0cm,510.0,0.020449010580520358,0.009265345272177164,0.45309504025604513
RC103_Cs137_0cm,583.0,0.01562740199398494,0.007171753268465625,0.45892166024948144
RC103_Cs137_0cm,609.0,0.015024080098667918,0.00638121804561361,0.42473269602572133
RC103_Cs137_0cm,662.0,0.012583174716717783,0.005316558697117479,0.42251330183423375
RC103_Cs137_0cm,720.0,0.010176757885193654,0.004771784279031225,0.4688904200004383
RC103_Cs137_0cm,800.0,0.008488789145751744,0.003785941416816229,0.44599310358779753
RC103_Cs137_0cm,900.0,0.007290007076386046,0.003226499685773997,0.44259211986574704
RC103_Cs137_0cm,1000.0,0.0058105404226727435,0.0023874191135195726,0.4108772919303439
RC103_Cs137_0cm,1120.0,0.004680965620295648,0.0020719818632291016,0.44263983786709293
RC103_Cs137_0cm,1250.0,0.004186538203714041,0.0017107866360017258,0.40863991984690845
RC103_Cs137_0cm,1461.0,0.0030987901339775237,0.001334014380834147,0.43049523302884735
RC103_Cs137_0cm,1600.0,0.002637261660763642,0.0011456951955207142,0.4344260611550271
RC103_Cs137_0cm,1765.0,0.0023393242713942108,0.0010740664415457618,0.45913533864444983
RC103_Cs137_0cm,2000.0,0.001851784432422182,0.0007136436629848309,0.3853816084042604
RC103_Cs137_0cm,2200.0,0.0014047432150491742,0.000670473715852026,0.4772927241571019
RC103_Cs137_0cm,2450.0,0.0011869303528739975,0.0005287957585243383,0.44551540639594234
RC103_Cs137_0cm,2615.0,0.00103611666352204,0.00045588810691370044,0.43999688738140147
RC103_Cs137_0cm,2800.0,0.0009294398918979976,0.0004464565510563032,0.48035010649758086
RC103_Cs137_0cm,3000.0,0.0007885726414726046,0.0003730841497155518,0.4731132302774835
RC103_Lu176,10.0,3.4093930925107346e-09,2.578282341187583e-09,0.7562291209104588
RC103_Lu176,20.0,8.846645698612092e-05,7.534171315024769e-05,0.8516415793849152
RC103_Lu176,30.0,0.0007031262900841595,0.0005893562024446883,0.8381939500145078
RC103_Lu176,40.0,0.0016387775969212354,0.0013105404107036443,0.79970608163411
RC103_Lu176,50.0,0.003380987604135044,0.0026427936924471244,0.7816632303575773
