E_keV;shape_was;shape_now;ratio_now_over_was
10;0.0162183;0.0162043;0.999135
11.5;0.142752;0.142649;0.999277
13.225;0.203102;0.202998;0.99949
15.2088;0.229823;0.229777;0.9998
17.4901;0.274381;0.274458;1.00028
20.1136;0.280714;0.280979;1.00095
23.1306;0.264621;0.265151;1.002
26.6002;0.239556;0.240367;1.00339
30.5902;0.212701;0.213768;1.00502
35.1788;0.188678;0.190088;1.00747
40.4556;0.16874;0.170398;1.00983
46.5239;0.150466;0.152391;1.0128
53.5025;0.138655;0.140737;1.01502
61.5279;0.132908;0.135067;1.01624
70.7571;0.132636;0.134897;1.01705
81.3706;0.140837;0.142909;1.01472
93.5762;0.153734;0.155788;1.01336
107.613;0.172325;0.17443;1.01222
123.755;0.195789;0.19802;1.01139
142.318;0.224801;0.226554;1.0078
163.665;0.259387;0.26096;1.00606
188.215;0.299633;0.301007;1.00458
216.447;0.346294;0.347743;1.00419
248.915;0.399836;0.401509;1.00418
286.252;0.460293;0.461212;1.002
329.19;0.528025;0.528769;1.00141
378.568;0.603615;0.604028;1.00068
435.353;0.687946;0.688151;1.0003
500.656;0.781667;0.781282;0.999507
575.755;0.885333;0.884951;0.999569
662.118;1.0006;1.00061;1
761.435;1.12797;1.12732;0.999424
875.651;1.26283;1.26189;0.999259
1007;1.40703;1.40468;0.998323
1158.05;1.56546;1.56316;0.99853
1331.76;1.7342;1.73145;0.998415
1531.52;1.91414;1.91093;0.998321
1761.25;2.107;2.10459;0.998855
2025.43;2.31953;2.31394;0.997589
2329.25;2.5405;2.53874;0.999309
2678.64;2.78654;2.78333;0.998848
