спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S16_K40_Mar                known        1.0175     1.0136   -0.383  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_K40_Mar_2              known        1.1165     1.1103   -0.555  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Mix_Denta100           known       13.3375    13.5101   +1.294  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Am-241 16.78→17.36; Cs-137 19.58→20.04; Ti-44 16.99→15.96
G1S16_Mix_Mar                known       33.3562    33.4898   +0.401  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Am-241 13.91→14.12; Cs-137 21.60→21.50; Eu-152 49.96→49.58; Ti-44 14.52→14.79
G1S16_Mix_Petri              known       12.0408    11.7746   -2.211  <число строк 16→17>, anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s; Am-241 20.97→17.41; Cs-137 21.45→20.71; Eu-152 45.55→45.49; Ti-44 12.02→16.37
G1S16_Mn54_P25               known        1.5006     1.4834   -1.146  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity
G1S16_Mn54_P5                known        2.9009     2.9141   +0.455  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Na22_P25               known        4.1841     4.3653   +4.331  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity
G1S16_Na22_P5                known       14.0161    14.1550   +0.991  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ann-511 17.82→18.87; Na-22 82.17→81.12
G1S16_Ra226_Mar              known        2.8115     2.9599   +5.278  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 51.52→51.34; Pb-214 44.04→44.17
G1S16_Ra226_Mar_2            known        4.9044     4.9935   +1.817  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S16_Th228_P25              known        1.1806     1.1248   -4.726  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S16_Th228_P5               known        4.4584     4.2706   -4.212  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Pb-212 50.27→50.34; Tl-208 37.97→37.90
G1S16_Th232_Denta100         known        1.4500     1.3705   -5.483  <число строк 20→19>, anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ac-228 37.46→37.39; Pb-212 30.85→31.01; Tl-208 24.18→24.08
G1S16_Th232_Mar_2            known        3.3343     3.1459   -5.650  <число строк 20→19>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Pb-212 30.63→30.71; Tl-208 24.82→24.75
G1S16_Th232_Mar_3            known        5.2075     5.0156   -3.685  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ac-228 39.53→39.45; Pb-212 25.52→25.67; Tl-208 27.70→27.62
G1S16_Th232_Petri            known        1.5378     1.4936   -2.874  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Pb-212 30.96→31.16; Tl-208 24.33→24.15
G1S16_Y88_P25                known        1.0478     1.0475   -0.029  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Y88_P5                 known        1.3015     1.2999   -0.123  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Am241_P5               known        5.7506     5.7360   -0.254  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity
G1S24_Ba133_P5               known       17.3587    19.0956  +10.006  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Bi207_P5               known       22.9974    22.9469   -0.220  <число строк 2→1>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Ann-511 0.18→0.00; Bi-207 99.82→100.00
G1S24_Cd109_P5               known        3.2313     3.4655   +7.248  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Co60_P5                known       11.7765    11.7000   -0.650  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Denta120         known        1.0748     1.0710   -0.354  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Denta120_2       known        1.6184     1.6219   +0.216  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Mar              known        2.2127     2.2276   +0.673  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Mar_2            known        3.7153     3.7513   +0.969  anchor_note, ch_hi, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_P25              known        3.1361     3.1263   -0.312  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_P5               known       13.7287    13.7201   -0.063  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_Petri            known        1.1657     1.1650   -0.060  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Petri_2          known        1.5669     1.5690   +0.134  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Eu152_P5               known       30.2715    31.2766   +3.320  <число строк 12→13>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity
G1S24_K40_Denta120           known        1.1175     1.1165   -0.089  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, dt_decay_s
G1S24_K40_Denta120_2         known        1.2253     1.2212   -0.335  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_K40_Mar                known        1.2844     1.2859   +0.117  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_K40_Mar_2              known        1.3174     1.3129   -0.342  anchor_note, chi2ndf, chi2ndf_pois, collinearity, component, decay_s
G1S24_K40_Petri              known        1.2519     1.2525   +0.048  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity
G1S24_K40_Petri_2            known        1.0507     1.0508   +0.010  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Na22_P25               known        6.2098     6.6947   +7.809  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Ann-511 9.40→8.62; Na-22 90.60→91.37
G1S24_Na22_P5                known       35.8494    35.9021   +0.147  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Ann-511 12.90→12.98; Na-22 87.09→87.00
G1S24_Ra226_Denta120         known        1.5205     1.4953   -1.657  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 48.34→48.23; Pb-214 47.16→47.26
G1S24_Ra226_Denta120_2       known        3.4205     3.3740   -1.359  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 55.20→55.10; Pb-214 42.10→42.19
G1S24_Ra226_Mar              known        2.4700     2.4325   -1.518  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf
G1S24_Ra226_Mar_2            known        5.0149     5.0651   +1.001  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 56.89→56.81; Pb-214 40.71→40.78
G1S24_Ra226_Petri            known        1.5132     1.4901   -1.527  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Bi-214 48.88→48.78; Pb-214 46.56→46.64
G1S24_Ra226_Petri_2          known        2.9750     2.8908   -2.830  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 53.46→53.40
G1S24_Rn222Coal_Mar_20m      known        1.0384     1.0378   -0.058  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 50.78→51.04; Pb-212 4.34→4.17; Pb-214 39.55→39.65; Tl-208 4.17→4.03
G1S24_Rn222Coal_Mar_2h       known        1.2243     1.2362   +0.972  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 50.66→50.87; Pb-212 4.52→4.40; Tl-208 4.51→4.41
G1S24_Rn222Coal_Mar_3h       known        1.1880     1.1934   +0.455  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-214 51.62→51.73
G1S24_Rn222Coal_Mar_eq01     known        1.4957     1.5216   +1.732  <число строк 20→19>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Bi-214 49.92→50.12; Pb-212 4.70→4.58; Tl-208 4.45→4.36
G1S24_Th228_P25              known        4.2152     4.1034   -2.652  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Tl-208 42.59→42.66
G1S24_Th228_P5               known       21.2165    21.2669   +0.238  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Pb-212 50.64→50.73; Tl-208 37.67→37.59
G1S24_Th232_Denta120         known        1.1394     1.0817   -5.064  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Pb-212 32.76→32.83
G1S24_Th232_Denta120_2       known        2.0479     1.8799   -8.204  <число строк 17→18>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity; Ac-228 38.89→38.80; Pb-212 27.73→27.99; Tl-208 25.99→25.80
G1S24_Th232_Mar              known        2.6602     2.5782   -3.082  <число строк 17→18>, anchor_note, anchor_offset_kev, anchors_used, chi2ndf, chi2ndf_pois; Ac-228 37.47→37.41; Pb-212 29.87→30.04; Tl-208 25.40→25.27
G1S24_Th232_Mar_2            known        6.1065     6.0412   -1.069  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Ac-228 39.54→39.45; Pb-212 25.93→26.12; Tl-208 27.40→27.29
G1S24_Th232_Petri            known        1.9746     1.7845   -9.627  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Pb-212 32.24→32.38; Tl-208 23.82→23.70
G1S24_Th232_Petri_2          known        4.5307     4.3981   -2.927  anchor_note, anchor_offset_kev, anchors_used, ch_hi, ch_lo, chi2ndf; Ac-228 37.96→37.91; Pb-212 29.34→29.57; Tl-208 25.30→25.11
G1S24_Y88_P25                known        2.0727     2.0810   +0.400  anchor_note, ch_hi, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Y88_P5                 known        8.2363     8.1706   -0.798  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Zn65_P5                known        1.0668     1.0704   +0.337  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity
RC103_Cs137_0cm              known        2.3720     2.3701   -0.080  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
RC103_Cs137_50mm             known        0.9805     0.9837   +0.326  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
RC103_K40                    known        1.7806     1.7306   -2.808  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
RC103_Lu176                  known        1.0217     1.1629  +13.820  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Lu-176 93.02→94.25; Xray-Lu 6.94→5.70

known: разобранных 92, Σχ²/ndf 474.6309 -> 476.4844 (+0.3905 %)
сдвинулось 92, побитово 0
побитово: 
