спектр             нуклид     паспорт      rev32      rev33      r32      r33
G1S16_Am241_P25    Am-241    117537.1   122700.0   121890.0    1.044    1.037
G1S16_Am241_P5     Am-241    117537.1   111620.0   112420.0    0.950    0.956
G1S16_Ba133_P25    Ba-133     26718.6    26225.0    26469.0    0.982    0.991
G1S16_Ba133_P5     Ba-133     26723.5    24904.0    25008.0    0.932    0.936
G1S16_Ce139_P25    Ce-139      2058.8     1952.1     1960.2    0.948    0.952
G1S16_Ce139_P5     Ce-139      2069.2     1869.5     1878.3    0.904    0.908
G1S16_Co57_P5      Co-57         82.1       79.5       79.4    0.968    0.967
G1S16_Co60_P25     Co-60      39539.6    38761.0    38766.0    0.980    0.980
G1S16_Co60_P5      Co-60      39553.8    37777.0    37796.0    0.955    0.956
G1S16_Cs137_P25    Cs-137     79026.2    78263.0    78246.0    0.990    0.990
G1S16_Cs137_P5     Cs-137     79026.2    76473.0    76257.0    0.968    0.965
G1S16_Eu152_P25    Eu-152     31582.4    30276.0    30362.0    0.959    0.961
G1S16_Eu152_P5     Eu-152     31586.9    27865.0    27888.0    0.882    0.883
G1S16_Mn54_P25     Mn-54      30490.6    29747.0    29769.0    0.976    0.976
G1S16_Mn54_P5      Mn-54      30626.1    29410.0    29415.0    0.960    0.960
G1S16_Na22_P25     Na-22      69035.8    69453.0    69468.0    1.006    1.006
G1S16_Na22_P5      Na-22      69136.6    65328.0    64822.0    0.945    0.938
G1S16_Th228_P25    Th-228      2372.3     2440.0     2417.0    1.029    1.019
G1S16_Th228_P5     Th-228      2377.0     2275.6     2271.0    0.957    0.955
G1S16_Y88_P25      Y-88         681.9      629.1      634.5    0.923    0.930
G1S16_Y88_P5       Y-88         686.4      667.0      667.6    0.972    0.973
G1S24_Am241_P5     Am-241    102513.3    94358.0    94355.0    0.920    0.920
G1S24_Ba133_P5     Ba-133     15356.9    12974.0    12405.0    0.845    0.808
G1S24_Bi207_P5     Bi-207     82424.7    76069.0    75355.0    0.923    0.914
G1S24_Cd109_P5     Cd-109      6808.7     1509.1     1430.6    0.222    0.210
G1S24_Co60_P5      Co-60      49908.4    45961.0    45843.0    0.921    0.919
G1S24_Cs137_P25    Cs-137     89324.6    84121.0    83983.0    0.942    0.940
G1S24_Cs137_P5     Cs-137     89330.3    83786.0    83680.0    0.938    0.937
G1S24_Eu152_P5     Eu-152    120540.4   112980.0   111440.0    0.937    0.925
G1S24_Na22_P25     Na-22     136634.9   131920.0   131560.0    0.965    0.963
G1S24_Na22_P5      Na-22     136734.6   123920.0   123840.0    0.906    0.906
G1S24_Th228_P25    Th-228     28146.8    28923.0    28448.0    1.028    1.011
G1S24_Th228_P5     Th-228     88637.4    85841.0    85465.0    0.968    0.964
G1S24_Y88_P25      Y-88       29782.9    28128.0    28116.0    0.944    0.944
G1S24_Y88_P5       Y-88       29977.2    27859.0    27883.0    0.929    0.930
G1S24_Zn65_P5      Zn-65        871.0      821.2      821.2    0.943    0.943
медиана _P5  rev32 0.938 -> rev33 0.937 (n=22)
медиана _P25 rev32 0.980 -> rev33 0.980 (n=14)

спектр             нуклид     паспорт      rev32      rev33      r32      r33
ASN16_Cs137        Cs-137      5715.5     6682.0     6705.1    1.169    1.173
ASN16_Cs137_10cm   Cs-137      5712.3     5524.8     5525.4    0.967    0.967
RC103_Cs137_0cm    Cs-137      5564.3     5488.2     5465.3    0.986    0.982
RC103_Cs137_50mm   Cs-137      5235.6     6178.3     6167.3    1.180    1.178
